model_id,family,cancer_type,endpoint,outcome_type,n,positive,negative,ncomp,tier,file,sha256
oncogenic_pathway__PRAD__PI3K,oncogenic_pathway,PRAD,PI3K,binary,389,131,258,10,B,models/oncogenic_pathway__PRAD__PI3K.rds,56687b4f3152bb91cf4847e57acd382caeafe2f2ab2185cc1ac01ac96df3d978
oncogenic_pathway__PRAD__TP53,oncogenic_pathway,PRAD,TP53,binary,389,81,308,8,B,models/oncogenic_pathway__PRAD__TP53.rds,5d06d14b6e6358a0a478fe1dfba19ae2fec7043a70811234867a0c2e1f3ae45f
oncogenic_pathway__SARC__RTK_RAS,oncogenic_pathway,SARC,RTK RAS,binary,222,86,136,2,B,models/oncogenic_pathway__SARC__RTK_RAS.rds,87093118829ae4a1735fa88c9af0ed792aaa4585fc0c0b98ab28251f5d79eb91
oncogenic_pathway__SARC__TP53,oncogenic_pathway,SARC,TP53,binary,222,146,76,1,B,models/oncogenic_pathway__SARC__TP53.rds,7c6a3f93979c16ed4601276c7448127766828bc0b037977870239cdb79a66210
oncogenic_pathway__STAD__HIPPO,oncogenic_pathway,STAD,HIPPO,binary,327,70,257,8,B,models/oncogenic_pathway__STAD__HIPPO.rds,687bc4904be688ff02961587782089b6e18edeab67f220331f04abf99464560d
oncogenic_pathway__STAD__NOTCH,oncogenic_pathway,STAD,NOTCH,binary,327,125,202,2,B,models/oncogenic_pathway__STAD__NOTCH.rds,a493d2e5fc931440f1097f5f99da4bc7c15810bc84440034c9a2cd8689fa6f7d
oncogenic_pathway__STAD__RTK_RAS,oncogenic_pathway,STAD,RTK RAS,binary,327,192,135,4,B,models/oncogenic_pathway__STAD__RTK_RAS.rds,e527d738f48e75aacd984086b6964febc88ec5001dc4c8d7fdc92afe7340edcd
oncogenic_pathway__STAD__TP53,oncogenic_pathway,STAD,TP53,binary,327,184,143,4,B,models/oncogenic_pathway__STAD__TP53.rds,45bc8064fbe125d40202e9b07b1961cf171a33890dce641c63553822562096db
oncogenic_pathway__STAD__WNT,oncogenic_pathway,STAD,WNT,binary,327,120,207,2,B,models/oncogenic_pathway__STAD__WNT.rds,366ca8cdc202bee97291b4bb8e6e77dd178792e23acd120336fa87174bcdc8e2
oncogenic_pathway__TGCT__RTK_RAS,oncogenic_pathway,TGCT,RTK RAS,binary,143,54,89,3,B,models/oncogenic_pathway__TGCT__RTK_RAS.rds,9f2f5105aeff9f9bbe286a1771f08f5c623b0560338ca04f7736f456338752d8
oncogenic_pathway__THCA__RTK_RAS,oncogenic_pathway,THCA,RTK RAS,binary,478,403,75,4,A,models/oncogenic_pathway__THCA__RTK_RAS.rds,ef0d3a89147d19078fd35d6be6b0df1e1bde26bf430a4c61f03c28d2ef500b4a
oncogenic_pathway__THCA__WNT,oncogenic_pathway,THCA,WNT,binary,478,62,416,6,A,models/oncogenic_pathway__THCA__WNT.rds,674585edd4da569c9fee7037fba4daa40c5ecc0b02c609cc99b38652349813f7
oncogenic_pathway__UCEC__NOTCH,oncogenic_pathway,UCEC,NOTCH,binary,468,183,285,3,B,models/oncogenic_pathway__UCEC__NOTCH.rds,b5985de4a7bd0f71c011283b2f60403b1a946c1c7d58b35aa1823ae931883107
oncogenic_pathway__UCEC__TP53,oncogenic_pathway,UCEC,TP53,binary,468,218,250,4,A,models/oncogenic_pathway__UCEC__TP53.rds,1762ee81881e250fffc29db2ae40e156f5e2a77e5d1f2daa86a6aeafaefc985f
oncogenic_pathway__UCEC__WNT,oncogenic_pathway,UCEC,WNT,binary,468,230,238,8,B,models/oncogenic_pathway__UCEC__WNT.rds,87e32f8b0897bfe6c8e1808c2df2aa98ed32f30ae57c7e41d560154bd1e7c3fd
thorsson__BLCA__Homologous_Recombination_Defects,thorsson,BLCA,Homologous Recombination Defects,continuous,377,,,4,B,models/thorsson__BLCA__Homologous_Recombination_Defects.rds,139683672b6eca7a1050d466ef6d2f8243014e9e66843dcb83b8428c9ad9039c
thorsson__BLCA__Leukocyte_Fraction,thorsson,BLCA,Leukocyte Fraction,continuous,386,,,4,B,models/thorsson__BLCA__Leukocyte_Fraction.rds,6eadd96d8f0427ce87a8f79dd4a7ba93d0a44d5a198b851feabed0812464682e
thorsson__BLCA__Lymphocyte_Infiltration_Signature_Score,thorsson,BLCA,Lymphocyte Infiltration Signature Score,continuous,373,,,4,B,models/thorsson__BLCA__Lymphocyte_Infiltration_Signature_Score.rds,d76fa41811deef05d272685bc902154ee6272036b30db3ef1e51fdd0c4592266
thorsson__BLCA__Macrophage_Regulation,thorsson,BLCA,Macrophage Regulation,continuous,373,,,4,A,models/thorsson__BLCA__Macrophage_Regulation.rds,9cdef0e83caacab580ddbef598658b15dc5b87b51c0e839ce77213235d7ab272
thorsson__BLCA__Proliferation,thorsson,BLCA,Proliferation,continuous,373,,,3,B,models/thorsson__BLCA__Proliferation.rds,ea738a1d063fd9f5b6d7837666034c6e315c6c872e25407d78b6cb9f442c3de2
thorsson__BLCA__Stromal_Fraction,thorsson,BLCA,Stromal Fraction,continuous,376,,,3,B,models/thorsson__BLCA__Stromal_Fraction.rds,a6565253106ccb352f8686d84d2e00fdc34e80c83884f8871ba8a516284ce4a5
thorsson__BLCA__TGF-beta_Response,thorsson,BLCA,TGF-beta Response,continuous,373,,,4,B,models/thorsson__BLCA__TGF-beta_Response.rds,b680095c3c17929babaff1b76e338d02f2d8c05339aecdf1ff59a61a95b7058f
thorsson__BLCA__TIL_Regional_Fraction,thorsson,BLCA,TIL Regional Fraction,continuous,297,,,7,A,models/thorsson__BLCA__TIL_Regional_Fraction.rds,3b8641b0b94796de2daca14b60699fcfa54a7a47fca6e3415bbb860d29d6b154
thorsson__BLCA__Th1_Cells,thorsson,BLCA,Th1 Cells,continuous,373,,,5,B,models/thorsson__BLCA__Th1_Cells.rds,7e11cfbeb68170a34f54a2d2a274d68b090108515dfb6c1fe886db20810071e3
thorsson__BLCA__Th2_Cells,thorsson,BLCA,Th2 Cells,continuous,373,,,3,B,models/thorsson__BLCA__Th2_Cells.rds,198498ca05c6979ccdc8cd751b9df00214ea1fa4d2985feb15481eaad30626a4
thorsson__BLCA__Wound_Healing,thorsson,BLCA,Wound Healing,continuous,373,,,3,B,models/thorsson__BLCA__Wound_Healing.rds,bae073854986b42a49fb76a74d4593a305682b3c18b73235c17263b3898561db
thorsson__BRCA__Aneuploidy_Score,thorsson,BRCA,Aneuploidy Score,continuous,998,,,4,B,models/thorsson__BRCA__Aneuploidy_Score.rds,d10ebf8dbde911f5b24cd6e09c6b957b19449b322b92a030b37ec7d899ed5596
thorsson__BRCA__Fraction_Altered,thorsson,BRCA,Fraction Altered,continuous,1025,,,4,B,models/thorsson__BRCA__Fraction_Altered.rds,7bc2cd5ecdb4a5ef9200a0b32d7b6007ed51bbf6f8faf899d597c61309b54081
thorsson__BRCA__Homologous_Recombination_Defects,thorsson,BRCA,Homologous Recombination Defects,continuous,998,,,2,B,models/thorsson__BRCA__Homologous_Recombination_Defects.rds,8e323b9ad67012c42695fb40866973e5feb6800c1099eb6528a2e63f906cea77
