study,prior_cancer,gene,prior_metric,prior_evidence,prior_note,source_url,current_cancer,current_status,n,positive,negative,current_balanced_accuracy,current_adjusted_balanced_accuracy,current_q,current_tier
Kather2020,STAD,PBRM1,AUROC 0.714 [0.613–0.729],FDR q=0.00181,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,not_eligible_or_not_tested,,,,,,,
Kather2020,STAD,PIK3CA,AUROC 0.636 [0.581–0.662],FDR q=0.00837,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,tested_not_supported,374,58,316,0.625654735923178,0.251309471846355,0.09,C
Kather2020,STAD,PTEN,AUROC 0.661 [0.436–0.761],FDR q=0.0178,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,tested_not_supported,374,24,350,0.478571428571429,-0.0428571428571428,1,C
Kather2020,STAD,RNF43,AUROC 0.638 [0.566–0.743],FDR q=0.0153,Exact source-data row; three-fold cross-validation,https://www.nature.com/articles/s43018-020-0087-6,STAD,tested_not_supported,374,30,344,0.564437984496124,0.128875968992248,1,C
Loeffler2022,BLCA,ERBB2,AUROC 0.747,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,BLCA,tested_not_supported,386,46,340,0.457928388746803,-0.0841432225063938,1,C
Loeffler2022,BLCA,FGFR3,AUROC 0.780,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,BLCA,tested_not_supported,386,54,332,0.679830432842481,0.359660865684962,0.15,C
Loeffler2022,BLCA,PTEN,AUROC 0.773,p=0.008,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,BLCA,not_eligible_or_not_tested,,,,,,,
Loeffler2022,BRCA,CDH1,AUROC 0.810,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,BRCA,tested_not_supported,1054,96,958,0.622325156576201,0.244650313152401,0.1,C
Loeffler2022,BRCA,ERBB2,AUROC >0.611,p<0.05,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,BRCA,tested_not_supported,1054,23,1031,0.497575169738118,-0.00484966052376334,1,C
Loeffler2022,BRCA,MAP3K1,AUROC >0.611,p<0.05,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,BRCA,tested_not_supported,1054,62,992,0.529737903225807,0.059475806451613,1,C
Loeffler2022,BRCA,PIK3CA,AUROC >0.611,p<0.05,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,BRCA,tested_not_supported,1054,266,788,0.577525666959276,0.155051333918553,1,C
Loeffler2022,BRCA,TP53,AUROC >0.611,p<0.05,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,BRCA,tested_not_supported,1054,259,795,0.717352662635682,0.434705325271363,0.1,C
Loeffler2022,CRC,NOTCH2,AUROC 0.934,p<0.001,COAD and READ were pooled,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Loeffler2022,CRC,TP53,AUROC 0.660,p<0.001,COAD and READ were pooled,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,,pooled_colorectal_cohort_not_directly_comparable,,,,,,,
Loeffler2022,ESCA,TP53,F-score 0.875,reported among top F-scores,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,ESCA,not_eligible_or_not_tested,,,,,,,
Loeffler2022,HNSC,BRAF,AUROC 0.790,p=0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,HNSC,not_eligible_or_not_tested,,,,,,,
Loeffler2022,KIRP,KRAS,AUROC 0.918,p<0.001,"",https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.806386/full,KIRP,not_eligible_or_not_tested,,,,,,,
