family,subfamily,tumor_type,endpoint,source,n,positive,negative,balanced_accuracy,adjusted_balanced_accuracy,p_permutation,permutations,permutation_exceedances,ncomp,seed,fastPLS_version,permutation_attempted,permutation_stopped_early,q_value,q_value_global,tier
driver_mutation,Bailey_tissue_specific_driver,UCS,FBXW7,TCGA_MC3_Bailey2018,53,21,32,0.558035714285714,0.116071428571429,1,0,,1,20261272,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,ZFHX3,TCGA_MC3_Bailey2018,505,96,409,0.557075183374083,0.114150366748166,1,0,,3,20261247,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,GBM,EGFR,TCGA_MC3_Bailey2018,384,40,344,0.556976744186047,0.113953488372093,1,0,,4,20261107,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,PIK3CA,TCGA_MC3_Bailey2018,505,203,302,0.554138257266826,0.108276514533651,1,0,,1,20261233,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,ZMYM2,TCGA_MC3_Bailey2018,505,52,453,0.553425878757005,0.106851757514009,1,0,,5,20261243,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,STAD,RASA1,TCGA_MC3_Bailey2018,374,21,353,0.55301497369486,0.106029947389721,1,0,,10,20261219,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,SIN3A,TCGA_MC3_Bailey2018,505,48,457,0.549940736688549,0.099881473377097,1,0,,2,20261263,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,KIRC,PBRM1,TCGA_MC3_Bailey2018,513,144,369,0.549288617886179,0.0985772357723578,1,0,,5,20261132,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,TAF1,TCGA_MC3_Bailey2018,505,81,424,0.548960517120895,0.0979210342417889,1,0,,4,20261236,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,BRCA,FOXA1,TCGA_MC3_Bailey2018,1054,28,1026,0.54869813422445,0.0973962684489,1,0,,8,20261078,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LUSC,KEAP1,TCGA_MC3_Bailey2018,477,51,426,0.548260149130075,0.0965202982601492,1,0,,2,20261171,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,COAD,SMAD4,TCGA_MC3_Bailey2018,433,36,397,0.548033865099356,0.0960677301987125,1,0,,4,20261104,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,KMT2B,TCGA_MC3_Bailey2018,505,96,409,0.547295232273839,0.0945904645476774,1,0,,5,20261230,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,ARID5B,TCGA_MC3_Bailey2018,505,52,453,0.546017999660384,0.0920359993207676,1,0,,8,20261238,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,PAAD,KRAS,TCGA_MC3_Bailey2018,183,116,67,0.545805455481215,0.0916109109624292,1,0,,1,20261187,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,KIRC,SETD2,TCGA_MC3_Bailey2018,513,47,466,0.545498128024838,0.0909962560496758,1,0,,9,20261130,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,BLCA,RB1,TCGA_MC3_Bailey2018,386,73,313,0.54545056676441,0.0909011335288197,1,0,,4,20261062,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,FAT1,TCGA_MC3_Bailey2018,505,82,423,0.545176728363028,0.0903534567260566,1,0,,8,20261255,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,KICH,TP53,TCGA_MC3_Bailey2018,108,21,87,0.545155993431856,0.090311986863711,1,0,,6,20261128,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,COAD,FBXW7,TCGA_MC3_Bailey2018,433,43,390,0.541472868217054,0.0829457364341084,1,0,,2,20261099,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,RB1,TCGA_MC3_Bailey2018,505,53,452,0.54059525797295,0.0811905159459008,1,0,,4,20261245,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,SCAF4,TCGA_MC3_Bailey2018,505,55,450,0.539191919191919,0.0783838383838384,1,0,,3,20261266,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,SARC,TP53,TCGA_MC3_Bailey2018,254,81,173,0.538714051238136,0.077428102476272,1,0,,1,20261200,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LGG,IDH2,TCGA_MC3_Bailey2018,490,20,470,0.537234042553191,0.0744680851063828,1,0,,4,20261144,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,BLCA,PIK3CA,TCGA_MC3_Bailey2018,386,82,304,0.536906290115533,0.0738125802310654,1,0,,8,20261040,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,EP300,TCGA_MC3_Bailey2018,505,56,449,0.536887527839644,0.0737750556792873,1,0,,9,20261250,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,STAD,ERBB4,TCGA_MC3_Bailey2018,374,46,328,0.536253976670202,0.0725079533404029,1,0,,10,20261211,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,BRCA,ARID1A,TCGA_MC3_Bailey2018,1054,26,1028,0.536029631846752,0.0720592636935049,1,0,,1,20261076,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,INPPL1,TCGA_MC3_Bailey2018,505,56,449,0.534640470887687,0.0692809417753739,1,0,,3,20261262,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,CHD4,TCGA_MC3_Bailey2018,505,94,411,0.534632706942072,0.0692654138841435,1,0,,4,20261224,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LUSC,TP53,TCGA_MC3_Bailey2018,477,382,95,0.534472306420502,0.068944612841003,1,0,,10,20261169,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,STAD,RHOA,TCGA_MC3_Bailey2018,374,20,354,0.534463276836158,0.0689265536723163,1,0,,10,20261208,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,UCEC,ATF7IP,TCGA_MC3_Bailey2018,505,35,470,0.534346504559271,0.0686930091185412,1,0,,4,20261265,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,LUSC,KMT2D,TCGA_MC3_Bailey2018,477,103,374,0.533902704947822,0.067805409895644,1,0,,4,20261178,0.99.20,,,1,1,C
driver_mutation,Bailey_tissue_specific_driver,TGCT,KIT,TCGA_MC3_Bailey2018,149,20,129,0.532364341085271,0.0647286821705426,1,0,,2,20261220,0.99.20,,,1,1,C
