stability_repeat,consensus_class,N,outcome_type,threshold,selected_tasks,proportion,mean_tasks,min_tasks,max_tasks,mean_proportion
2,all three,276,continuous,0.21,978,0.282208588957055,270.2,264,276,0.276278118609407
3,all three,268,continuous,0.21,978,0.274028629856851,270.2,264,276,0.276278118609407
4,all three,271,continuous,0.21,978,0.277096114519427,270.2,264,276,0.276278118609407
5,all three,264,continuous,0.21,978,0.269938650306748,270.2,264,276,0.276278118609407
1,none,321,continuous,0.21,978,0.328220858895706,319.6,316,323,0.32678936605317
2,representation specific,247,continuous,0.21,978,0.252556237218814,248,240,256,0.253578732106339
3,representation specific,251,continuous,0.21,978,0.256646216768916,248,240,256,0.253578732106339
4,none,316,continuous,0.21,978,0.323108384458078,319.6,316,323,0.32678936605317
5,representation specific,256,continuous,0.21,978,0.261758691206544,248,240,256,0.253578732106339
1,representation specific,240,continuous,0.21,978,0.245398773006135,248,240,256,0.253578732106339
3,none,318,continuous,0.21,978,0.325153374233129,319.6,316,323,0.32678936605317
4,representation specific,246,continuous,0.21,978,0.251533742331288,248,240,256,0.253578732106339
2,none,323,continuous,0.21,978,0.330265848670757,319.6,316,323,0.32678936605317
5,none,320,continuous,0.21,978,0.32719836400818,319.6,316,323,0.32678936605317
1,exactly two,145,continuous,0.21,978,0.148261758691207,140.2,132,145,0.143353783231084
4,exactly two,145,continuous,0.21,978,0.148261758691207,140.2,132,145,0.143353783231084
3,exactly two,141,continuous,0.21,978,0.144171779141104,140.2,132,145,0.143353783231084
5,exactly two,138,continuous,0.21,978,0.141104294478528,140.2,132,145,0.143353783231084
2,exactly two,132,continuous,0.21,978,0.134969325153374,140.2,132,145,0.143353783231084
1,all three,249,continuous,0.22,978,0.254601226993865,247.6,241,253,0.253169734151329
2,all three,252,continuous,0.22,978,0.257668711656442,247.6,241,253,0.253169734151329
3,all three,241,continuous,0.22,978,0.246421267893661,247.6,241,253,0.253169734151329
4,all three,253,continuous,0.22,978,0.258691206543967,247.6,241,253,0.253169734151329
5,all three,243,continuous,0.22,978,0.248466257668712,247.6,241,253,0.253169734151329
1,none,352,continuous,0.22,978,0.359918200408998,361.4,352,371,0.369529652351738
2,none,361,continuous,0.22,978,0.369120654396728,361.4,352,371,0.369529652351738
3,representation specific,232,continuous,0.22,978,0.237218813905931,237.8,232,244,0.243149284253579
4,none,364,continuous,0.22,978,0.372188139059305,361.4,352,371,0.369529652351738
5,none,371,continuous,0.22,978,0.379345603271984,361.4,352,371,0.369529652351738
2,representation specific,242,continuous,0.22,978,0.247443762781186,237.8,232,244,0.243149284253579
3,none,359,continuous,0.22,978,0.367075664621677,361.4,352,371,0.369529652351738
5,representation specific,238,continuous,0.22,978,0.243353783231084,237.8,232,244,0.243149284253579
1,exactly two,133,continuous,0.22,978,0.1359918200409,131.2,123,146,0.134151329243354
4,exactly two,128,continuous,0.22,978,0.130879345603272,131.2,123,146,0.134151329243354
1,representation specific,244,continuous,0.22,978,0.249488752556237,237.8,232,244,0.243149284253579
4,representation specific,233,continuous,0.22,978,0.238241308793456,237.8,232,244,0.243149284253579
3,exactly two,146,continuous,0.22,978,0.149284253578732,131.2,123,146,0.134151329243354
5,exactly two,126,continuous,0.22,978,0.128834355828221,131.2,123,146,0.134151329243354
2,exactly two,123,continuous,0.22,978,0.125766871165644,131.2,123,146,0.134151329243354
1,all three,232,continuous,0.23,978,0.237218813905931,226.6,211,235,0.231697341513292
2,all three,234,continuous,0.23,978,0.239263803680982,226.6,211,235,0.231697341513292
3,all three,221,continuous,0.23,978,0.225971370143149,226.6,211,235,0.231697341513292
4,all three,235,continuous,0.23,978,0.240286298568507,226.6,211,235,0.231697341513292
5,all three,211,continuous,0.23,978,0.215746421267894,226.6,211,235,0.231697341513292
1,none,389,continuous,0.23,978,0.397750511247444,398.6,389,411,0.407566462167689
2,none,397,continuous,0.23,978,0.405930470347648,398.6,389,411,0.407566462167689
3,none,401,continuous,0.23,978,0.410020449897751,398.6,389,411,0.407566462167689
4,none,395,continuous,0.23,978,0.403885480572597,398.6,389,411,0.407566462167689
5,none,411,continuous,0.23,978,0.420245398773006,398.6,389,411,0.407566462167689
2,representation specific,235,continuous,0.23,978,0.240286298568507,230.4,224,235,0.23558282208589
1,exactly two,122,continuous,0.23,978,0.124744376278119,122.4,112,132,0.125153374233129
4,representation specific,232,continuous,0.23,978,0.237218813905931,230.4,224,235,0.23558282208589
1,representation specific,235,continuous,0.23,978,0.240286298568507,230.4,224,235,0.23558282208589
3,representation specific,226,continuous,0.23,978,0.231083844580777,230.4,224,235,0.23558282208589
5,representation specific,224,continuous,0.23,978,0.229038854805726,230.4,224,235,0.23558282208589
3,exactly two,130,continuous,0.23,978,0.132924335378323,122.4,112,132,0.125153374233129
5,exactly two,132,continuous,0.23,978,0.134969325153374,122.4,112,132,0.125153374233129
2,exactly two,112,continuous,0.23,978,0.114519427402863,122.4,112,132,0.125153374233129
4,exactly two,116,continuous,0.23,978,0.118609406952965,122.4,112,132,0.125153374233129
1,all three,212,continuous,0.24,978,0.216768916155419,206.6,197,214,0.211247443762781
2,all three,214,continuous,0.24,978,0.21881390593047,206.6,197,214,0.211247443762781
3,exactly two,109,continuous,0.24,978,0.111451942740286,111.6,108,118,0.114110429447853
4,representation specific,220,continuous,0.24,978,0.224948875255624,222.6,212,234,0.22760736196319
5,all three,197,continuous,0.24,978,0.201431492842536,206.6,197,214,0.211247443762781
1,none,422,continuous,0.24,978,0.431492842535787,437.2,422,451,0.447034764826176
2,none,439,continuous,0.24,978,0.448875255623722,437.2,422,451,0.447034764826176
3,none,435,continuous,0.24,978,0.44478527607362,437.2,422,451,0.447034764826176
4,none,439,continuous,0.24,978,0.448875255623722,437.2,422,451,0.447034764826176
5,none,451,continuous,0.24,978,0.461145194274029,437.2,422,451,0.447034764826176
2,representation specific,217,continuous,0.24,978,0.221881390593047,222.6,212,234,0.22760736196319
1,representation specific,234,continuous,0.24,978,0.239263803680982,222.6,212,234,0.22760736196319
3,representation specific,230,continuous,0.24,978,0.235173824130879,222.6,212,234,0.22760736196319
5,representation specific,212,continuous,0.24,978,0.216768916155419,222.6,212,234,0.22760736196319
1,exactly two,110,continuous,0.24,978,0.112474437627812,111.6,108,118,0.114110429447853
4,exactly two,113,continuous,0.24,978,0.115541922290389,111.6,108,118,0.114110429447853
2,exactly two,108,continuous,0.24,978,0.110429447852761,111.6,108,118,0.114110429447853
4,all three,206,continuous,0.24,978,0.210633946830266,206.6,197,214,0.211247443762781
5,exactly two,118,continuous,0.24,978,0.120654396728016,111.6,108,118,0.114110429447853
3,all three,204,continuous,0.24,978,0.208588957055215,206.6,197,214,0.211247443762781
1,exactly two,91,continuous,0.25,978,0.0930470347648262,103.2,91,114,0.105521472392638
2,all three,195,continuous,0.25,978,0.199386503067485,188.6,178,199,0.192842535787321
3,exactly two,100,continuous,0.25,978,0.102249488752556,103.2,91,114,0.105521472392638
4,representation specific,211,continuous,0.25,978,0.215746421267894,217.6,208,232,0.222494887525562
5,all three,178,continuous,0.25,978,0.18200408997955,188.6,178,199,0.192842535787321
1,none,456,continuous,0.25,978,0.466257668711656,468.6,456,484,0.479141104294479
2,none,469,continuous,0.25,978,0.479550102249489,468.6,456,484,0.479141104294479
3,none,466,continuous,0.25,978,0.476482617586912,468.6,456,484,0.479141104294479
4,none,468,continuous,0.25,978,0.478527607361963,468.6,456,484,0.479141104294479
5,none,484,continuous,0.25,978,0.494887525562372,468.6,456,484,0.479141104294479
1,representation specific,232,continuous,0.25,978,0.237218813905931,217.6,208,232,0.222494887525562
2,representation specific,211,continuous,0.25,978,0.215746421267894,217.6,208,232,0.222494887525562
3,representation specific,226,continuous,0.25,978,0.231083844580777,217.6,208,232,0.222494887525562
5,representation specific,208,continuous,0.25,978,0.212678936605317,217.6,208,232,0.222494887525562
2,exactly two,103,continuous,0.25,978,0.105316973415133,103.2,91,114,0.105521472392638
4,exactly two,114,continuous,0.25,978,0.116564417177914,103.2,91,114,0.105521472392638
4,all three,185,continuous,0.25,978,0.189161554192229,188.6,178,199,0.192842535787321
5,exactly two,108,continuous,0.25,978,0.110429447852761,103.2,91,114,0.105521472392638
