family,tumor_type,endpoint,n,multi_slide_patients,mean_pool_q2,first_slide_q2,delta_first_minus_mean,seed,backend,svd_method,rsvd_oversample,rsvd_power
rna_pathway_activity,THCA,HALLMARK_INTERFERON_ALPHA_RESPONSE,503,12,0.502677117874847,0.500442895296327,-0.00223422257851968,20263545,cpu,rsvd,32,5
rna_pathway_activity,CESC,HALLMARK_P53_PATHWAY,267,5,0.497041897216197,0.48730500847257,-0.00973688874362683,20261219,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_KRAS_SIGNALING_DN,149,63,0.496242586426966,0.425927869178296,-0.0703147172486701,20263440,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_IL2_STAT5_SIGNALING,503,12,0.495351097555309,0.491820691736731,-0.00353040581857839,20263542,cpu,rsvd,32,5
rna_pathway_activity,LIHC,HALLMARK_XENOBIOTIC_METABOLISM,358,8,0.492327714317393,0.504290777724687,0.0119630634072941,20262183,cpu,rsvd,32,5
rna_pathway_activity,BRCA,HALLMARK_MYC_TARGETS_V1,1052,66,0.490077278030757,0.484628715359993,-0.0054485626707636,20261106,cpu,rsvd,32,5
rna_pathway_activity,KIRP,HALLMARK_G2M_CHECKPOINT,272,11,0.489820983104101,0.477492586638595,-0.0123283964655065,20261940,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_MYC_TARGETS_V2,149,63,0.485957389922977,0.464346029160563,-0.0216113607624142,20263445,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_UV_RESPONSE_UP,149,63,0.481855314929014,0.435668884532876,-0.0461864303961378,20263460,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_COMPLEMENT,503,12,0.480466718643985,0.477692079298988,-0.00277463934499672,20263530,cpu,rsvd,32,5
rna_pathway_activity,LIHC,HALLMARK_ADIPOGENESIS,358,8,0.478784222946712,0.481701936807074,0.00291771386036172,20262134,cpu,rsvd,32,5
rna_pathway_activity,PAAD,HALLMARK_ESTROGEN_RESPONSE_EARLY,176,8,0.478118643603854,0.474639005164835,-0.00347963843901949,20262680,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,149,63,0.476094551497551,0.470074909984859,-0.00601964151269219,20263458,cpu,rsvd,32,5
rna_pathway_activity,PAAD,HALLMARK_ESTROGEN_RESPONSE_LATE,176,8,0.475972659922183,0.481754286348224,0.00578162642604135,20262681,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_XENOBIOTIC_METABOLISM,149,63,0.474765337926693,0.454731757296341,-0.0200335806303516,20263462,cpu,rsvd,32,5
rna_pathway_activity,PAAD,HALLMARK_APOPTOSIS,176,8,0.474665789973747,0.471050105525174,-0.00361568444857341,20262672,cpu,rsvd,32,5
rna_pathway_activity,SARC,HALLMARK_INTERFERON_GAMMA_RESPONSE,252,98,0.473940027821032,0.442533432810522,-0.0314065950105097,20263117,cpu,rsvd,32,5
rna_pathway_activity,KIRP,HALLMARK_E2F_TARGETS,272,11,0.47379129006437,0.463258563370919,-0.0105327266934509,20261935,cpu,rsvd,32,5
rna_pathway_activity,BLCA,HALLMARK_ALLOGRAFT_REJECTION,382,26,0.4733829373282,0.466591367756914,-0.00679156957128591,20260968,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_ALLOGRAFT_REJECTION,149,63,0.468501966407136,0.441569236456329,-0.0269327299508071,20263414,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_UV_RESPONSE_DN,149,63,0.466979465863474,0.488342259599475,0.0213627937360014,20263459,cpu,rsvd,32,5
rna_pathway_activity,OV,HALLMARK_CHOLESTEROL_HOMEOSTASIS,69,1,0.466482882585672,0.467142832664429,0.000659950078757243,20262566,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_P53_PATHWAY,149,63,0.464648692642557,0.422089006586458,-0.0425596860560992,20263449,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_APICAL_JUNCTION,503,12,0.463873587042529,0.465447422715102,0.00157383567257263,20263524,cpu,rsvd,32,5
rna_pathway_activity,STAD,HALLMARK_G2M_CHECKPOINT,354,24,0.461477657595786,0.464283938226672,0.00280628063088634,20263323,cpu,rsvd,32,5
rna_pathway_activity,SARC,HALLMARK_IL2_STAT5_SIGNALING,252,98,0.459037766526934,0.455378834824627,-0.00365893170230741,20263113,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_COAGULATION,503,12,0.458460353862332,0.449287996855244,-0.00917235700708857,20263529,cpu,rsvd,32,5
rna_pathway_activity,BRCA,HALLMARK_ESTROGEN_RESPONSE_EARLY,1052,66,0.456941387753524,0.463836380137507,0.00689499238398317,20261089,cpu,rsvd,32,5
rna_pathway_activity,BRCA,HALLMARK_MYC_TARGETS_V2,1052,66,0.455519476578573,0.447951071555119,-0.00756840502345396,20261107,cpu,rsvd,32,5
rna_pathway_activity,KIRP,HALLMARK_FATTY_ACID_METABOLISM,272,11,0.453924063526297,0.452542854102688,-0.00138120942360864,20261939,cpu,rsvd,32,5
rna_pathway_activity,LIHC,HALLMARK_FATTY_ACID_METABOLISM,358,8,0.453823415447181,0.458437357494041,0.00461394204686022,20262150,cpu,rsvd,32,5
rna_pathway_activity,STAD,HALLMARK_E2F_TARGETS,354,24,0.451181532608892,0.47007111897127,0.0188895863623779,20263318,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_MYC_TARGETS_V1,149,63,0.450717326044776,0.429534262438928,-0.0211830636058479,20263444,cpu,rsvd,32,5
rna_pathway_activity,THYM,HALLMARK_NOTCH_SIGNALING,117,7,0.450121883872264,0.417432587582299,-0.0326892962899651,20263658,cpu,rsvd,32,5
rna_pathway_activity,LIHC,HALLMARK_G2M_CHECKPOINT,358,8,0.446289795190829,0.446376403395424,8.66082045948291e-05,20262151,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_KRAS_SIGNALING_UP,503,12,0.44613754864585,0.44524862892065,-0.000888919725199666,20263548,cpu,rsvd,32,5
rna_pathway_activity,GBM,HALLMARK_COAGULATION,96,45,0.445972134451997,0.27351485527728,-0.172457279174717,20261510,cpu,rsvd,32,5
rna_pathway_activity,SARC,HALLMARK_ALLOGRAFT_REJECTION,252,98,0.440401308977797,0.494451687682804,0.0540503787050068,20263092,cpu,rsvd,32,5
rna_pathway_activity,THCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,503,12,0.438972269993576,0.437901466900916,-0.00107080309266033,20263564,cpu,rsvd,32,5
rna_pathway_activity,OV,HALLMARK_ESTROGEN_RESPONSE_LATE,69,1,0.436294367078687,0.425376020061234,-0.0109183470174531,20262573,cpu,rsvd,32,5
rna_pathway_activity,LIHC,HALLMARK_E2F_TARGETS,358,8,0.436056414559024,0.437547413173786,0.00149099861476243,20262146,cpu,rsvd,32,5
rna_pathway_activity,ACC,HALLMARK_INFLAMMATORY_RESPONSE,55,44,0.431898859327585,0.359510626409351,-0.0723882329182341,20260883,cpu,rsvd,32,5
rna_pathway_activity,TGCT,HALLMARK_COMPLEMENT,149,63,0.430974270493528,0.370947247345563,-0.0600270231479649,20263423,cpu,rsvd,32,5
rna_pathway_activity,KIRC,HALLMARK_IL6_JAK_STAT3_SIGNALING,510,4,0.430815867814215,0.431077626201579,0.000261758387363975,20261839,cpu,rsvd,32,5
