outcome_type,family,tumor_type,endpoint,size_stratum,imbalance_stratum,screen_tier,repeat_id,seed,pls_sensitivity,pls_specificity,pls_balanced_accuracy,pls_auc,ridge_sensitivity,ridge_specificity,ridge_balanced_accuracy,ridge_auc,median_pls_ncomp,median_pls_threshold,median_ridge_lambda,median_ridge_threshold,median_inner_pls_balanced_accuracy,median_inner_ridge_balanced_accuracy,outer_folds_identical,inner_folds_identical,threshold_selection
binary,driver_mutation,OV,TP53,small,low,B,2,20280842,0.363636363636364,0.78,0.571818181818182,0.612727272727273,0.409090909090909,0.8,0.604545454545455,0.65,7,0.70164408751637,8.41682446041291,0.35202449626954,0.711111111111111,0.715277777777778,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,OV,TP53,small,low,B,3,20290842,0.5,0.78,0.64,0.662727272727273,0.636363636363636,0.72,0.678181818181818,0.657272727272727,2,-1.26945120423497,95.3927146679679,0.304957722493962,0.720833333333333,0.681944444444445,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,OV,TP53,small,low,B,4,20300842,0.545454545454545,0.6,0.572727272727273,0.666363636363636,0.545454545454545,0.66,0.602727272727273,0.670909090909091,3,-0.746035134339764,9.50620480601054,0.276023339566015,0.719117647058824,0.689705882352941,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,OV,TP53,small,low,B,5,20310842,0.454545454545455,0.82,0.637272727272727,0.65,0.454545454545455,0.82,0.637272727272727,0.662727272727273,2,-0.677951152324216,5.43114963683392,0.368106931285217,0.702777777777778,0.702777777777778,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,CESC,KMT2C,small,moderate,C,1,20270843,0.553191489361702,0.487804878048781,0.520498183705241,0.527970939283861,0.468085106382979,0.507317073170732,0.487701089776855,0.518733783082512,6,-2.26420661988276,1.93759266539666,0.194020289479549,0.606212920237311,0.586328626444159,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,CESC,KMT2C,small,moderate,C,2,20280843,0.659574468085106,0.424390243902439,0.541982355993773,0.545926310326933,0.617021276595745,0.585365853658537,0.601193565127141,0.595433316035288,9,-4.61919995923795,1.7195837279466,0.177908100346602,0.611521181001284,0.599165596919127,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,CESC,KMT2C,small,moderate,C,3,20290843,0.659574468085106,0.448780487804878,0.554177477944992,0.53523611831863,0.468085106382979,0.546341463414634,0.507213284898807,0.529839128178516,5,-2.41104398600223,1.15464992696485,0.197417576419317,0.607670089858793,0.582477535301669,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,CESC,KMT2C,small,moderate,C,4,20300843,0.468085106382979,0.624390243902439,0.546237675142709,0.574571873378308,0.638297872340426,0.463414634146342,0.550856253243384,0.568085106382979,7,-1.17025835227967,3.77588521152173,0.180861345317888,0.599967907573813,0.586649550706033,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,driver_mutation,CESC,KMT2C,small,moderate,C,5,20310843,0.468085106382979,0.497560975609756,0.482823040996367,0.532433834976648,0.531914893617021,0.546341463414634,0.539128178515828,0.562324857291126,4,-2.55568269275007,2.10592761342861,0.181653215995745,0.603823335530653,0.593709884467266,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
binary,fusion,THCA,Fusion pair: CCDC6--RET,large,high,B,1,20270844,0.619047619047619,0.711018711018711,0.665033165033165,0.806553806553807,0.80952380952381,0.777546777546778,0.793535293535294,0.843777843777844,3,-4.39412683059785,3.34738936917474,0.0546291553631826,0.80859375,0.830786860198625,TRUE,TRUE,identical inner-CV rule for both methods: maximise balanced accuracy on inner out-of-fold scores
