source,tumor_type,cohort_patients,covered_patients,missing_patients,covered_primary_aliquots,patients_with_multiple_primary_aliquots,maximum_primary_aliquots,aggregation_rule
SanchezVega2018_TableS4,KIRC,513,336,177,336,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,KIRP,273,255,18,255,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,LGG,490,481,9,481,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,LIHC,364,337,27,337,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,LUAD,468,451,17,451,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,LUSC,477,443,34,443,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,MESO,75,70,5,70,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,OV,106,35,71,35,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,PAAD,183,150,33,150,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,PCPG,176,158,18,158,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,PRAD,402,389,13,389,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,READ,156,107,49,107,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,SARC,254,222,32,222,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,SKCM,292,2,290,2,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,STAD,374,327,47,327,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,TGCT,149,143,6,143,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,THCA,505,478,27,478,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,THYM,121,116,5,116,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,UCEC,505,468,37,468,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,UCS,53,52,1,52,0,1,any altered primary aliquot defines patient-level pathway alteration
SanchezVega2018_TableS4,UVM,80,80,0,80,0,1,any altered primary aliquot defines patient-level pathway alteration
Taylor2018_TableS2,,9,0,9,0,0,0,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,ACC,56,54,2,54,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,BLCA,386,376,10,376,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,BRCA,1054,998,56,998,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,CESC,269,259,10,259,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,CHOL,39,36,3,36,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,COAD,433,408,25,408,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,DLBC,44,43,1,43,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,ESCA,156,136,20,136,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,GBM,384,362,22,362,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,HNSC,450,435,15,435,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,KICH,108,65,43,65,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,KIRC,513,464,49,464,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,KIRP,273,264,9,264,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,LGG,490,481,9,481,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
Taylor2018_TableS2,LIHC,364,350,14,350,0,1,mean across primary aliquots for continuous burdens; any positive aliquot for genome doubling
