outcome_type,family,subfamily,tumor_type,endpoint,source,foundation_model,selection_reason,primary_union_positive,primary_near_threshold,alternative_partitions,crossing_count,crossing_proportion,mean_effect,sd_effect,median_effect,min_effect,max_effect,mean_q2,mean_balanced_accuracy,mean_auc,mean_pr_auc,mean_ppv,mean_npv,mean_prevalence,selected_components_median,component_ceiling_fraction,primary_q2,primary_balanced_accuracy,primary_auc,primary_effect,primary_crossing_statistic,primary_crossing,primary_repeat_crossing_agreement_proportion
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,union-positive,TRUE,FALSE,5,5,1,0.297713036990907,0.0189891012493683,0.294852773086575,0.275190137003253,0.318869173768548,0.297713036990907,,,,,,,2,0,0.316646010386319,,,0.316646010386319,0.316646010386319,TRUE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_OXIDATIVE_PHOSPHORYLATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,union-positive,TRUE,FALSE,5,5,1,0.376468295921385,0.00692563639142966,0.379134785481005,0.364844152600055,0.382032097714985,0.376468295921385,,,,,,,2,0,0.367673539016479,,,0.367673539016479,0.367673539016479,TRUE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,union-positive,TRUE,FALSE,5,5,1,0.305177425232942,0.0239780515215801,0.309626783436377,0.270774893534959,0.334249058848296,0.305177425232942,,,,,,,1,0,0.276434905532068,,,0.276434905532068,0.276434905532068,TRUE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,union-positive,TRUE,FALSE,5,5,1,0.305301919553772,0.0148396940867151,0.314503445437692,0.284250895755721,0.317217106335325,0.305301919553772,,,,,,,1,0,0.281222950456032,,,0.281222950456032,0.281222950456032,TRUE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_PEROXISOME,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,union-positive,TRUE,FALSE,5,5,1,0.357519587700176,0.0169485688259879,0.365218139936844,0.332954305997813,0.375377811353287,0.357519587700176,,,,,,,2,0,0.310324506135537,,,0.310324506135537,0.310324506135537,TRUE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,near-threshold only,FALSE,TRUE,5,0,0,0.0770895957220884,0.0245160488743503,0.0812927570955901,0.0517145908081301,0.110091737144112,0.0770895957220884,,,,,,,3,0,0.0996831086626455,,,0.0996831086626455,0.0996831086626455,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,near-threshold only,FALSE,TRUE,5,1,0.2,0.161504517810342,0.0328322211887976,0.15036084868427,0.128333148732828,0.214723650982826,0.161504517810342,,,,,,,3,0,0.137596852719509,,,0.137596852719509,0.137596852719509,FALSE,0.8
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_PI3K_AKT_MTOR_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,near-threshold only,FALSE,TRUE,5,0,0,0.150062178591712,0.037446427345809,0.157439762079567,0.0921810293122119,0.195663244745083,0.150062178591712,,,,,,,2,0,0.1721554926621,,,0.1721554926621,0.1721554926621,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,union-positive,TRUE,FALSE,5,5,1,0.362474343876403,0.0284853457785529,0.357741474396942,0.322075779523613,0.399369060259382,0.362474343876403,,,,,,,2,0,0.387502744922844,,,0.387502744922844,0.387502744922844,TRUE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,union-positive,TRUE,FALSE,5,5,1,0.3101779912573,0.0288017933832921,0.311528589641659,0.266033557687788,0.346331518582116,0.3101779912573,,,,,,,2,0,0.335359566588238,,,0.335359566588238,0.335359566588238,TRUE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,union-positive,TRUE,FALSE,5,5,1,0.354833121237305,0.0294058652725043,0.352599459117917,0.313939065296075,0.387171473647446,0.354833121237305,,,,,,,2,0,0.360599534297009,,,0.360599534297009,0.360599534297009,TRUE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_SPERMATOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,near-threshold only,FALSE,TRUE,5,0,0,0.0259109789043061,0.0250297602190212,0.0323703784885088,-0.0178534383469608,0.0423100089221454,0.0259109789043061,,,,,,,1,0,0.0581050367381306,,,0.0581050367381306,0.0581050367381306,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_SPERMATOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,near-threshold only,FALSE,TRUE,5,0,0,0.0287101963377603,0.0331948041022983,0.0337215157353261,-0.0183441939356876,0.0656263114232772,0.0287101963377603,,,,,,,1,0,0.0838574050246512,,,0.0838574050246512,0.0838574050246512,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_SPERMATOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,near-threshold only,FALSE,TRUE,5,0,0,0.168999980404475,0.0169219695385206,0.170140238792928,0.145655615019732,0.185321261168418,0.168999980404475,,,,,,,1,0,0.19466216244349,,,0.19466216244349,0.19466216244349,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_TGF_BETA_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,near-threshold only,FALSE,TRUE,5,0,0,0.0989888655404857,0.0434525391768949,0.0806937193050531,0.0465142019137095,0.152129230076642,0.0989888655404857,,,,,,,1,0,0.157818441141969,,,0.157818441141969,0.157818441141969,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_TGF_BETA_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,ProvGigaPath,near-threshold only,FALSE,TRUE,5,0,0,0.167422388385266,0.0278013999376677,0.179982644625099,0.125823111179478,0.192747473454309,0.167422388385266,,,,,,,1,0,0.198402925949348,,,0.198402925949348,0.198402925949348,FALSE,1
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_TGF_BETA_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,TITAN,near-threshold only,FALSE,TRUE,5,2,0.4,0.188756602368668,0.0294495769520997,0.197663789349945,0.143376013577925,0.221228357742785,0.188756602368668,,,,,,,2,0,0.197611683361728,,,0.197611683361728,0.197611683361728,FALSE,0.6
continuous,rna_pathway_activity,MSigDB Hallmark,KIRP,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,GigaSSL,union-positive and near-threshold,TRUE,TRUE,5,2,0.4,0.194483995170925,0.049638024936139,0.185860478947395,0.140257546779083,0.251855338542813,0.194483995170925,,,,,,,2,0,0.228447675108056,,,0.228447675108056,0.228447675108056,TRUE,0.4
