foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n_primary,positive_primary,negative_primary,metric_primary,screen_positive_primary,n_exact,positive_exact,negative_exact,metric_exact,screen_positive_exact,delta_exact_minus_primary,threshold_change
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,GBM,PIK3CA,TCGA_MC3_Bailey2018,240,22,218,0.473311092577148,FALSE,240,22,218,0.473311092577148,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,GBM,PTEN,TCGA_MC3_Bailey2018,240,53,187,0.597921501362123,FALSE,240,53,187,0.597921501362123,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,GBM,TP53,TCGA_MC3_Bailey2018,240,52,188,0.669803600654665,TRUE,240,52,188,0.669803600654665,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,AJUBA,TCGA_MC3_Bailey2018,431,28,403,0.627880184331797,TRUE,431,28,403,0.627880184331797,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,CASP8,TCGA_MC3_Bailey2018,431,47,384,0.642121010638298,TRUE,431,47,384,0.642121010638298,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,CDKN2A,TCGA_MC3_Bailey2018,431,92,339,0.545241759651148,FALSE,431,92,339,0.545241759651148,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,EP300,TCGA_MC3_Bailey2018,431,30,401,0.583624272651704,FALSE,431,30,401,0.583624272651704,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,EPHA2,TCGA_MC3_Bailey2018,431,23,408,0.482949701619778,FALSE,431,23,408,0.482949701619778,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,FAT1,TCGA_MC3_Bailey2018,431,96,335,0.560820895522388,FALSE,431,96,335,0.560820895522388,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,FBXW7,TCGA_MC3_Bailey2018,431,28,403,0.551488833746898,FALSE,431,28,403,0.551488833746898,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HLA-B,TCGA_MC3_Bailey2018,431,20,411,0.536131386861314,FALSE,431,20,411,0.536131386861314,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HRAS,TCGA_MC3_Bailey2018,431,27,404,0.632379904657132,TRUE,431,27,404,0.632379904657132,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HUWE1,TCGA_MC3_Bailey2018,431,40,391,0.65690537084399,TRUE,431,40,391,0.65690537084399,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,KEAP1,TCGA_MC3_Bailey2018,431,20,411,0.724087591240876,TRUE,431,20,411,0.724087591240876,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,KMT2D,TCGA_MC3_Bailey2018,431,66,365,0.506807804068078,FALSE,431,66,365,0.506807804068078,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,NFE2L2,TCGA_MC3_Bailey2018,431,26,405,0.535327635327635,FALSE,431,26,405,0.535327635327635,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,NOTCH1,TCGA_MC3_Bailey2018,431,77,354,0.480409421087387,FALSE,431,77,354,0.480409421087387,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,NSD1,TCGA_MC3_Bailey2018,431,51,380,0.743292053663571,TRUE,431,51,380,0.743292053663571,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,PIK3CA,TCGA_MC3_Bailey2018,431,74,357,0.502498296615944,FALSE,431,74,357,0.502498296615944,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,TGFBR2,TCGA_MC3_Bailey2018,431,21,410,0.592915214866434,FALSE,431,21,410,0.592915214866434,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,TP53,TCGA_MC3_Bailey2018,431,320,111,0.685275900900901,TRUE,431,320,111,0.685275900900901,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,KICH,TP53,TCGA_MC3_Bailey2018,65,21,44,0.53030303030303,FALSE,65,21,44,0.53030303030303,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,BAP1,TCGA_MC3_Bailey2018,351,35,316,0.627396021699819,TRUE,351,35,316,0.627396021699819,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,MTOR,TCGA_MC3_Bailey2018,351,27,324,0.454618198445359,FALSE,351,27,324,0.454618198445359,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,PBRM1,TCGA_MC3_Bailey2018,351,142,209,0.63339847698632,TRUE,351,142,209,0.63339847698632,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,SETD2,TCGA_MC3_Bailey2018,351,47,304,0.583146696528555,FALSE,351,47,304,0.583146696528555,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,KIRC,VHL,TCGA_MC3_Bailey2018,351,160,191,0.575523560209424,FALSE,351,160,191,0.575523560209424,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,ATRX,TCGA_MC3_Bailey2018,485,181,304,0.80722957255016,TRUE,485,181,304,0.80722957255016,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,CIC,TCGA_MC3_Bailey2018,485,105,380,0.809022556390977,TRUE,485,105,380,0.809022556390977,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,EGFR,TCGA_MC3_Bailey2018,485,34,451,0.769662188600496,TRUE,485,34,451,0.769662188600496,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,FUBP1,TCGA_MC3_Bailey2018,485,44,441,0.809059987631416,TRUE,485,44,441,0.809059987631416,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,IDH1,TCGA_MC3_Bailey2018,485,375,110,0.782448484848485,TRUE,485,375,110,0.782448484848485,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,IDH2,TCGA_MC3_Bailey2018,485,20,465,0.842688172043011,TRUE,485,20,465,0.842688172043011,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,NF1,TCGA_MC3_Bailey2018,485,31,454,0.515134290180475,FALSE,485,31,454,0.515134290180475,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,NOTCH1,TCGA_MC3_Bailey2018,485,32,453,0.576434878587197,FALSE,485,32,453,0.576434878587197,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,PIK3CA,TCGA_MC3_Bailey2018,485,40,445,0.586685393258427,FALSE,485,40,445,0.586685393258427,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,PIK3R1,TCGA_MC3_Bailey2018,485,21,464,0.463772577996716,FALSE,485,21,464,0.463772577996716,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,PTEN,TCGA_MC3_Bailey2018,485,23,462,0.600131752305665,TRUE,485,23,462,0.600131752305665,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,SMARCA4,TCGA_MC3_Bailey2018,485,25,460,0.487478260869565,FALSE,485,25,460,0.487478260869565,FALSE,0,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LGG,TP53,TCGA_MC3_Bailey2018,485,232,253,0.86597042387897,TRUE,485,232,253,0.86597042387897,TRUE,0,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,ALB,TCGA_MC3_Bailey2018,346,45,301,0.48733850129199,FALSE,346,45,301,0.4859357696567,FALSE,-0.00140273163529003,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,APOB,TCGA_MC3_Bailey2018,346,34,312,0.539121417797888,FALSE,346,34,312,0.552696078431373,FALSE,0.013574660633485,retained negative
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,ARID1A,TCGA_MC3_Bailey2018,346,26,320,0.605168269230769,TRUE,346,26,320,0.604206730769231,TRUE,-0.000961538461538014,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,AXIN1,TCGA_MC3_Bailey2018,346,25,321,0.670654205607477,TRUE,346,25,321,0.671526479750779,TRUE,0.000872274143301932,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,BAP1,TCGA_MC3_Bailey2018,346,20,326,0.694938650306749,TRUE,346,20,326,0.702147239263804,TRUE,0.00720858895705501,retained positive
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,CTNNB1,TCGA_MC3_Bailey2018,346,92,254,0.599238274563506,FALSE,346,92,254,0.605700102704553,TRUE,0.00646182814104701,gained threshold
GigaSSL,binary,driver_mutation,Bailey_tissue_specific_driver,LIHC,TP53,TCGA_MC3_Bailey2018,346,106,240,0.600864779874214,TRUE,346,106,240,0.600550314465409,TRUE,-0.000314465408805087,retained positive
