truth,predicted,Freq
UCEC,SKCM,0
UCS,SKCM,0
UVM,SKCM,1
ACC,STAD,0
BLCA,STAD,1
BRCA,STAD,2
CESC,STAD,3
CHOL,STAD,2
COAD,STAD,17
DLBC,STAD,1
ESCA,STAD,52
GBM,STAD,0
HNSC,STAD,1
KICH,STAD,0
KIRC,STAD,0
KIRP,STAD,0
LGG,STAD,0
LIHC,STAD,1
LUAD,STAD,0
LUSC,STAD,0
MESO,STAD,0
OV,STAD,0
PAAD,STAD,27
PCPG,STAD,0
PRAD,STAD,0
READ,STAD,13
SARC,STAD,1
SKCM,STAD,0
STAD,STAD,294
TGCT,STAD,0
THCA,STAD,0
THYM,STAD,0
UCEC,STAD,0
UCS,STAD,0
UVM,STAD,0
ACC,TGCT,0
BLCA,TGCT,4
BRCA,TGCT,1
CESC,TGCT,0
CHOL,TGCT,0
COAD,TGCT,0
DLBC,TGCT,2
ESCA,TGCT,1
GBM,TGCT,0
HNSC,TGCT,0
KICH,TGCT,0
