tumor_type,repeat,patients,sites,macro_balanced_accuracy,macro_f1,accuracy,chance_macro_balanced_accuracy,normalized_macro_balanced_accuracy,selected_components_median,seed,backend,svd_method,rsvd_oversample,rsvd_power
PAAD,2,120,5,0.921176470588235,0.924709080643374,0.933333333333333,0.2,0.901470588235294,16,20760836,cpu,rsvd,32,5
PAAD,3,120,5,0.927843137254902,0.929214386176412,0.941666666666667,0.2,0.909803921568627,16,20760837,cpu,rsvd,32,5
PAAD,4,120,5,0.921176470588235,0.923403258692391,0.933333333333333,0.2,0.901470588235294,19,20760838,cpu,rsvd,32,5
PAAD,5,120,5,0.91604826546003,0.917000340279029,0.925,0.2,0.895060331825038,17,20760839,cpu,rsvd,32,5
PCPG,1,138,6,0.616117698726394,0.608367040166871,0.702898550724638,0.166666666666667,0.539341238471673,17,20760836,cpu,rsvd,32,5
PCPG,2,138,6,0.609559361733275,0.598986404898963,0.695652173913044,0.166666666666667,0.53147123407993,19,20760837,cpu,rsvd,32,5
PCPG,3,138,6,0.538757136583224,0.524339065147889,0.623188405797102,0.166666666666667,0.446508563899868,15,20760838,cpu,rsvd,32,5
PCPG,4,138,6,0.632451324842629,0.619785534955814,0.702898550724638,0.166666666666667,0.558941589811155,19,20760839,cpu,rsvd,32,5
PCPG,5,138,6,0.56383765188113,0.554866572561672,0.652173913043478,0.166666666666667,0.476605182257356,17,20760840,cpu,rsvd,32,5
PRAD,1,345,10,0.886471391576581,0.888930312839089,0.895652173913044,0.1,0.873857101751757,20,20760837,cpu,rsvd,32,5
PRAD,2,345,10,0.859306155898021,0.863982718325093,0.889855072463768,0.1,0.843673506553357,20,20760838,cpu,rsvd,32,5
PRAD,3,345,10,0.866848195179191,0.872711927510986,0.892753623188406,0.1,0.852053550199101,19,20760839,cpu,rsvd,32,5
PRAD,4,345,10,0.903498486864546,0.90059186227013,0.910144927536232,0.1,0.892776096516162,20,20760840,cpu,rsvd,32,5
PRAD,5,345,10,0.87310439469626,0.878277234745174,0.898550724637681,0.1,0.859004882995845,19,20760841,cpu,rsvd,32,5
READ,1,132,5,0.895072900955254,0.89004105090312,0.939393939393939,0.2,0.868841126194067,13,20760838,cpu,rsvd,32,5
