outcome_type,family,tumor_type,endpoint,p_permutation,q_value,q_value_global,q_value_outcome_wide,q_value_atlas_wide,tier
continuous,microsatellite_instability,LIHC,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,ESCA,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,GBM,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,THCA,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,UCS,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,PCPG,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,HNSC,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,PAAD,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,KIRC,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,KIRP,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,HNSC,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,ESCA,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,ACC,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,THYM,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,OV,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,THYM,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,PAAD,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,READ,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,KICH,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,MESO,MSIsensor score,1,1,1,1,1,C
continuous,microsatellite_instability,UCS,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,MESO,MANTIS score,1,1,1,1,1,C
continuous,microsatellite_instability,KICH,MSIsensor score,1,1,1,1,1,C
continuous,rna_pathway_activity,TGCT,HALLMARK_GLYCOLYSIS,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_NOTCH_SIGNALING,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_HYPOXIA,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_ESTROGEN_RESPONSE_LATE,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_APICAL_JUNCTION,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_MYOGENESIS,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_ALLOGRAFT_REJECTION,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,LUAD,HALLMARK_E2F_TARGETS,0.001,0.00236363636363636,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,LUAD,HALLMARK_G2M_CHECKPOINT,0.001,0.00236363636363636,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_PANCREAS_BETA_CELLS,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,LIHC,HALLMARK_BILE_ACID_METABOLISM,0.001,0.0013,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,BRCA,HALLMARK_MTORC1_SIGNALING,0.001,0.00140540540540541,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,PAAD,HALLMARK_NOTCH_SIGNALING,0.001,0.00192592592592593,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,SARC,HALLMARK_COMPLEMENT,0.001,0.00216666666666667,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_APOPTOSIS,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_HEDGEHOG_SIGNALING,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,BRCA,HALLMARK_E2F_TARGETS,0.001,0.00140540540540541,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_APICAL_SURFACE,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
