tumor_type,family,subfamily,endpoint,source,n,mean,sd,cohort_patients,missing_from_embedding_cohort
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_WNT_BETA_CATENIN_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,-8.86412155797313e-16,0.261982645775279,56,1
ACC,rna_pathway_activity,MSigDB Hallmark,HALLMARK_XENOBIOTIC_METABOLISM,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,5.70881725730549e-17,0.145127815597416,56,1
ACC,rna_pathway_activity,glutathione synthesis and recycling,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,55,5.77820619634457e-16,0.361611512173487,56,1
ACC,aneuploidy,aneuploidy,Aneuploidy score,Taylor2018_TableS2,54,19.5,10.0971694146765,56,2
ACC,aneuploidy,aneuploidy,Deleted arm count,Taylor2018_TableS2,54,9.59259259259259,8.23595091603058,56,2
ACC,aneuploidy,aneuploidy,Amplified arm count,Taylor2018_TableS2,54,9.90740740740741,6.59979564726094,56,2
ACC,fusion,fusion,Fusion burden,Gao2018_TableS1,55,1.07345417653173,0.936388003800887,56,1
ACC,microsatellite_instability,microsatellite_instability,MANTIS score,cBioPortal_TCGA_PanCancer,55,0.308396363636364,0.0410485934420294,56,1
ACC,microsatellite_instability,microsatellite_instability,MSIsensor score,cBioPortal_TCGA_PanCancer,55,0.849454545454545,1.00023037750351,56,1
BLCA,thorsson,immune_inflammatory_and_genomic_context,Leukocyte Fraction,Thorsson2018_PanImmune_MS,386,0.239921715629332,0.166051586657144,386,0
BLCA,thorsson,immune_inflammatory_and_genomic_context,Stromal Fraction,Thorsson2018_PanImmune_MS,376,0.396781914893617,0.226654545462303,386,10
BLCA,thorsson,immune_inflammatory_and_genomic_context,Intratumor Heterogeneity,Thorsson2018_PanImmune_MS,376,0.205425531914894,0.175764478132101,386,10
BLCA,thorsson,immune_inflammatory_and_genomic_context,TIL Regional Fraction,Thorsson2018_PanImmune_MS,297,7.09458508144777,6.63731848441583,386,89
BLCA,thorsson,immune_inflammatory_and_genomic_context,Proliferation,Thorsson2018_PanImmune_MS,373,0.410671313672922,0.541159211767973,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Wound Healing,Thorsson2018_PanImmune_MS,373,0.169667560321716,0.169679004168433,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Macrophage Regulation,Thorsson2018_PanImmune_MS,373,-0.387695978552279,0.852087281239062,386,13
BLCA,thorsson,immune_inflammatory_and_genomic_context,Lymphocyte Infiltration Signature Score,Thorsson2018_PanImmune_MS,373,-0.214955495978552,1.2310656713845,386,13
