family,tumor_type,endpoint,repeat,q2,rmse,spearman
thorsson,BRCA,TGF-beta Response,3,-0.285432082619574,0.36987229160059,-0.010598151484837
thorsson,BRCA,TGF-beta Response,4,-0.688612978719205,0.423928185229565,-0.0117736428136652
thorsson,BRCA,TGF-beta Response,5,-0.82763774224376,0.441034221695145,0.0249868930194636
thorsson,BRCA,TIL Regional Fraction,1,-0.286336028987686,6.2364921161931,-0.027979486221075
thorsson,BRCA,TIL Regional Fraction,2,-0.449842115904911,6.62099890894508,-0.00238074000557903
thorsson,BRCA,TIL Regional Fraction,3,-0.30363723655885,6.27829241259917,0.0677162415825541
thorsson,BRCA,TIL Regional Fraction,4,-0.319122299266559,6.31547022111734,-0.027617980388869
thorsson,BRCA,TIL Regional Fraction,5,-0.224190457300711,6.08397828913643,-0.000992064134593848
thorsson,BRCA,Wound Healing,1,-0.230463059321756,0.179007544009707,0.0137705516446952
thorsson,BRCA,Wound Healing,2,-0.138072451943204,0.17215593507046,-0.0234598590168051
thorsson,BRCA,Wound Healing,3,-0.0939545808915856,0.168786104386118,0.0194105049674732
thorsson,BRCA,Wound Healing,4,-0.255121766998053,0.18079231873449,-0.0466053637476554
thorsson,BRCA,Wound Healing,5,-0.127922359527882,0.171386514706551,0.0249837978415588
thorsson,KIRC,CTA Score,1,-0.235986701152455,0.582643776947647,-0.0153233704929344
thorsson,KIRC,CTA Score,2,-0.374157092601341,0.614347938331658,-0.0409405364767949
thorsson,KIRC,CTA Score,3,-0.308303318064541,0.599446508129602,-0.0388695350053796
thorsson,KIRC,CTA Score,4,-0.217144040661625,0.578185507692625,0.122566559988092
thorsson,KIRC,CTA Score,5,-0.336988922341381,0.605982549213978,-0.0381451945892689
thorsson,KIRC,IFN-gamma Response,1,-0.0182743397491081,0.430599888825907,0.074509233424216
thorsson,KIRC,IFN-gamma Response,2,-0.438178109369028,0.511738215647752,-0.000415643861897698
thorsson,KIRC,IFN-gamma Response,3,-0.0530261100712117,0.437886023295873,-0.0107181972374236
thorsson,KIRC,IFN-gamma Response,4,-0.104575605789084,0.448476031401511,0.014160017387587
thorsson,KIRC,IFN-gamma Response,5,-0.354905170530057,0.496702062682348,-0.00469217108599153
thorsson,KIRC,Leukocyte Fraction,1,-0.825328415152996,0.186817898733031,-0.0188674084694933
thorsson,KIRC,Leukocyte Fraction,2,-0.303528391483969,0.157873131330568,-0.0276458758158355
thorsson,KIRC,Leukocyte Fraction,3,-0.320440505336155,0.158893962178403,0.0120710569861787
thorsson,KIRC,Leukocyte Fraction,4,-0.309758635499478,0.158249960737512,0.0227637707167403
thorsson,KIRC,Leukocyte Fraction,5,-0.83973412774327,0.187553644661363,0.0688319681866012
thorsson,KIRC,Lymphocyte Infiltration Signature Score,1,-0.779405731387189,1.15719873007815,0.0328365103063591
thorsson,KIRC,Lymphocyte Infiltration Signature Score,2,-0.453657530472199,1.04592731995325,-0.056183937630037
thorsson,KIRC,Lymphocyte Infiltration Signature Score,3,-0.0536256324959026,0.890458368217214,0.0163983817858555
thorsson,KIRC,Lymphocyte Infiltration Signature Score,4,-0.568282951018731,1.08638226308429,0.00831675998577721
thorsson,KIRC,Lymphocyte Infiltration Signature Score,5,-0.18347752176008,0.943735870865615,0.0559442231708792
thorsson,KIRC,Macrophage Regulation,1,-0.221628660630544,0.560071800509387,0.00334181100696562
thorsson,KIRC,Macrophage Regulation,2,-0.156632543522115,0.544969006585435,0.0428171077831635
thorsson,KIRC,Macrophage Regulation,3,-0.761412631527153,0.672519146658428,0.0127783701578897
thorsson,KIRC,Macrophage Regulation,4,-0.16739132303941,0.547497739615113,0.0817704265553423
thorsson,KIRC,Macrophage Regulation,5,-0.975711520058874,0.7122555894936,0.0094952022985952
thorsson,KIRC,Proliferation,1,-0.282255837039892,0.554832968030199,0.011339492299861
thorsson,KIRC,Proliferation,2,-0.314611812513354,0.561789582506551,0.030616351548068
thorsson,KIRC,Proliferation,3,-0.107098510865346,0.515546745679654,-0.0111992217949274
thorsson,KIRC,Proliferation,4,-0.0872182061247755,0.510896908388119,-0.0382915597099755
thorsson,KIRC,Proliferation,5,-0.299129336124785,0.55847162391044,-0.0511143303294186
thorsson,KIRC,TCR Shannon,1,-0.471374634507945,1.19365779311698,-0.0516481825220092
thorsson,KIRC,TCR Shannon,2,-0.381210049070587,1.15650647891125,0.0257496702487251
thorsson,KIRC,TCR Shannon,3,-0.203704864185474,1.07963812711125,-0.0197747261199953
thorsson,KIRC,TCR Shannon,4,-0.0666597959147119,1.01632162965425,-0.0154902021273297
thorsson,KIRC,TCR Shannon,5,-0.0726673557967803,1.01917963569586,0.0488946050676658
thorsson,KIRC,TGF-beta Response,1,-0.624720358065943,0.407295843855917,0.113921534447753
