tumor_type,family,subfamily,endpoint,source,n,positive,negative,prevalence,cohort_patients,missing_from_embedding_cohort
DLBC,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,44,11,33,0.25,44,0
DLBC,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,33,0,33,0,44,11
ESCA,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,136,79,57,0.580882352941177,156,20
ESCA,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,143,129,14,0.902097902097902,156,13
ESCA,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,143,26,117,0.181818181818182,156,13
ESCA,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,143,32,111,0.223776223776224,156,13
ESCA,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,143,46,97,0.321678321678322,156,13
ESCA,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,143,22,121,0.153846153846154,156,13
ESCA,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,143,61,82,0.426573426573427,156,13
ESCA,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,143,81,62,0.566433566433567,156,13
ESCA,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,143,131,12,0.916083916083916,156,13
ESCA,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,143,27,116,0.188811188811189,156,13
ESCA,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,143,29,114,0.202797202797203,156,13
ESCA,fusion,fusion,Any called fusion,Gao2018_TableS1,154,103,51,0.668831168831169,156,2
ESCA,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,155,2,153,0.0129032258064516,156,1
ESCA,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,155,2,153,0.0129032258064516,156,1
GBM,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,362,46,316,0.12707182320442,384,22
GBM,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,64,62,2,0.96875,384,320
GBM,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,71,8,63,0.112676056338028,384,313
GBM,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,71,7,64,0.0985915492957746,384,313
GBM,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,71,14,57,0.197183098591549,384,313
GBM,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,71,0,71,0,384,313
GBM,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,71,40,31,0.563380281690141,384,313
GBM,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,71,52,19,0.732394366197183,384,313
GBM,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,71,38,33,0.535211267605634,384,313
GBM,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,71,1,70,0.0140845070422535,384,313
GBM,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,71,7,64,0.0985915492957746,384,313
GBM,fusion,fusion,Any called fusion,Gao2018_TableS1,91,81,10,0.89010989010989,384,293
GBM,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,239,1,238,0.00418410041841004,384,145
GBM,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,238,0,238,0,384,146
HNSC,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,435,176,259,0.404597701149425,450,15
HNSC,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,412,332,80,0.805825242718447,450,38
HNSC,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,412,156,256,0.378640776699029,450,38
HNSC,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,412,78,334,0.189320388349515,450,38
HNSC,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,412,143,269,0.347087378640777,450,38
HNSC,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,412,50,362,0.121359223300971,450,38
HNSC,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,412,170,242,0.412621359223301,450,38
HNSC,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,412,176,236,0.427184466019417,450,38
HNSC,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,412,312,100,0.757281553398058,450,38
HNSC,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,412,54,358,0.131067961165049,450,38
HNSC,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,412,64,348,0.155339805825243,450,38
HNSC,fusion,fusion,Any called fusion,Gao2018_TableS1,435,302,133,0.694252873563218,450,15
HNSC,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,428,4,424,0.00934579439252336,450,22
HNSC,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,425,1,424,0.00235294117647059,450,25
KICH,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,65,10,55,0.153846153846154,108,43
KICH,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,65,15,50,0.230769230769231,108,43
KICH,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,65,2,63,0.0307692307692308,108,43
KICH,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,65,1,64,0.0153846153846154,108,43
KICH,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,65,2,63,0.0307692307692308,108,43
KICH,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,65,0,65,0,108,43
KICH,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,65,10,55,0.153846153846154,108,43
KICH,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,65,3,62,0.0461538461538462,108,43
KICH,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,65,21,44,0.323076923076923,108,43
KICH,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,65,3,62,0.0461538461538462,108,43
KICH,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,65,2,63,0.0307692307692308,108,43
KICH,fusion,fusion,Any called fusion,Gao2018_TableS1,65,11,54,0.169230769230769,108,43
KICH,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,65,0,65,0,108,43
KICH,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,65,0,65,0,108,43
KIRC,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,464,89,375,0.191810344827586,513,49
KIRC,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,243,46,197,0.189300411522634,513,270
KIRC,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,336,17,319,0.0505952380952381,513,177
KIRC,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,336,18,318,0.0535714285714286,513,177
KIRC,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,336,24,312,0.0714285714285714,513,177
KIRC,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,336,9,327,0.0267857142857143,513,177
KIRC,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,336,55,281,0.163690476190476,513,177
KIRC,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,336,47,289,0.139880952380952,513,177
KIRC,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,336,19,317,0.0565476190476191,513,177
KIRC,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,336,9,327,0.0267857142857143,513,177
KIRC,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,336,23,313,0.068452380952381,513,177
KIRC,fusion,fusion,Any called fusion,Gao2018_TableS1,507,151,356,0.297830374753452,513,6
KIRC,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,306,5,301,0.0163398692810458,513,207
KIRC,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,302,1,301,0.0033112582781457,513,211
KIRP,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,264,18,246,0.0681818181818182,273,9
KIRP,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,243,31,212,0.127572016460905,273,30
KIRP,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,255,29,226,0.113725490196078,273,18
KIRP,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,255,15,240,0.0588235294117647,273,18
KIRP,oncogenic_pathway,oncogenic_pathway,NOTCH,SanchezVega2018_TableS4,255,31,224,0.12156862745098,273,18
KIRP,oncogenic_pathway,oncogenic_pathway,NRF2,SanchezVega2018_TableS4,255,17,238,0.0666666666666667,273,18
KIRP,oncogenic_pathway,oncogenic_pathway,PI3K,SanchezVega2018_TableS4,255,21,234,0.0823529411764706,273,18
KIRP,oncogenic_pathway,oncogenic_pathway,RTK RAS,SanchezVega2018_TableS4,255,42,213,0.164705882352941,273,18
KIRP,oncogenic_pathway,oncogenic_pathway,TP53,SanchezVega2018_TableS4,255,9,246,0.0352941176470588,273,18
KIRP,oncogenic_pathway,oncogenic_pathway,TGF-Beta,SanchezVega2018_TableS4,255,4,251,0.0156862745098039,273,18
KIRP,oncogenic_pathway,oncogenic_pathway,WNT,SanchezVega2018_TableS4,255,24,231,0.0941176470588235,273,18
KIRP,fusion,fusion,Any called fusion,Gao2018_TableS1,265,62,203,0.233962264150943,273,8
KIRP,microsatellite_instability,microsatellite_instability,MSI-H (MANTIS >0.4),Bonneville2017_cBioPortal,264,0,264,0,273,9
KIRP,microsatellite_instability_sensitivity,microsatellite_instability_sensitivity,MSI-H strict (MANTIS >0.6),cBioPortal_threshold_documentation,264,0,264,0,273,9
LGG,aneuploidy,aneuploidy,Genome doubling,Taylor2018_TableS2,481,157,324,0.326403326403326,490,9
LGG,oncogenic_pathway,oncogenic_pathway,Cell Cycle,SanchezVega2018_TableS4,476,195,281,0.409663865546218,490,14
LGG,oncogenic_pathway,oncogenic_pathway,HIPPO,SanchezVega2018_TableS4,481,379,102,0.787941787941788,490,9
LGG,oncogenic_pathway,oncogenic_pathway,MYC,SanchezVega2018_TableS4,481,28,453,0.0582120582120582,490,9
