outcome_type,family,subfamily,tumor_type,endpoint,source,primary_best_foundation_model,alternative_partitions,primary_winner_repeat_count,primary_winner_repeat_proportion,modal_repeat_winner,modal_repeat_winner_count,modal_repeat_winner_proportion,modal_repeat_winner_tied
binary,driver_mutation,Bailey_tissue_specific_driver,GBM,PTEN,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,GBM,TP53,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,AJUBA,TCGA_MC3_Bailey2018,TITAN,5,0,0,GigaSSL,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,CASP8,TCGA_MC3_Bailey2018,TITAN,5,3,0.6,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,CDKN2A,TCGA_MC3_Bailey2018,TITAN,5,0,0,GigaSSL,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,EP300,TCGA_MC3_Bailey2018,GigaSSL,5,3,0.6,GigaSSL,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,FAT1,TCGA_MC3_Bailey2018,GigaSSL,5,5,1,GigaSSL,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,FBXW7,TCGA_MC3_Bailey2018,GigaSSL,5,3,0.6,GigaSSL,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HLA-B,TCGA_MC3_Bailey2018,TITAN,5,4,0.8,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HRAS,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,HUWE1,TCGA_MC3_Bailey2018,GigaSSL,5,3,0.6,GigaSSL,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,KEAP1,TCGA_MC3_Bailey2018,GigaSSL,5,4,0.8,GigaSSL,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,KMT2D,TCGA_MC3_Bailey2018,TITAN,5,4,0.8,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,NSD1,TCGA_MC3_Bailey2018,GigaSSL,5,2,0.4,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,HNSC,PIK3CA,TCGA_MC3_Bailey2018,ProvGigaPath,5,2,0.4,TITAN,3,0.6,FALSE
