outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,effect_GigaSSL,effect_ProvGigaPath,effect_TITAN,screening_positive_GigaSSL,screening_positive_ProvGigaPath,screening_positive_TITAN,q2_GigaSSL,q2_ProvGigaPath,q2_TITAN,rmse_GigaSSL,rmse_ProvGigaPath,rmse_TITAN,spearman_GigaSSL,spearman_ProvGigaPath,spearman_TITAN,balanced_accuracy_GigaSSL,balanced_accuracy_ProvGigaPath,balanced_accuracy_TITAN,auc_GigaSSL,auc_ProvGigaPath,auc_TITAN,pr_auc_GigaSSL,pr_auc_ProvGigaPath,pr_auc_TITAN,sensitivity_GigaSSL,sensitivity_ProvGigaPath,sensitivity_TITAN,specificity_GigaSSL,specificity_ProvGigaPath,specificity_TITAN,ppv_GigaSSL,ppv_ProvGigaPath,ppv_TITAN,npv_GigaSSL,npv_ProvGigaPath,npv_TITAN,prevalence_GigaSSL,prevalence_ProvGigaPath,prevalence_TITAN,no_skill_pr_auc_GigaSSL,no_skill_pr_auc_ProvGigaPath,no_skill_pr_auc_TITAN,supported_by_n,support_pattern,best_foundation_model
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,384,24,360,0.547800925925926,0.458912037037037,0.615393518518519,FALSE,FALSE,TRUE,,,,,,,,,,0.552777777777778,0.470833333333333,0.604166666666667,0.547800925925926,0.458912037037037,0.615393518518519,0.0886369858973017,0.065947057405795,0.0871992026317924,0.625,0.25,0.625,0.480555555555556,0.691666666666667,0.583333333333333,0.0742574257425743,0.0512820512820513,0.0909090909090909,0.950549450549451,0.932584269662921,0.958904109589041,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,1,TITAN,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CREBBP,TCGA_MC3_Bailey2018,384,48,336,0.561197916666667,0.561693948412698,0.523871527777778,FALSE,FALSE,FALSE,,,,,,,,,,0.589285714285714,0.516369047619048,0.537202380952381,0.561197916666667,0.561693948412698,0.523871527777778,0.157030112669814,0.165392063505142,0.127315539475441,0.6875,0.666666666666667,0.666666666666667,0.491071428571429,0.366071428571429,0.407738095238095,0.161764705882353,0.130612244897959,0.138528138528139,0.916666666666667,0.884892086330935,0.895424836601307,0.125,0.125,0.125,0.125,0.125,0.125,0,None,ProvGigaPath
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ELF3,TCGA_MC3_Bailey2018,384,46,338,0.48559300231541,0.52193208129663,0.507332132750193,FALSE,FALSE,FALSE,,,,,,,,,,0.467005402624132,0.507396449704142,0.446102392590687,0.48559300231541,0.52193208129663,0.507332132750193,0.123173531650395,0.132302785087485,0.164215006038207,0.543478260869565,0.5,0.347826086956522,0.390532544378698,0.514792899408284,0.544378698224852,0.108225108225108,0.122994652406417,0.0941176470588235,0.862745098039216,0.883248730964467,0.85981308411215,0.119791666666667,0.119791666666667,0.119791666666667,0.119791666666667,0.119791666666667,0.119791666666667,0,None,ProvGigaPath
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,EP300,TCGA_MC3_Bailey2018,384,54,330,0.521661054994388,0.482996632996633,0.531874298540965,FALSE,FALSE,FALSE,,,,,,,,,,0.476936026936027,0.485858585858586,0.527104377104377,0.521661054994388,0.482996632996633,0.531874298540965,0.189411917830358,0.144126414042008,0.152020004928637,0.462962962962963,0.444444444444444,0.648148148148148,0.490909090909091,0.527272727272727,0.406060606060606,0.129533678756477,0.133333333333333,0.151515151515152,0.848167539267016,0.852941176470588,0.875816993464052,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,0,None,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB2,TCGA_MC3_Bailey2018,384,46,338,0.517043992796501,0.656676099819913,0.520967326987394,FALSE,TRUE,FALSE,,,,,,,,,,0.495562130177515,0.556727553383072,0.520903010033445,0.517043992796501,0.656676099819913,0.520967326987394,0.165292946586567,0.240200658251059,0.130368044033098,0.5,0.521739130434783,0.695652173913044,0.49112426035503,0.591715976331361,0.346153846153846,0.117948717948718,0.148148148148148,0.126482213438735,0.878306878306878,0.900900900900901,0.893129770992367,0.119791666666667,0.119791666666667,0.119791666666667,0.119791666666667,0.119791666666667,0.119791666666667,1,ProvGigaPath,ProvGigaPath
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB3,TCGA_MC3_Bailey2018,384,40,344,0.562572674418605,0.518822674418605,0.52718023255814,FALSE,FALSE,FALSE,,,,,,,,,,0.553779069767442,0.528779069767442,0.490116279069767,0.562572674418605,0.518822674418605,0.52718023255814,0.152210677704697,0.112811812067296,0.126335299347791,0.625,0.7,0.425,0.482558139534884,0.357558139534884,0.555232558139535,0.123152709359606,0.112449799196787,0.1,0.917127071823204,0.911111111111111,0.892523364485981,0.104166666666667,0.104166666666667,0.104166666666667,0.104166666666667,0.104166666666667,0.104166666666667,0,None,GigaSSL
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERCC2,TCGA_MC3_Bailey2018,384,35,349,0.537617683176423,0.590503479328694,0.615063446582071,FALSE,FALSE,TRUE,,,,,,,,,,0.566598444535407,0.543512075317233,0.537781416291445,0.537617683176423,0.590503479328694,0.615063446582071,0.109221670080394,0.128181490443794,0.144302387490315,0.514285714285714,0.628571428571429,0.628571428571429,0.6189111747851,0.458452722063037,0.446991404011461,0.119205298013245,0.104265402843602,0.102325581395349,0.927038626609442,0.92485549132948,0.923076923076923,0.0911458333333333,0.0911458333333333,0.0911458333333333,0.0911458333333333,0.0911458333333333,0.0911458333333333,1,TITAN,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FAT1,TCGA_MC3_Bailey2018,384,46,338,0.557756624646257,0.562130177514793,0.54997427321842,FALSE,FALSE,FALSE,,,,,,,,,,0.539554926678673,0.556727553383072,0.57261384100849,0.557756624646257,0.562130177514793,0.54997427321842,0.156594738453743,0.147215485240138,0.141958975060548,0.608695652173913,0.521739130434783,0.630434782608696,0.470414201183432,0.591715976331361,0.514792899408284,0.135265700483092,0.148148148148148,0.150259067357513,0.898305084745763,0.900900900900901,0.910994764397906,0.119791666666667,0.119791666666667,0.119791666666667,0.119791666666667,0.119791666666667,0.119791666666667,0,None,ProvGigaPath
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FBXW7,TCGA_MC3_Bailey2018,384,30,354,0.564030131826742,0.550941619585688,0.572598870056497,FALSE,FALSE,FALSE,,,,,,,,,,0.562429378531073,0.514971751412429,0.549435028248588,0.564030131826742,0.550941619585688,0.572598870056497,0.100169010505423,0.110646338085793,0.140367290407554,0.466666666666667,0.733333333333333,0.5,0.65819209039548,0.296610169491525,0.598870056497175,0.103703703703704,0.0811808118081181,0.0955414012738854,0.93574297188755,0.929203539823009,0.933920704845815,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0,None,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,384,54,330,0.819921436588103,0.764478114478114,0.810886644219978,TRUE,TRUE,TRUE,,,,,,,,,,0.774410774410774,0.729124579124579,0.752020202020202,0.819921436588103,0.764478114478114,0.810886644219978,0.524301111954731,0.413474445377169,0.441655272048321,0.685185185185185,0.703703703703704,0.722222222222222,0.863636363636364,0.754545454545455,0.781818181818182,0.451219512195122,0.319327731092437,0.351351351351351,0.943708609271523,0.939622641509434,0.945054945054945,0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,3,TITAN+GigaSSL+ProvGigaPath,GigaSSL
