outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,effect_GigaSSL,effect_ProvGigaPath,effect_TITAN,screening_positive_GigaSSL,screening_positive_ProvGigaPath,screening_positive_TITAN,q2_GigaSSL,q2_ProvGigaPath,q2_TITAN,rmse_GigaSSL,rmse_ProvGigaPath,rmse_TITAN,spearman_GigaSSL,spearman_ProvGigaPath,spearman_TITAN,balanced_accuracy_GigaSSL,balanced_accuracy_ProvGigaPath,balanced_accuracy_TITAN,auc_GigaSSL,auc_ProvGigaPath,auc_TITAN,pr_auc_GigaSSL,pr_auc_ProvGigaPath,pr_auc_TITAN,sensitivity_GigaSSL,sensitivity_ProvGigaPath,sensitivity_TITAN,specificity_GigaSSL,specificity_ProvGigaPath,specificity_TITAN,ppv_GigaSSL,ppv_ProvGigaPath,ppv_TITAN,npv_GigaSSL,npv_ProvGigaPath,npv_TITAN,prevalence_GigaSSL,prevalence_ProvGigaPath,prevalence_TITAN,no_skill_pr_auc_GigaSSL,no_skill_pr_auc_ProvGigaPath,no_skill_pr_auc_TITAN,supported_by_n,support_pattern,best_foundation_model,effect_range,discordance_rank
continuous,thorsson,immune_inflammatory_and_genomic_context,MESO,Macrophage Regulation,Thorsson2018_PanImmune_MS,72,,,-0.0687236118942576,-0.0892147326229347,0.17751251511187,FALSE,FALSE,FALSE,-0.0687236118942576,-0.0892147326229347,0.17751251511187,0.498756237021486,0.503514974320088,0.437542542934325,0.214033056788218,0.140587819152357,0.417390185864043,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.266727247734805,305
continuous,microsatellite_instability,microsatellite_instability,ACC,MSIsensor score,cBioPortal_TCGA_PanCancer,53,,,-0.381571938038986,-0.114850430101081,-0.301888963532588,FALSE,FALSE,FALSE,-0.381571938038986,-0.114850430101081,-0.301888963532588,1.17934656677702,1.05940739043689,1.144831757183,0.236115387087533,0.324759526771625,0.0511206759124921,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,ProvGigaPath,0.266721507937905,306
continuous,thorsson,immune_inflammatory_and_genomic_context,KICH,NK Cells Resting,Thorsson2018_PanImmune_MS,65,,,-0.377665457213081,-0.511833141883134,-0.246135010462924,FALSE,FALSE,FALSE,-0.377665457213081,-0.511833141883134,-0.246135010462924,0.0533212482062042,0.0558573532842328,0.0507120271863976,-0.18931423713483,-0.373026409009213,-0.0659354188987678,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.26569813142021,307
continuous,rna_pathway_activity,MSigDB Hallmark,ACC,HALLMARK_HEDGEHOG_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,53,,,-0.102703047134193,0.162591289472052,-0.0168799617068423,FALSE,FALSE,FALSE,-0.102703047134193,0.162591289472052,-0.0168799617068423,0.268452963682983,0.233941705947706,0.25779456689603,0.169811320754717,0.382438316400581,0.137880986937591,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,ProvGigaPath,0.265294336606245,308
continuous,rna_pathway_activity,MSigDB Hallmark,PAAD,HALLMARK_TGF_BETA_SIGNALING,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,176,,,0.103202688549467,0.251963918332522,0.367754953904254,FALSE,TRUE,TRUE,0.103202688549467,0.251963918332522,0.367754953904254,0.367919902927428,0.336021763319178,0.308922009179563,0.338837772397094,0.397246313009025,0.350851860004402,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,TITAN+ProvGigaPath,TITAN,0.264552265354787,309
continuous,thorsson,immune_inflammatory_and_genomic_context,OV,T Cells Follicular Helper,Thorsson2018_PanImmune_MS,67,,,-0.1593813465534,-0.00656167022995136,0.103472126155834,FALSE,FALSE,FALSE,-0.1593813465534,-0.00656167022995136,0.103472126155834,0.0357305015454181,0.0332924803664877,0.031420121233126,0.265051586799627,0.277543854028702,0.432978789247968,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.262853472709234,310
continuous,rna_pathway_activity,MSigDB Hallmark,SKCM,HALLMARK_MYOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,97,,,-0.265762638449776,-0.359024938322123,-0.0964268630760849,FALSE,FALSE,FALSE,-0.265762638449776,-0.359024938322123,-0.0964268630760849,0.266184064307585,0.275816109828755,0.24773978104911,-0.0109799074268883,0.0258915421838839,0.12927361666316,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.262598075246038,311
continuous,rna_pathway_activity,MSigDB Hallmark,MESO,HALLMARK_UV_RESPONSE_UP,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,75,,,-0.194544107827537,0.0675718387181853,-0.00819970008472137,FALSE,FALSE,FALSE,-0.194544107827537,0.0675718387181853,-0.00819970008472137,0.182710558462724,0.161424793923218,0.167855598848733,0.0728591749644381,0.330384068278805,0.259089615931721,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,ProvGigaPath,0.262115946545722,312
continuous,rna_pathway_activity,MSigDB Hallmark,ACC,HALLMARK_P53_PATHWAY,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,53,,,-0.250598185614135,-0.298563020139803,-0.0390729040881306,FALSE,FALSE,FALSE,-0.250598185614135,-0.298563020139803,-0.0390729040881306,0.184928130054063,0.188441085208298,0.168564878170603,0.0706337687469763,0.157071440090308,0.132962425415256,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.259490116051672,313
continuous,thorsson,immune_inflammatory_and_genomic_context,KIRP,BCR Shannon,Thorsson2018_PanImmune_MS,75,,,-0.267270445711934,-0.114814178229007,-0.00781241152322076,FALSE,FALSE,FALSE,-0.267270445711934,-0.114814178229007,-0.00781241152322076,1.3410443360192,1.25779459627216,1.19590955039218,0.0992668777422376,0.0865163426476251,0.180394858666264,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.259458034188713,314
continuous,rna_pathway_activity,MSigDB Hallmark,UCS,HALLMARK_BILE_ACID_METABOLISM,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,53,,,-0.307772806525414,-0.108667278945872,-0.0486397792519318,FALSE,FALSE,FALSE,-0.307772806525414,-0.108667278945872,-0.0486397792519318,0.279175905623181,0.257046915835006,0.249991329671578,0.348008385744235,0.159248508305112,0.238348653442993,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.259133027273482,315
continuous,thorsson,immune_inflammatory_and_genomic_context,THYM,BCR Richness,Thorsson2018_PanImmune_MS,63,,,-0.172626818806633,-0.140024403487657,0.0853116911088293,FALSE,FALSE,FALSE,-0.172626818806633,-0.140024403487657,0.0853116911088293,47.1029755175495,46.443560356022,41.6011173531773,0.0359049111723375,0.156338995813154,0.375329881161844,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,TITAN,0.257938509915462,316
continuous,microsatellite_instability,microsatellite_instability,MESO,MSIsensor score,cBioPortal_TCGA_PanCancer,71,,,-0.219553276438236,-0.212257783374334,-0.470169280184472,FALSE,FALSE,FALSE,-0.219553276438236,-0.212257783374334,-0.470169280184472,0.704304473549826,0.702194702720503,0.773292379042416,0.30831256686979,0.0589818396390256,0.172542056171867,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,ProvGigaPath,0.257911496810138,317
continuous,rna_pathway_activity,MSigDB Hallmark,OV,HALLMARK_SPERMATOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,67,,,-0.233348168284532,-0.0573298253260599,-0.315121963682216,FALSE,FALSE,FALSE,-0.233348168284532,-0.0573298253260599,-0.315121963682216,0.251972573875177,0.233300498740883,0.260191701507476,0.03886982201293,0.286894404980445,0.0476893606832149,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,ProvGigaPath,0.257792138356156,318
continuous,thorsson,immune_inflammatory_and_genomic_context,SARC,Macrophages M0,Thorsson2018_PanImmune_MS,218,,,-0.00407256821496582,0.0834199899967608,0.252565987634482,FALSE,FALSE,TRUE,-0.00407256821496582,0.0834199899967608,0.252565987634482,0.113955959323362,0.108877886312037,0.0983197846990368,0.292359754842017,0.371408274117674,0.442085698234411,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,TITAN,TITAN,0.256638555849448,319
continuous,rna_pathway_activity,MSigDB Hallmark,UCS,HALLMARK_UV_RESPONSE_DN,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,53,,,0.0985290025386228,0.124507969951712,-0.131472443360735,FALSE,FALSE,FALSE,0.0985290025386228,0.124507969951712,-0.131472443360735,0.299865510657003,0.295513099308485,0.335948440175362,0.30188679245283,0.340751491694888,0.0898242218996936,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,None,ProvGigaPath,0.255980413312447,320
