family,tumor_type,endpoint,n,mean_pool_q2,median_pool_q2,delta_median_minus_mean,seed
rna_pathway_activity,OV,HALLMARK_FATTY_ACID_METABOLISM,69,0.311258428621447,0.311258428621447,-5.55111512312578e-17,20262574
rna_pathway_activity,LGG,HALLMARK_E2F_TARGETS,490,0.31115079128775,0.307980074042153,-0.0031707172455972,20262039
rna_pathway_activity,BLCA,HALLMARK_APOPTOSIS,382,0.311137981582232,0.311248904317875,0.00011092273564256,20260973
rna_pathway_activity,STAD,HALLMARK_UV_RESPONSE_DN,354,0.310874557325987,0.310874557325987,1.11022302462516e-16,20263352
rna_pathway_activity,TGCT,HALLMARK_DNA_REPAIR,149,0.310172296496855,0.313330521791952,0.00315822529509663,20263424
rna_pathway_activity,ESCA,HALLMARK_P53_PATHWAY,155,0.309521051889525,0.309521051889525,3.88578058618805e-16,20261433
rna_pathway_activity,LIHC,HALLMARK_NOTCH_SIGNALING,358,0.308941897878691,0.308941897878691,-3.33066907387547e-16,20262168
rna_pathway_activity,SARC,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,252,0.308602239485974,0.309503758744717,0.000901519258743266,20263132
rna_pathway_activity,LIHC,HALLMARK_IL2_STAT5_SIGNALING,358,0.307852619756086,0.307852619756086,-4.44089209850063e-16,20262156
rna_pathway_activity,KIRC,HALLMARK_COMPLEMENT,510,0.307321170351121,0.307311758307384,-9.41204373666737e-06,20261826
rna_pathway_activity,BRCA,HALLMARK_INTERFERON_GAMMA_RESPONSE,1052,0.306875363668007,0.306181671611035,-0.000693692056971618,20261101
rna_pathway_activity,BRCA,GOBP_VITAMIN_B6_METABOLIC_PROCESS,1052,0.306756043101693,0.306910538714567,0.000154495612874395,20261074
rna_pathway_activity,BRCA,HALLMARK_COMPLEMENT,1052,0.306246095437676,0.305390175490923,-0.000855919946752604,20261085
rna_pathway_activity,PCPG,HALLMARK_WNT_BETA_CATENIN_SIGNALING,176,0.305784584641344,0.305784584641344,-3.88578058618805e-16,20262817
rna_pathway_activity,THYM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,117,0.305620048346552,0.305452987350863,-0.000167060995688861,20263659
rna_pathway_activity,BRCA,HALLMARK_MYOGENESIS,1052,0.305590940986147,0.305766379423387,0.00017543843724005,20261108
rna_pathway_activity,PAAD,HALLMARK_MITOTIC_SPINDLE,176,0.304992759101432,0.305797967881523,0.000805208780090938,20262695
rna_pathway_activity,SARC,HALLMARK_INTERFERON_ALPHA_RESPONSE,252,0.304422015528395,0.305595841828912,0.00117382630051721,20263116
rna_pathway_activity,MESO,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,75,0.304408272781986,0.304374276461662,-3.39963203241922e-05,20262466
rna_pathway_activity,THYM,HALLMARK_MYC_TARGETS_V2,117,0.304120056918142,0.303200411911171,-0.000919645006971448,20263656
rna_pathway_activity,SARC,HALLMARK_ANGIOGENESIS,252,0.303459875726734,0.299127299115327,-0.00433257661140712,20263094
rna_pathway_activity,ACC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,55,0.303312359896143,0.315646556130653,0.0123341962345103,20260872
rna_pathway_activity,LUAD,HALLMARK_IL2_STAT5_SIGNALING,462,0.302841803398481,0.302390246918724,-0.000451556479757032,20262264
