layer,foundation_model,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,saved_current_balanced_accuracy,recomputed_primary_balanced_accuracy,primary_sensitivity,primary_specificity,primary_auc,primary_pr_auc,equal_prior_balanced_accuracy,equal_prior_sensitivity,equal_prior_specificity,equal_prior_auc,equal_prior_pr_auc,optimized_balanced_accuracy,optimized_sensitivity,optimized_specificity,optimized_auc,optimized_pr_auc,current_crossing,current_candidate,recomputed_primary_crossing,equal_prior_crossing,optimized_crossing,median_primary_component,median_equal_component,median_optimized_component,median_optimized_threshold,primary_components_at_ceiling,equal_components_at_ceiling,optimized_components_at_ceiling,equal_prior_delta_ba,optimized_delta_ba,primary_reproduction_delta,near_threshold,baseline_crossing,union_positive,optimized_membership_change,equal_prior_membership_change
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,HNSC,KMT2D,TCGA_MC3_Bailey2018,431,66,365,20261121,0.507990867579909,0.507990867579909,0.166666666666667,0.849315068493151,0.552677459526775,0.181288981659142,0.613989207139892,0.606060606060606,0.621917808219178,0.628767123287671,0.239668985244864,0.597073474470735,0.681818181818182,0.512328767123288,0.622291407222914,0.219630247091482,FALSE,FALSE,FALSE,TRUE,FALSE,12,1,1,-1.94175985536467,0,0,0,0.105998339559983,0.089082606890826,-3.33066907387547e-16,FALSE,FALSE,TRUE,FALSE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,KICH,TP53,TCGA_MC3_Bailey2018,65,21,44,20261128,0.541666666666667,0.541666666666667,0.333333333333333,0.75,0.587662337662338,0.465474762655353,0.600649350649351,0.428571428571429,0.772727272727273,0.626623376623377,0.483293301741581,0.606060606060606,0.666666666666667,0.545454545454545,0.628787878787879,0.460793710570297,FALSE,FALSE,FALSE,TRUE,TRUE,2,2,3,-3.32735776665215,0,0,0,0.058982683982684,0.0643939393939393,-3.33066907387547e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,KIRC,BAP1,TCGA_MC3_Bailey2018,353,35,318,20261129,0.536837376460018,0.536837376460018,0.142857142857143,0.930817610062893,0.555615453728661,0.135501574679555,0.580637915543576,0.428571428571429,0.732704402515723,0.656603773584906,0.185815710557338,0.606738544474394,0.628571428571429,0.584905660377359,0.659748427672956,0.193613244026407,FALSE,FALSE,FALSE,FALSE,TRUE,7,2,1,-3.06886130156509,0,0,0,0.043800539083558,0.0699011680143756,0,FALSE,FALSE,TRUE,TRUE,FALSE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,KIRC,PBRM1,TCGA_MC3_Bailey2018,353,144,209,20261131,0.584546119085593,0.584546119085593,0.451388888888889,0.717703349282297,0.648258904837852,0.533300585415404,0.614400584795322,0.597222222222222,0.631578947368421,0.657329877724615,0.561616497513093,0.615546916533759,0.743055555555556,0.488038277511962,0.657329877724615,0.560498118145406,FALSE,FALSE,FALSE,TRUE,TRUE,4,3,3,-0.92830087774639,0,0,0,0.0298544657097288,0.0310007974481659,-2.22044604925031e-16,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,KIRC,VHL,TCGA_MC3_Bailey2018,353,161,192,20261133,0.600219979296066,0.600219979296066,0.596273291925466,0.604166666666667,0.624482401656315,0.535735923975638,0.586309523809524,0.714285714285714,0.458333333333333,0.614971532091097,0.540253320775917,0.597421713250518,0.658385093167702,0.536458333333333,0.614971532091097,0.540253320775917,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,-0.0844902927539172,0,0,0,-0.0139104554865425,-0.00279826604554867,3.33066907387547e-16,TRUE,TRUE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,LGG,IDH2,TCGA_MC3_Bailey2018,485,20,465,20261139,0.564247311827957,0.564247311827957,0.15,0.978494623655914,0.761505376344086,0.180837797903656,0.728494623655914,0.7,0.756989247311828,0.749139784946237,0.12719208005668,0.740860215053764,0.8,0.681720430107527,0.805376344086022,0.12759532504947,FALSE,FALSE,FALSE,TRUE,TRUE,4,1,1,-3.29222379403046,0,0,0,0.164247311827957,0.176612903225807,0,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,LGG,NF1,TCGA_MC3_Bailey2018,485,31,454,20261140,0.54028705414239,0.54028705414239,0.129032258064516,0.951541850220264,0.662427170669319,0.144997504643525,0.659656103453176,0.548387096774194,0.770925110132159,0.766875088816257,0.181913522998587,0.629138837572829,0.612903225806452,0.645374449339207,0.698379991473639,0.164018640682591,FALSE,FALSE,FALSE,TRUE,TRUE,6,2,1,-3.35005640134703,0,0,0,0.119369049310786,0.0888517834304391,2.22044604925031e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,LGG,NOTCH1,TCGA_MC3_Bailey2018,485,32,453,20261141,0.501448675496689,0.501448675496689,0.0625,0.940397350993378,0.592784216335541,0.103134773893826,0.623240894039735,0.53125,0.71523178807947,0.699365342163356,0.200553969679927,0.667391004415011,0.53125,0.803532008830022,0.691570088300221,0.174615431905181,FALSE,FALSE,FALSE,TRUE,TRUE,6,2,1,-2.25167665852184,0,0,0,0.121792218543046,0.165942328918322,-3.33066907387547e-16,FALSE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,LIHC,AXIN1,TCGA_MC3_Bailey2018,350,25,325,20261150,0.556923076923077,0.556923076923077,0.16,0.953846153846154,0.635446153846154,0.139137253736115,0.643076923076923,0.56,0.726153846153846,0.697969230769231,0.14567031042592,0.626153846153846,0.64,0.612307692307692,0.655138461538462,0.142860021656534,FALSE,FALSE,FALSE,TRUE,TRUE,14,2,2,-3.07641643043994,0,0,0,0.0861538461538461,0.0692307692307692,0,TRUE,FALSE,TRUE,TRUE,TRUE
TITAN permutation/FDR screen,TITAN,driver_mutation,Bailey_tissue_specific_driver,LUAD,ATM,TCGA_MC3_Bailey2018,463,37,426,20261155,0.495907879710697,0.495907879710697,0.027027027027027,0.964788732394366,0.540540540540541,0.0916401274520027,0.611819566044918,0.540540540540541,0.683098591549296,0.630313412003553,0.124045611828652,0.564902931100114,0.594594594594595,0.535211267605634,0.592183733028803,0.11151791146793,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,2,-3.02189160787259,1,0,0,0.115911686334222,0.0689950513894175,-3.88578058618805e-16,FALSE,FALSE,TRUE,FALSE,TRUE
