outcome_type,family,tumor_type,endpoint,repeat_id,pls_primary,ridge_primary,pls_secondary,ridge_secondary,delta_ridge_minus_pls,delta_secondary_ridge_minus_pls
binary,oncogenic_pathway,LGG,TP53,2,0.88057247681019,0.889035026997093,0.817778277723937,0.828637685172366,0.0084625501869029,0.0108594074484286
binary,oncogenic_pathway,LGG,TP53,3,0.89031565831372,0.889121556140108,0.824216045964281,0.839237505191749,-0.00119410217361204,0.0150214592274678
binary,oncogenic_pathway,LGG,TP53,4,0.875173058286031,0.888048594766717,0.825972587567493,0.836702201301398,0.0128755364806866,0.0107296137339056
binary,oncogenic_pathway,LGG,TP53,5,0.886075730305967,0.896459227467811,0.82584279385297,0.845415686003046,0.0103834971618441,0.0195728921500761
continuous,thorsson,BRCA,Proliferation,1,0.5175078179886,0.52930239200053,0.739834883503772,0.74903756275702,0.01179457401193,0.00920267925324758
continuous,thorsson,BRCA,Proliferation,2,0.491912776138274,0.525999022283585,0.730047584407966,0.745563052774869,0.0340862461453108,0.0155154683669029
continuous,thorsson,BRCA,Proliferation,3,0.516892404002279,0.53154153164387,0.743308238015593,0.74994746354577,0.014649127641591,0.00663922553017682
continuous,thorsson,BRCA,Proliferation,4,0.523443344990947,0.531305163460696,0.745562608774696,0.74936950905521,0.00786181846974943,0.00380690028051389
continuous,thorsson,BRCA,Proliferation,5,0.522992368006461,0.534505653957913,0.743332706169718,0.751547008940947,0.0115132859514525,0.0082143027712287
continuous,thorsson,BRCA,Wound Healing,1,0.519490550065285,0.542713944259096,0.71933015237344,0.733402642639137,0.0232233941938109,0.0140724902656963
continuous,thorsson,BRCA,Wound Healing,2,0.540005048775515,0.544229474090817,0.726511609977415,0.733890578581702,0.00422442531530187,0.00737896860428666
continuous,thorsson,BRCA,Wound Healing,3,0.518262372723096,0.541879171564993,0.720106453734531,0.733549853115751,0.0236167988418968,0.0134433993812206
continuous,thorsson,BRCA,Wound Healing,4,0.527925189643561,0.542764193032727,0.724661291064039,0.731670920196073,0.0148390033891658,0.00700962913203429
continuous,thorsson,BRCA,Wound Healing,5,0.534527621879041,0.53919880465467,0.727843800865302,0.730359083821924,0.0046711827756285,0.00251528295662196
continuous,thorsson,KIRP,Proliferation,1,0.505122024959831,0.526987623849504,0.599847530623938,0.627601816673773,0.0218655988896723,0.0277542860498345
continuous,thorsson,KIRP,Proliferation,2,0.500901011208056,0.52428362486898,0.619581144553124,0.62386398840734,0.0233826136609241,0.00428284385421618
continuous,thorsson,KIRP,Proliferation,3,0.481081669718373,0.497331158875306,0.603322806489569,0.609064537270093,0.0162494891569329,0.00574173078052431
continuous,thorsson,KIRP,Proliferation,4,0.524270233877304,0.532237751817734,0.620446757545486,0.623237979791032,0.00796751794043005,0.00279122224554584
continuous,thorsson,KIRP,Proliferation,5,0.482097678594345,0.511987999645663,0.583720131289832,0.601113721636547,0.0298903210513183,0.0173935903467148
continuous,thorsson,LUAD,Proliferation,1,0.52430943682842,0.536375192428265,0.728508545009602,0.739609844827488,0.0120657555998447,0.0111012998178862
continuous,thorsson,LUAD,Proliferation,2,0.519406652637282,0.528842647326392,0.72669053936258,0.734792647850411,0.00943599468910938,0.00810210848783077
continuous,thorsson,LUAD,Proliferation,3,0.522292602239865,0.545326726467606,0.729319478429226,0.740579134435013,0.0230341242277408,0.0112596560057869
continuous,thorsson,LUAD,Proliferation,4,0.530530586059051,0.538542998444828,0.732702154645319,0.739625427981767,0.0080124123857771,0.00692327333644838
continuous,thorsson,LUAD,Proliferation,5,0.52320522190084,0.534030255514987,0.728646355809737,0.737200201658215,0.0108250336141467,0.00855384584847807
continuous,thorsson,SARC,Macrophage Regulation,1,0.530486945018449,0.550634446605311,0.7155698965957,0.733069491914663,0.0201475015868626,0.0174995953189633
continuous,thorsson,SARC,Macrophage Regulation,2,0.49202540933337,0.515525890429785,0.685897148178732,0.706216624673498,0.0235004810964152,0.0203194764947653
continuous,thorsson,SARC,Macrophage Regulation,3,0.470855248032096,0.503250165747978,0.686838846020559,0.703983422411454,0.032394917715882,0.0171445763908946
continuous,thorsson,SARC,Macrophage Regulation,4,0.513826769058689,0.533693695066662,0.706480717057183,0.726972201091323,0.019866926007973,0.0204914840341394
continuous,thorsson,SARC,Macrophage Regulation,5,0.501300421630566,0.534279153924778,0.691788261614809,0.715110630674071,0.0329787322942121,0.0233223690592617
continuous,thorsson,TGCT,TGF-beta Response,1,0.664278177326936,0.692617145481604,0.787688087607818,0.81398217754561,0.0283389681546684,0.0262940899377928
continuous,thorsson,TGCT,TGF-beta Response,2,0.658822214867396,0.681679819750363,0.794158884343178,0.809588106764791,0.0228576048829672,0.0154292224216134
continuous,thorsson,TGCT,TGF-beta Response,3,0.684820340087968,0.685778458386049,0.799904122634527,0.807827887172306,0.000958118298081123,0.00792376453777921
continuous,thorsson,TGCT,TGF-beta Response,4,0.664539538019081,0.672092551798648,0.783306973227784,0.796755717243552,0.00755301377956663,0.0134487440157682
continuous,thorsson,TGCT,TGF-beta Response,5,0.675485476660788,0.68222206566818,0.790771710994863,0.806441552288214,0.00673658900739271,0.0156698412933516
continuous,thorsson,TGCT,Wound Healing,1,0.507089777330779,0.502498608548127,0.661210732492077,0.671020678667543,-0.00459116878265209,0.00980994617546627
continuous,thorsson,TGCT,Wound Healing,2,0.524538079203511,0.487734401113075,0.686503735225614,0.66979350992899,-0.0368036780904364,-0.0167102252966246
continuous,thorsson,TGCT,Wound Healing,3,0.499201368338261,0.474549015233349,0.659481960845306,0.649070461366627,-0.024652353104912,-0.0104114994786788
continuous,thorsson,TGCT,Wound Healing,4,0.518150209559113,0.49289500571284,0.667089296464394,0.65971888030011,-0.0252552038462727,-0.00737041616428424
continuous,thorsson,TGCT,Wound Healing,5,0.505986260615962,0.472996417718568,0.666861631675794,0.655726417300019,-0.0329898428973936,-0.0111352143757746
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,1,0.576130116703977,0.570972752373537,0.741493119326336,0.741654116212838,-0.0051573643304399,0.00016099688650284
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,2,0.57944985780609,0.576553851573623,0.743318981421183,0.745029512614232,-0.00289600623246755,0.00171053119304965
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,3,0.572601182799113,0.570357822061519,0.738001809053126,0.738452250553324,-0.00224336073759335,0.000450441500197574
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,4,0.581576363696159,0.577223500485379,0.744500953131688,0.7466396758026,-0.00435286321077955,0.00213872267091209
continuous,thorsson,THCA,Lymphocyte Infiltration Signature Score,5,0.576792029829461,0.575187944020887,0.742129722585458,0.745252012837583,-0.00160408580857419,0.0031222902521244
continuous,thorsson,THCA,Macrophage Regulation,1,0.512223047823775,0.512166863329054,0.706970778232148,0.710266502865028,-5.61844947211121e-05,0.00329572463287942
continuous,thorsson,THCA,Macrophage Regulation,2,0.511616687472952,0.513085363429535,0.702811383308536,0.707102723811495,0.00146867595658295,0.00429134050295965
continuous,thorsson,THCA,Macrophage Regulation,3,0.498232442694409,0.506711009476651,0.698818912173817,0.705859588528023,0.00847856678224168,0.00704067635420591
continuous,thorsson,THCA,Macrophage Regulation,4,0.509201867012126,0.512974310812786,0.703166509297132,0.708977410100679,0.00377244380066055,0.00581090080354674
continuous,thorsson,THCA,Macrophage Regulation,5,0.515992038522045,0.521197930205789,0.707822643377159,0.71461584889882,0.00520589168374375,0.0067932055216603
continuous,thorsson,THCA,TGF-beta Response,1,0.515590357658373,0.529519781201034,0.699579821777788,0.706587755492519,0.0139294235426617,0.00700793371473074
continuous,thorsson,THCA,TGF-beta Response,2,0.529491907601327,0.542288771411332,0.711107086457423,0.718295546620019,0.0127968638100052,0.00718846016259633
continuous,thorsson,THCA,TGF-beta Response,3,0.522444294625101,0.53624317695837,0.707796301359998,0.709428326518661,0.0137988823332688,0.00163202515866334
continuous,thorsson,THCA,TGF-beta Response,4,0.533434415484038,0.532319978569955,0.719269155484839,0.710167338446791,-0.00111443691408297,-0.0091018170380488
continuous,thorsson,THCA,TGF-beta Response,5,0.521059289474098,0.523885490160664,0.699560972407021,0.696035459941575,0.00282620068656603,-0.00352551246544608
