family,tumor_type,endpoint,repeat,sensitivity,specificity,balanced_accuracy,auc
driver_mutation,LGG,ATRX,2,0.718232044198895,0.845394736842105,0.7818133905205,0.855317679558011
driver_mutation,LGG,ATRX,3,0.751381215469613,0.819078947368421,0.785230081419017,0.833254579819715
driver_mutation,LGG,ATRX,4,0.729281767955801,0.842105263157895,0.785693515556848,0.854372637394592
driver_mutation,LGG,ATRX,5,0.729281767955801,0.822368421052632,0.775825094504216,0.850138121546961
driver_mutation,COAD,TP53,1,0.763975155279503,0.755656108597285,0.759815631938394,0.842472105899216
driver_mutation,COAD,TP53,2,0.782608695652174,0.787330316742081,0.784969506197128,0.864281498552598
driver_mutation,COAD,TP53,3,0.763975155279503,0.755656108597285,0.759815631938394,0.834883786290436
driver_mutation,COAD,TP53,4,0.782608695652174,0.787330316742081,0.784969506197128,0.860880807172367
driver_mutation,COAD,TP53,5,0.77639751552795,0.760180995475113,0.768289255501532,0.855484668783902
driver_mutation,UCEC,TP53,1,0.6,0.879518072289157,0.739759036144578,0.826603186941314
driver_mutation,UCEC,TP53,2,0.632258064516129,0.867469879518072,0.749863972017101,0.817061795569374
driver_mutation,UCEC,TP53,3,0.619354838709677,0.876506024096386,0.747930431403032,0.835775359502526
driver_mutation,UCEC,TP53,4,0.574193548387097,0.86144578313253,0.717819665759814,0.808239409249903
driver_mutation,UCEC,TP53,5,0.593548387096774,0.88855421686747,0.741051301982122,0.815720948309367
driver_mutation,UCEC,PTEN,1,0.800766283524904,0.663716814159292,0.732241548842098,0.800444173193639
driver_mutation,UCEC,PTEN,2,0.789272030651341,0.646017699115044,0.717644864883193,0.78672905435188
driver_mutation,UCEC,PTEN,3,0.78544061302682,0.68141592920354,0.73342827111518,0.804411216220798
driver_mutation,UCEC,PTEN,4,0.793103448275862,0.699115044247788,0.746109246261825,0.808734275929882
driver_mutation,UCEC,PTEN,5,0.770114942528736,0.68141592920354,0.725765435866138,0.805360594039264
driver_mutation,BRCA,TP53,1,0.552123552123552,0.914127423822715,0.733125487973133,0.827880512091038
driver_mutation,BRCA,TP53,2,0.606177606177606,0.885041551246537,0.745609578712072,0.841698841698842
driver_mutation,BRCA,TP53,3,0.621621621621622,0.893351800554017,0.757486711087819,0.841661408143403
driver_mutation,BRCA,TP53,4,0.563706563706564,0.897506925207756,0.73060674445716,0.824778874640371
driver_mutation,BRCA,TP53,5,0.61003861003861,0.883656509695291,0.74684755986695,0.833853838008963
driver_mutation,THCA,NRAS,1,0.358974358974359,0.946784922394679,0.652879640684519,0.819773722212747
driver_mutation,THCA,NRAS,2,0.435897435897436,0.957871396895787,0.696884416396611,0.795667746887259
driver_mutation,THCA,NRAS,3,0.358974358974359,0.962305986696231,0.660640172835295,0.828074364659731
driver_mutation,THCA,NRAS,4,0.384615384615385,0.955654101995565,0.670134743305475,0.776394337369947
driver_mutation,THCA,NRAS,5,0.41025641025641,0.960088691796009,0.68517255102621,0.83921769287623
driver_mutation,BRCA,CDH1,1,0.489583333333333,0.946892655367232,0.718237994350282,0.875506120527307
driver_mutation,BRCA,CDH1,2,0.552083333333333,0.937853107344633,0.744968220338983,0.880249529190207
driver_mutation,BRCA,CDH1,3,0.5,0.940112994350283,0.720056497175141,0.871351224105461
driver_mutation,BRCA,CDH1,4,0.552083333333333,0.942372881355932,0.747228107344633,0.880155367231638
driver_mutation,BRCA,CDH1,5,0.479166666666667,0.940112994350283,0.709639830508475,0.882203389830509
driver_mutation,LUAD,TP53,1,0.747863247863248,0.650655021834061,0.699259134848655,0.757604598215952
driver_mutation,LUAD,TP53,2,0.777777777777778,0.637554585152838,0.707666181465308,0.783525547717687
driver_mutation,LUAD,TP53,3,0.769230769230769,0.655021834061135,0.712126301645952,0.765517112678685
driver_mutation,LUAD,TP53,4,0.70940170940171,0.707423580786026,0.708412645093868,0.744522823125443
driver_mutation,LUAD,TP53,5,0.70940170940171,0.676855895196507,0.693128802299108,0.750867763968201
driver_mutation,BLCA,FGFR3,1,0.462962962962963,0.945454545454546,0.704208754208754,0.818742985409652
driver_mutation,BLCA,FGFR3,2,0.481481481481482,0.936363636363636,0.708922558922559,0.814365881032548
driver_mutation,BLCA,FGFR3,3,0.388888888888889,0.93030303030303,0.65959595959596,0.77037037037037
driver_mutation,BLCA,FGFR3,4,0.5,0.936363636363636,0.718181818181818,0.819304152637486
driver_mutation,BLCA,FGFR3,5,0.444444444444444,0.945454545454546,0.694949494949495,0.778058361391695
driver_mutation,STAD,TP53,1,0.64804469273743,0.671875,0.659959846368715,0.720059357541899
driver_mutation,STAD,TP53,2,0.681564245810056,0.677083333333333,0.679323789571695,0.730446927374302
driver_mutation,STAD,TP53,3,0.642458100558659,0.6875,0.66497905027933,0.732891061452514
driver_mutation,STAD,TP53,4,0.653631284916201,0.708333333333333,0.680982309124767,0.751571229050279
driver_mutation,STAD,TP53,5,0.620111731843575,0.734375,0.677243365921788,0.742347532588454
driver_mutation,COAD,KRAS,1,0.53968253968254,0.8359375,0.68781001984127,0.768818204365079
driver_mutation,COAD,KRAS,2,0.531746031746032,0.8046875,0.668216765873016,0.743055555555556
driver_mutation,COAD,KRAS,3,0.547619047619048,0.765625,0.656622023809524,0.710162450396825
driver_mutation,COAD,KRAS,4,0.603174603174603,0.7890625,0.696118551587302,0.782800099206349
driver_mutation,COAD,KRAS,5,0.555555555555556,0.80859375,0.682074652777778,0.79070560515873
driver_mutation,OV,TP53,1,0.5,0.78,0.64,0.596363636363636
driver_mutation,OV,TP53,2,0.5,0.86,0.68,0.702727272727273
driver_mutation,OV,TP53,3,0.409090909090909,0.8,0.604545454545455,0.616363636363636
driver_mutation,OV,TP53,4,0.5,0.9,0.7,0.703636363636364
driver_mutation,OV,TP53,5,0.5,0.8,0.65,0.639090909090909
driver_mutation,HNSC,TP53,1,0.921875,0.342342342342342,0.632108671171171,0.680940315315315
driver_mutation,HNSC,TP53,2,0.91875,0.333333333333333,0.626041666666667,0.709881756756757
driver_mutation,HNSC,TP53,3,0.909375,0.369369369369369,0.639372184684685,0.67713963963964
driver_mutation,HNSC,TP53,4,0.853125,0.387387387387387,0.620256193693694,0.644341216216216
driver_mutation,HNSC,TP53,5,0.85,0.387387387387387,0.618693693693694,0.634290540540541
driver_mutation,LGG,EGFR,1,0.352941176470588,0.968957871396896,0.660949523933742,0.869179600886918
driver_mutation,LGG,EGFR,2,0.323529411764706,0.951219512195122,0.637374461979914,0.835594104604148
driver_mutation,LGG,EGFR,3,0.441176470588235,0.960088691796009,0.700632581192122,0.891482979000913
driver_mutation,LGG,EGFR,4,0.411764705882353,0.962305986696231,0.687035346289292,0.816551454284596
driver_mutation,LGG,EGFR,5,0.294117647058824,0.951219512195122,0.622668579626973,0.850136950567367
driver_mutation,HNSC,NSD1,1,0.313725490196078,0.923684210526316,0.618704850361197,0.720278637770898
driver_mutation,HNSC,NSD1,2,0.333333333333333,0.923684210526316,0.628508771929825,0.726470588235294
driver_mutation,HNSC,NSD1,3,0.352941176470588,0.923684210526316,0.638312693498452,0.766976264189887
driver_mutation,HNSC,NSD1,4,0.294117647058824,0.936842105263158,0.615479876160991,0.731682146542828
driver_mutation,HNSC,NSD1,5,0.333333333333333,0.963157894736842,0.648245614035088,0.748710010319917
driver_mutation,LIHC,CTNNB1,1,0.526881720430108,0.750972762645914,0.638927241538011,0.698087946111041
driver_mutation,LIHC,CTNNB1,2,0.440860215053763,0.793774319066148,0.617317267059956,0.705409815488892
driver_mutation,LIHC,CTNNB1,3,0.494623655913979,0.856031128404669,0.675327392159324,0.741056859545626
driver_mutation,LIHC,CTNNB1,4,0.505376344086022,0.848249027237354,0.676812685661688,0.74959206727752
driver_mutation,LIHC,CTNNB1,5,0.483870967741936,0.852140077821012,0.668005522781474,0.756746579641019
driver_mutation,BRCA,PIK3CA,1,0.406015037593985,0.841958041958042,0.623986539776013,0.710305483989695
driver_mutation,BRCA,PIK3CA,2,0.37218045112782,0.867132867132867,0.619656659130343,0.720185078079815
driver_mutation,BRCA,PIK3CA,3,0.417293233082707,0.862937062937063,0.640115148009885,0.716593932383406
driver_mutation,BRCA,PIK3CA,4,0.394736842105263,0.847552447552448,0.621144644828855,0.708070876491929
driver_mutation,BRCA,PIK3CA,5,0.387218045112782,0.848951048951049,0.618084547031916,0.707518796992481
driver_mutation,UCEC,ARID1A,1,0.494318181818182,0.80064308681672,0.647480634317451,0.7106657410114
