tumor_type,block,endpoint,repeat_id,n,metric,pls1,pls2,median_ncomp_pls1,median_ncomp_pls2,delta_pls2_minus_pls1
BLCA,inferred_cell_fractions,T Cells CD8,1,373,Q2,0.0367213034148287,0.041719383369168,2,5,0.00499807995433932
BLCA,inferred_cell_fractions,T Cells CD8,2,373,Q2,0.0650479893223912,0.0323172615910126,3,5,-0.0327307277313786
BLCA,inferred_cell_fractions,T Cells CD8,3,373,Q2,0.0385555904849162,0.0588545041994262,2,5,0.02029891371451
BLCA,inferred_cell_fractions,T Cells Follicular Helper,1,373,Q2,0.0282346206530191,0.0442117657361725,1,5,0.0159771450831534
BLCA,inferred_cell_fractions,T Cells Follicular Helper,2,373,Q2,0.069409259795315,0.0703948929230032,1,5,0.000985633127688179
BLCA,inferred_cell_fractions,T Cells Follicular Helper,3,373,Q2,0.0993330306626591,0.103285917223145,1,5,0.00395288656048598
BLCA,inferred_cell_fractions,T Cells Regulatory Tregs,1,373,Q2,0.015282563915637,0.0237560105536124,2,5,0.00847344663797545
BLCA,inferred_cell_fractions,T Cells Regulatory Tregs,2,373,Q2,-0.0341478705557059,0.025874267062053,2,5,0.0600221376177589
BLCA,inferred_cell_fractions,T Cells Regulatory Tregs,3,373,Q2,0.00767010480388664,0.0300309494780925,1,5,0.0223608446742058
BLCA,inferred_cell_fractions,T Cells gamma delta,1,373,Q2,-0.0652134871679524,-0.0442816243128761,1,5,0.0209318628550763
BLCA,inferred_cell_fractions,T Cells gamma delta,2,373,Q2,-0.0390720613649478,-0.0197304747854716,1,5,0.0193415865794762
BLCA,inferred_cell_fractions,T Cells gamma delta,3,373,Q2,-0.0745552311305702,-0.0579301396671295,1,5,0.0166250914634407
BLCA,inferred_cell_fractions,Th1 Cells,1,373,Q2,0.362026519888982,0.320827730438839,4,5,-0.0411987894501422
BLCA,inferred_cell_fractions,Th1 Cells,2,373,Q2,0.375948687377572,0.34279632653537,3,5,-0.0331523608422013
BLCA,inferred_cell_fractions,Th1 Cells,3,373,Q2,0.365849728573683,0.339427142824759,3,5,-0.0264225857489243
BLCA,inferred_cell_fractions,Th17 Cells,1,373,Q2,0.01945249250195,0.0283192361027828,1,5,0.00886674360083273
BLCA,inferred_cell_fractions,Th17 Cells,2,373,Q2,0.0125293165920871,0.0256855940693346,1,5,0.0131562774772475
BLCA,inferred_cell_fractions,Th17 Cells,3,373,Q2,0.016384863988529,0.0193095068846533,1,5,0.00292464289612426
BLCA,inferred_cell_fractions,Th2 Cells,1,373,Q2,0.242292799787651,0.204243651936428,2,5,-0.0380491478512234
BLCA,inferred_cell_fractions,Th2 Cells,2,373,Q2,0.263741180350014,0.2197938043849,1,5,-0.043947375965114
BLCA,inferred_cell_fractions,Th2 Cells,3,373,Q2,0.223083158544314,0.196742258128696,3,5,-0.0263409004156183
BLCA,infiltration_signatures,IFN-gamma Response,1,281,Q2,0.103733243684386,0.173675391001454,2,5,0.0699421473170678
BLCA,infiltration_signatures,IFN-gamma Response,2,281,Q2,0.101484882509619,0.138499323023563,4,4,0.0370144405139444
BLCA,infiltration_signatures,IFN-gamma Response,3,281,Q2,0.157070746030554,0.169430953319341,4,4,0.0123602072887863
BLCA,infiltration_signatures,Leukocyte Fraction,1,281,Q2,0.308327072247305,0.364291037098257,3,5,0.055963964850952
BLCA,infiltration_signatures,Leukocyte Fraction,2,281,Q2,0.220402095001527,0.312294268374379,4,4,0.0918921733728525
BLCA,infiltration_signatures,Leukocyte Fraction,3,281,Q2,0.215541767372038,0.32113047784946,2,4,0.105588710477421
BLCA,infiltration_signatures,Lymphocyte Infiltration Signature Score,1,281,Q2,0.283172194134597,0.310213152060536,4,5,0.0270409579259384
BLCA,infiltration_signatures,Lymphocyte Infiltration Signature Score,2,281,Q2,0.318429784649353,0.306214006876899,4,4,-0.0122157777724542
BLCA,infiltration_signatures,Lymphocyte Infiltration Signature Score,3,281,Q2,0.240229047095335,0.294590507304936,3,4,0.0543614602096018
BLCA,infiltration_signatures,Macrophage Regulation,1,281,Q2,0.366607956578255,0.362265813932022,4,5,-0.00434214264623334
BLCA,infiltration_signatures,Macrophage Regulation,2,281,Q2,0.385571087504089,0.348032182420732,4,4,-0.0375389050833571
BLCA,infiltration_signatures,Macrophage Regulation,3,281,Q2,0.361502213045005,0.37127845700628,4,4,0.00977624396127463
BLCA,infiltration_signatures,Stromal Fraction,1,281,Q2,0.280478862780287,0.267989457771495,1,5,-0.0124894050087917
BLCA,infiltration_signatures,Stromal Fraction,2,281,Q2,0.291013964060038,0.26638906967753,1,4,-0.0246248943825086
BLCA,infiltration_signatures,Stromal Fraction,3,281,Q2,0.229403168943141,0.243534521845681,1,4,0.014131352902541
BLCA,infiltration_signatures,TGF-beta Response,1,281,Q2,0.260725867940599,0.256302710318,1,5,-0.00442315762259882
BLCA,infiltration_signatures,TGF-beta Response,2,281,Q2,0.277382462886072,0.24221537622304,1,4,-0.0351670866630316
BLCA,infiltration_signatures,TGF-beta Response,3,281,Q2,0.276009038901343,0.273615208969543,1,4,-0.0023938299318006
BLCA,infiltration_signatures,TIL Regional Fraction,1,281,Q2,0.507584803307858,0.480279014357111,5,5,-0.0273057889507478
