stability_job_id,stability_repeat,seed,fold_assignment_sha256,outer_fold_n,outer_fold_positive,outer_fold_negative,identical_across_representations
15,5,20810830,7cc4dd6e3958c1ead86c5b6c472f67f8adc243e67f737947c83ca347b6c51555,32;32;32;31;30,5;5;5;5;4,27;27;27;26;26,TRUE
16,1,20770831,6853689ee4cb943898a4f15f68c63bd0901ab00456cadbe242a415e3febd9ea1,71;71;71;70;69,6;6;6;5;5,65;65;65;65;64,TRUE
16,2,20780831,95c9289679302375247bc86863ae04113dffbf95ad284e0331300fe0cef10ea4,71;71;71;70;69,6;6;6;5;5,65;65;65;65;64,TRUE
16,3,20790831,50f9344fc49b14046c1584ca5615ddd9f5634dc4d5dbaf5c1a96b9ee4c84cdc2,71;71;71;70;69,6;6;6;5;5,65;65;65;65;64,TRUE
16,4,20800831,38a0102d4fcfd09313f1f75f279e8041a8fc58983abdfc985cba2e2266fd854a,71;71;71;70;69,6;6;6;5;5,65;65;65;65;64,TRUE
16,5,20810831,a719fc000c183ba2e781873cd8f36adb3cc3dc68c7a5dd6f0a4c88e2db120316,71;71;71;70;69,6;6;6;5;5,65;65;65;65;64,TRUE
17,1,20770832,e43d29b4d0939af8d30c9c9c43155920744d2a75d2d6d66dcacd73dab8ba17aa,29;29;28;28;28,15;15;14;14;14,14;14;14;14;14,TRUE
17,2,20780832,e1adcab82ee7231f016d72d5c982a22de956b1e0f1d13ebf59b159932ef7c951,29;29;28;28;28,15;15;14;14;14,14;14;14;14;14,TRUE
17,3,20790832,16512416390d3fa5880a91d865eba3bbf02568ad207e2df417157125db459127,29;29;28;28;28,15;15;14;14;14,14;14;14;14;14,TRUE
17,4,20800832,62ee4334ca3946bf251ec0eddc3732259ae377f450c0a8847e5e7aa302b0d20b,29;29;28;28;28,15;15;14;14;14,14;14;14;14;14,TRUE
17,5,20810832,3df531ac75d27f3dd868732a672df34f6afb5c70c0a2505c54ee8dff6e29740d,29;29;28;28;28,15;15;14;14;14,14;14;14;14;14,TRUE
18,1,20770833,bd01593016bb2296f09dc0ee47365c40aab6648a5c537d062c83c858b860a1cf,49;48;47;47;47,23;23;22;22;22,26;25;25;25;25,TRUE
18,2,20780833,8713ec19d8155435262fa99228fb04cea8c7d59b9b550beb2ab5c1c04a5997d7,49;48;47;47;47,23;23;22;22;22,26;25;25;25;25,TRUE
18,3,20790833,226fd5ec4f5761674a8b9944876b1e34976d15b43825f1e09ecc67ba7abd7547,49;48;47;47;47,23;23;22;22;22,26;25;25;25;25,TRUE
18,4,20800833,acd8d061512f9e489e6af3d83ea4bebc53438d2953f385ada85ee34a14f1cd55,49;48;47;47;47,23;23;22;22;22,26;25;25;25;25,TRUE
18,5,20810833,daf6af1182253db74f4c16399730d6f04bf5efc24d7ebed80e9b0de2ef4a8121,49;48;47;47;47,23;23;22;22;22,26;25;25;25;25,TRUE
19,1,20770834,4fbdb0ce8c35e69882de595997abae307ab1b480c47dd3d99dca2a3dfee22d62,20;20;20;19;19,7;7;7;7;7,13;13;13;12;12,TRUE
19,2,20780834,390c0dd186b850279390e901c3b2a316275baefe6f5a1c6e785a750aae4bfe45,20;20;20;19;19,7;7;7;7;7,13;13;13;12;12,TRUE
19,3,20790834,cf03764d692d6ab30c12a1d8be8a62bf5df9a55adfda76e7a9df637c19c00fd4,20;20;20;19;19,7;7;7;7;7,13;13;13;12;12,TRUE
19,4,20800834,9ed479df5e39a68efdcac6d323ade387dd7e112cb1ae70be46c659c91b6a08e2,20;20;20;19;19,7;7;7;7;7,13;13;13;12;12,TRUE
19,5,20810834,c85d2f2b5d9049595ceeef4f2400bc62c2ef35968f49c885eef88352ed1ac61c,20;20;20;19;19,7;7;7;7;7,13;13;13;12;12,TRUE
20,1,20770835,4f88afd5da337d8b32ec311ac8248b29cee7a90947f9c3a9d0d0442b6b4f00f7,72;72;70;70;70,31;31;30;30;30,41;41;40;40;40,TRUE
20,2,20780835,4f89bb06ae69ff5f8e22ed7fed2f209f41bb5dc4b6ec67bf772ce1939ff38e21,72;72;70;70;70,31;31;30;30;30,41;41;40;40;40,TRUE
20,3,20790835,33ab413bce793b75872b318dc2a3beb89ae34af24d83181bea9e0a88252e86d7,72;72;70;70;70,31;31;30;30;30,41;41;40;40;40,TRUE
20,4,20800835,62eadd438b702109a49f336f9f1639d236a8fb8853d7e7c1e7c7cb1a60a79f6c,72;72;70;70;70,31;31;30;30;30,41;41;40;40;40,TRUE
20,5,20810835,9a426004201a3c25cd2f4e06bbbf9230f68909a6f7df52f9d625e33633af9570,72;72;70;70;70,31;31;30;30;30,41;41;40;40;40,TRUE
21,1,20770836,e297f6d178219e2297eff23bdf668d631c3d4040cd2bbecc8a2fc27f08b86a94,96;96;95;95;94,20;20;19;19;19,76;76;76;76;75,TRUE
21,2,20780836,afe52e1ebdc853043bd3a1b6f275bd907c4c0687cce338c7947103678bb6b021,96;96;95;95;94,20;20;19;19;19,76;76;76;76;75,TRUE
21,3,20790836,2bf589445824ecd2349ec8d67f28c84c6ad86382a83a3f5ffacb85252697f91d,96;96;95;95;94,20;20;19;19;19,76;76;76;76;75,TRUE
21,4,20800836,4502c526c4844dd5ec58a4faf5057c6ea59db12d43f3097ee895736f324bf31a,96;96;95;95;94,20;20;19;19;19,76;76;76;76;75,TRUE
21,5,20810836,1110a64fb57857cd16f22baa70c322ac895730347e77782ec5245e33165a6c8e,96;96;95;95;94,20;20;19;19;19,76;76;76;76;75,TRUE
22,1,20770837,8e3295ecebe668c9e25403eabe385f7c91e01aa0fade1815a8c6e4e05961778d,78;77;77;76;76,20;20;20;19;19,58;57;57;57;57,TRUE
22,2,20780837,f6fa70a43c7499ad730a44e6055efac0edcb3083c369c36cd32cd1d70bc2e1be,78;77;77;76;76,20;20;20;19;19,58;57;57;57;57,TRUE
22,3,20790837,e1a0c313e267bfe8173be6114662e065c1fb5f7f7ac1a1adaf81a9c4b632d178,78;77;77;76;76,20;20;20;19;19,58;57;57;57;57,TRUE
22,4,20800837,7fdb28cadf12cacff5cdea2f9a7a998b4e64c8b9c819e24b90d6969f623cfb0c,78;77;77;76;76,20;20;20;19;19,58;57;57;57;57,TRUE
22,5,20810837,f7c9245b01d9b9b6e1218d16124bf5479a9b8e0f28c846d8fcf16692676ffe07,78;77;77;76;76,20;20;20;19;19,58;57;57;57;57,TRUE
23,1,20770838,1104692825e532327e2267a6b3a7a8f9f2233a0a18f1853044aeb5bbdb0805ed,78;77;77;76;76,11;11;11;10;10,67;66;66;66;66,TRUE
23,2,20780838,2d1f4f867f7a31bd94b59fae0c07377b6366519d4af2fa139c9dabd347e8387a,78;77;77;76;76,11;11;11;10;10,67;66;66;66;66,TRUE
23,3,20790838,a3f5492703dc08332274653566e9cb76e51d54819a6a9c2b7bcb670c160944ed,78;77;77;76;76,11;11;11;10;10,67;66;66;66;66,TRUE
23,4,20800838,b2b5f8e6fc7a4da97b5d303c8acdb779e512248c378854cab2f70995e551b915,78;77;77;76;76,11;11;11;10;10,67;66;66;66;66,TRUE
23,5,20810838,945cfa4251eae1fdc53cbef6f0c1ea304df36b12ea02f3e572ab3cac7fdb3c28,78;77;77;76;76,11;11;11;10;10,67;66;66;66;66,TRUE
24,1,20770839,6ad413cdd581ae583cc827cbaa2bcb24d9bc5be6f7f0e883471605d901536f81,77;77;77;77;76,5;5;5;5;4,72;72;72;72;72,TRUE
24,2,20780839,a9f998c71d50c105712555b2af4e6e57f3b03a1c2c903fa93cce908eff4dd6fb,77;77;77;77;76,5;5;5;5;4,72;72;72;72;72,TRUE
24,3,20790839,5285f254b26579057826bd210af8a43e110fb0c87dd6ed256cb391e393cd1bab,77;77;77;77;76,5;5;5;5;4,72;72;72;72;72,TRUE
24,4,20800839,c57e373340d789101d40d34eef4302227c5de7e1fb3631d86aa14dff34eb4d53,77;77;77;77;76,5;5;5;5;4,72;72;72;72;72,TRUE
24,5,20810839,f485ad927c4c717e388d18391bd7b265f1ec6cc668258bf96af209417f7f2bd8,77;77;77;77;76,5;5;5;5;4,72;72;72;72;72,TRUE
25,1,20770840,b91140d913e2f0ff3abc43f662d71caba6e1186434d5eb493f1750a227753fbe,78;77;77;76;76,10;10;10;9;9,68;67;67;67;67,TRUE
25,2,20780840,fb2806937f47998185d782a71e38c4c838dd4e238679fd89c8d6d99fceb10fa9,78;77;77;76;76,10;10;10;9;9,68;67;67;67;67,TRUE
25,3,20790840,2faf1d22e45573c1d5ac5c5ff4754b2933c5c39f80ba75ebd132646eb6d30e23,78;77;77;76;76,10;10;10;9;9,68;67;67;67;67,TRUE
25,4,20800840,2a53d970121404d933229d3751696e56541e63bd4015fa486968f6688924c49c,78;77;77;76;76,10;10;10;9;9,68;67;67;67;67,TRUE
