outcome_type,family,tumor_type,endpoint,n,n_codes,grouped_metric,matched_random_metric,grouped_minus_matched,paired_ci_low,paired_ci_high,bootstrap_resamples,code_only_metric,code_heterogeneity,code_heterogeneity_minimum5,minimum_prevalence_minimum5,maximum_prevalence_minimum5,codes_with_minimum5,minimum_code_n,maximum_code_n,heterogeneity_definition,exact_outer_test_sizes_matched,exact_outer_class_counts_matched,grouped_components_median,matched_components_median,seed
binary,driver_mutation,UCEC,TP53,487,30,0.711785853089778,0.738466770307035,-0.0266809172172562,-0.0595363727167065,0.0108983016282296,1000,0.631014380101049,1,0.598006644518272,0.116279069767442,0.714285714285714,15,1,75,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,4,20260838
binary,driver_mutation,UVM,GNA11,80,6,0.582070707070707,0.58459595959596,-0.00252525252525249,-0.112922582826234,0.1,1000,0.519255050505051,0.636363636363636,0.279220779220779,0.363636363636364,0.642857142857143,4,1,33,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,8,3,20260856
binary,fusion,LGG,Any called fusion,487,25,0.705010466608144,0.722086231345803,-0.0170757647376595,-0.0433263432449403,0.00956048782135733,1000,0.536734418259167,1,0.48421052631579,0.2,0.68421052631579,17,1,103,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,1,1,20260871
binary,fusion,PRAD,Fusion pair: TMPRSS2--ERG,400,27,0.589746600902946,0.647159372634985,-0.0574127717320389,-0.101415636047912,-0.00937078373015876,1000,0.534943500613273,1,0.565217391304348,0,0.565217391304348,15,1,63,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,15,11,20260875
binary,fusion,SARC,Any called fusion,252,34,0.62037037037037,0.62037037037037,1.11022302462516e-16,-0.0719471701002092,0.0759062836715452,1000,0.429526748971193,0.5,0.272727272727273,0.727272727272727,1,11,1,117,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,16,9,20260874
binary,fusion,THCA,Any called fusion,502,22,0.584866220735786,0.61110447523491,-0.0262382544991241,-0.0721727068587263,0.0186338482484625,1000,0.490882306099698,1,0.777777777777778,0,0.777777777777778,16,1,92,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,10,20260873
binary,fusion,THCA,Fusion pair: CCDC6--RET,502,22,0.635580635580636,0.63038313038313,0.00519750519750517,-0.0565768941278529,0.0744430282029743,1000,0.407880407880408,0.333333333333333,0.285714285714286,0,0.285714285714286,16,1,92,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,4,9,20260872
binary,fusion,UCEC,Any called fusion,153,28,0.756164383561644,0.760359589041096,-0.00419520547945207,-0.0661006140765234,0.0530815882660051,1000,0.460787671232877,1,0.523809523809524,0.142857142857143,0.666666666666667,9,1,30,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,2,2,20260870
binary,microsatellite_instability,COAD,MSI-H (MANTIS >0.4),391,24,0.675206752493819,0.76688123454685,-0.0916744820530309,-0.150225735838744,-0.0356579004049282,1000,0.549215619404894,1,0.461538461538462,0,0.461538461538462,14,1,122,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,6,7,20260876
binary,microsatellite_instability,STAD,MSI-H (MANTIS >0.4),371,22,0.764069264069264,0.718073593073593,0.045995670995671,-0.0230907287157286,0.115691537940031,1000,0.500876108018965,1,0.530232558139535,0.0697674418604651,0.6,11,1,113,maximum minus minimum code-specific outcome prevalence,TRUE,TRUE,5,16,20260877
