outcome_type,family,tumor_type,endpoint,size_stratum,imbalance_stratum,n,foundation_model,ridge_q2,ridge_balanced_accuracy,ridge_auc,ridge_pr_auc,ridge_lambda_median,numerical_failures
binary,microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),large,low,487,GigaSSL,,0.598450443426567,0.6047948543027,0.391380564262649,0.883456612531116,0
binary,microsatellite_instability,UCEC,MSI-H (MANTIS >0.4),large,low,487,ProvGigaPath,,0.604444011304941,0.640113049410389,0.422193124276957,0.831762491311235,0
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),medium,moderate,374,TITAN,,0.841285488958991,0.922825597115818,0.724330969921034,1.56443382899566,0
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),medium,moderate,374,GigaSSL,,0.770392068499324,0.861593059936909,0.641004303631526,1.49838427837993,0
binary,microsatellite_instability_sensitivity,COAD,MSI-H strict (MANTIS >0.6),medium,moderate,374,ProvGigaPath,,0.856551374493015,0.903334835511492,0.733442493512437,1.24391231955815,0
binary,oncogenic_pathway,KIRP,PI3K,small,high,255,TITAN,,0.514041514041514,0.529304029304029,0.0907931104266199,24.8882355201284,0
binary,oncogenic_pathway,KIRP,PI3K,small,high,255,GigaSSL,,0.563186813186813,0.58994708994709,0.10063617043782,7.55631342903858,0
binary,oncogenic_pathway,KIRP,PI3K,small,high,255,ProvGigaPath,,0.495726495726496,0.435286935286935,0.074168035789717,18.0551458173244,0
binary,oncogenic_pathway,LIHC,TP53,small,low,337,TITAN,,0.640441683919945,0.69246990261483,0.564602010210701,4.24458015480585,0
binary,oncogenic_pathway,LIHC,TP53,small,low,337,GigaSSL,,0.59144237405107,0.65125373821026,0.50532010740899,1.44043351006969,0
binary,oncogenic_pathway,LIHC,TP53,small,low,337,ProvGigaPath,,0.62336093857833,0.658231730695499,0.49879216288798,1.96953966483306,0
binary,oncogenic_pathway,LUAD,NRF2,medium,moderate,451,TITAN,,0.601374570446735,0.638193421698576,0.229231945597406,10.420501194375,0
binary,oncogenic_pathway,LUAD,NRF2,medium,moderate,451,GigaSSL,,0.598858615611193,0.642570774014073,0.222102967208882,0.831510014361167,0
binary,oncogenic_pathway,LUAD,NRF2,medium,moderate,451,ProvGigaPath,,0.625450008181967,0.681230567828506,0.244564767668884,0.777803939740236,0
binary,oncogenic_pathway,LUSC,PI3K,medium,low,443,TITAN,,0.571437118583224,0.604140241713534,0.74422371946594,74.2141463735625,0
binary,oncogenic_pathway,LUSC,PI3K,medium,low,443,GigaSSL,,0.545446930716764,0.581356946272586,0.748134385930426,0.842296595749948,0
binary,oncogenic_pathway,LUSC,PI3K,medium,low,443,ProvGigaPath,,0.511403613736987,0.54462127557736,0.715709002527431,1.04705774794027,0
binary,oncogenic_pathway,PRAD,MYC,medium,high,389,TITAN,,0.608317945274467,0.664344468692295,0.19505015337704,73.3624503114629,0
binary,oncogenic_pathway,PRAD,MYC,medium,high,389,GigaSSL,,0.587502098371664,0.617424878294444,0.183220884518216,0.763072948433247,0
binary,oncogenic_pathway,PRAD,MYC,medium,high,389,ProvGigaPath,,0.535000839348666,0.51812993117341,0.116890771269005,0.943657803550699,0
binary,oncogenic_pathway,STAD,MYC,small,moderate,327,TITAN,,0.523928422804827,0.54695519489527,0.192937950423469,8.69275973039374,0
binary,oncogenic_pathway,STAD,MYC,small,moderate,327,GigaSSL,,0.489492301290054,0.523442918574005,0.176693179078236,21.1682037402477,0
binary,oncogenic_pathway,STAD,MYC,small,moderate,327,ProvGigaPath,,0.516541822721598,0.499167707032876,0.167014904763873,6.65809628243563,0
binary,oncogenic_pathway,UCEC,HIPPO,large,low,468,TITAN,,0.595228403437359,0.64932157394844,0.412611502676324,1.78506768786901,0
binary,oncogenic_pathway,UCEC,HIPPO,large,low,468,GigaSSL,,0.571460877431027,0.601017639077341,0.388978095734965,10.0711041486929,0
binary,oncogenic_pathway,UCEC,HIPPO,large,low,468,ProvGigaPath,,0.61026684758028,0.669425599276346,0.465943563621667,0.963290992033473,0
binary,oncogenic_pathway,UCEC,MYC,large,moderate,468,TITAN,,0.564637826961771,0.551911468812877,0.283339035844213,75.6032801712115,0
binary,oncogenic_pathway,UCEC,MYC,large,moderate,468,GigaSSL,,0.509657947686117,0.517303822937626,0.261252839806749,1.53360543102684,0
binary,oncogenic_pathway,UCEC,MYC,large,moderate,468,ProvGigaPath,,0.524911971830986,0.540819919517103,0.282644721574588,0.824714379044894,0
binary,oncogenic_pathway,UCEC,PI3K,large,high,468,TITAN,,0.566550754661142,0.605726546315478,0.954838745456026,28.0804550082277,0
binary,oncogenic_pathway,UCEC,PI3K,large,high,468,GigaSSL,,0.5030334418467,0.4969665581533,0.928638902815843,17.0847075761272,0
binary,oncogenic_pathway,UCEC,PI3K,large,high,468,ProvGigaPath,,0.451501923646049,0.435335898194732,0.923006502310597,5.18934768710457,0
continuous,aneuploidy,KICH,Aneuploidy score,small,not applicable,65,TITAN,-0.0137859867117485,,,,2755.87203082486,0
continuous,aneuploidy,KICH,Aneuploidy score,small,not applicable,65,GigaSSL,-0.0224532654417315,,,,1132.78695070884,0
continuous,aneuploidy,KICH,Aneuploidy score,small,not applicable,65,ProvGigaPath,0.053107846194744,,,,157.717124555565,0
continuous,aneuploidy,KIRP,Amplified arm count,medium,not applicable,264,TITAN,0.162781849753312,,,,55.5014463227318,0
continuous,aneuploidy,KIRP,Amplified arm count,medium,not applicable,264,GigaSSL,0.195569757627636,,,,16.1283860635414,0
continuous,aneuploidy,KIRP,Amplified arm count,medium,not applicable,264,ProvGigaPath,0.26673561239892,,,,14.2830536357795,0
continuous,aneuploidy,PRAD,Deleted arm count,large,not applicable,382,TITAN,0.176837375521339,,,,43.5261007901314,0
continuous,aneuploidy,PRAD,Deleted arm count,large,not applicable,382,GigaSSL,0.126834569645711,,,,19.812089931724,0
continuous,aneuploidy,PRAD,Deleted arm count,large,not applicable,382,ProvGigaPath,0.113107399506346,,,,16.5630700630332,0
continuous,fusion,KIRP,Fusion burden,medium,not applicable,265,TITAN,0.0398717023169541,,,,19.317266636305,0
