family,tumor_type,endpoint,repeat,outer_fold,n,positive,negative,training_patients,training_positive,training_negative,test_patients,test_positive,test_negative,limited_evidence
aneuploidy,LUSC,Genome doubling,1,1,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,1,2,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,1,3,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,1,4,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,1,5,459,249,210,368,200,168,91,49,42,FALSE
aneuploidy,LUSC,Genome doubling,2,1,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,2,2,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,2,3,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,2,4,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,2,5,459,249,210,368,200,168,91,49,42,FALSE
aneuploidy,LUSC,Genome doubling,3,1,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,3,2,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,3,3,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,3,4,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,3,5,459,249,210,368,200,168,91,49,42,FALSE
aneuploidy,LUSC,Genome doubling,4,1,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,4,2,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,4,3,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,4,4,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,4,5,459,249,210,368,200,168,91,49,42,FALSE
aneuploidy,LUSC,Genome doubling,5,1,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,5,2,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,5,3,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,5,4,459,249,210,367,199,168,92,50,42,FALSE
aneuploidy,LUSC,Genome doubling,5,5,459,249,210,368,200,168,91,49,42,FALSE
aneuploidy,OV,Genome doubling,1,1,96,66,30,76,52,24,20,14,6,TRUE
aneuploidy,OV,Genome doubling,1,2,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,1,3,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,1,4,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,1,5,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,2,1,96,66,30,76,52,24,20,14,6,TRUE
aneuploidy,OV,Genome doubling,2,2,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,2,3,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,2,4,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,2,5,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,3,1,96,66,30,76,52,24,20,14,6,TRUE
aneuploidy,OV,Genome doubling,3,2,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,3,3,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,3,4,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,3,5,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,4,1,96,66,30,76,52,24,20,14,6,TRUE
aneuploidy,OV,Genome doubling,4,2,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,4,3,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,4,4,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,4,5,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,5,1,96,66,30,76,52,24,20,14,6,TRUE
aneuploidy,OV,Genome doubling,5,2,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,5,3,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,5,4,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,OV,Genome doubling,5,5,96,66,30,77,53,24,19,13,6,TRUE
aneuploidy,PCPG,Genome doubling,1,1,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,1,2,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,1,3,157,24,133,125,19,106,32,5,27,TRUE
aneuploidy,PCPG,Genome doubling,1,4,157,24,133,126,19,107,31,5,26,TRUE
aneuploidy,PCPG,Genome doubling,1,5,157,24,133,127,20,107,30,4,26,TRUE
