foundation_model,outcome_type,family,endpoint,source,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
GigaSSL,binary,driver_mutation,ELF3,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ELF3,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ELF3,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,EP300,TCGA_MC3_Bailey2018,4,1,25,CESC
ProvGigaPath,binary,driver_mutation,EP300,TCGA_MC3_Bailey2018,4,0,0,""
TITAN,binary,driver_mutation,EP300,TCGA_MC3_Bailey2018,4,2,50,CESC;UCEC
GigaSSL,binary,driver_mutation,EPHA2,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,EPHA2,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,EPHA2,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,ERBB2,TCGA_MC3_Bailey2018,2,0,0,""
ProvGigaPath,binary,driver_mutation,ERBB2,TCGA_MC3_Bailey2018,2,1,50,BLCA
TITAN,binary,driver_mutation,ERBB2,TCGA_MC3_Bailey2018,2,0,0,""
GigaSSL,binary,driver_mutation,ERBB3,TCGA_MC3_Bailey2018,2,0,0,""
ProvGigaPath,binary,driver_mutation,ERBB3,TCGA_MC3_Bailey2018,2,0,0,""
TITAN,binary,driver_mutation,ERBB3,TCGA_MC3_Bailey2018,2,1,50,UCEC
GigaSSL,binary,driver_mutation,ERBB4,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ERBB4,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ERBB4,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,ERCC2,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,ERCC2,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,ERCC2,TCGA_MC3_Bailey2018,1,1,100,BLCA
GigaSSL,binary,driver_mutation,FAT1,TCGA_MC3_Bailey2018,4,1,25,UCEC
ProvGigaPath,binary,driver_mutation,FAT1,TCGA_MC3_Bailey2018,4,0,0,""
TITAN,binary,driver_mutation,FAT1,TCGA_MC3_Bailey2018,4,0,0,""
GigaSSL,binary,driver_mutation,FBXW7,TCGA_MC3_Bailey2018,8,4,50,COAD;LUSC;STAD;UCEC
ProvGigaPath,binary,driver_mutation,FBXW7,TCGA_MC3_Bailey2018,8,2,25,STAD;UCEC
TITAN,binary,driver_mutation,FBXW7,TCGA_MC3_Bailey2018,8,2,25,COAD;STAD
GigaSSL,binary,driver_mutation,FGFR2,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,FGFR2,TCGA_MC3_Bailey2018,1,0,0,""
