outcome_type,family,tumor_type,endpoint,p_permutation,permutations,permutation_exceedances,permutation_attempted,permutation_stopped_early,p_mc_lower_95,p_mc_upper_95,p_mc_status
continuous,microsatellite_instability,BRCA,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,OV,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,LUAD,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,READ,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,KIRP,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,KICH,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,LUSC,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,THCA,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,LGG,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,PCPG,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,CESC,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,UVM,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,LIHC,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,BLCA,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,KIRC,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,GBM,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,READ,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,LUSC,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,UVM,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,BLCA,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,PCPG,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,KIRP,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,ESCA,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,LUAD,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,HNSC,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,OV,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,SKCM,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,SARC,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,GBM,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,LIHC,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,THCA,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,SKCM,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,LGG,MANTIS score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,PRAD,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,ESCA,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
continuous,microsatellite_instability,HNSC,MSIsensor score,1,0,,,,,,not permutation-tested: below the prespecified effect gate
