foundation_model,family,tumor_type,endpoint,n,positive,negative,prevalence,no_skill_pr_auc,rule,balanced_accuracy,sensitivity,specificity,ppv,npv,auroc,pr_auc,ba_crossing_sensitivity,empirical_balanced_accuracy,empirical_sensitivity,empirical_specificity,empirical_ppv,empirical_npv,balanced_accuracy_delta_vs_empirical,sensitivity_delta_vs_empirical,specificity_delta_vs_empirical,ppv_delta_vs_empirical,npv_delta_vs_empirical
ProvGigaPath,aneuploidy,READ,Genome doubling,142,72,70,0.507042253521127,0.507042253521127,empirical training priors,0.619642857142857,0.625,0.614285714285714,0.625,0.614285714285714,0.626190476190476,0.627091035719189,TRUE,0.619642857142857,0.625,0.614285714285714,0.625,0.614285714285714,0,0,0,0,0
TITAN,aneuploidy,READ,Genome doubling,142,72,70,0.507042253521127,0.507042253521127,empirical training priors,0.563690476190476,0.541666666666667,0.585714285714286,0.573529411764706,0.554054054054054,0.582936507936508,0.576967305708908,FALSE,0.563690476190476,0.541666666666667,0.585714285714286,0.573529411764706,0.554054054054054,0,0,0,0,0
GigaSSL,aneuploidy,SARC,Genome doubling,238,112,126,0.470588235294118,0.470588235294118,empirical training priors,0.690972222222222,0.651785714285714,0.73015873015873,0.682242990654206,0.702290076335878,0.727820294784581,0.717302802618168,TRUE,0.690972222222222,0.651785714285714,0.73015873015873,0.682242990654206,0.702290076335878,0,0,0,0,0
ProvGigaPath,aneuploidy,SARC,Genome doubling,238,112,126,0.470588235294118,0.470588235294118,empirical training priors,0.632440476190476,0.598214285714286,0.666666666666667,0.614678899082569,0.651162790697675,0.611961451247166,0.566428257896996,TRUE,0.632440476190476,0.598214285714286,0.666666666666667,0.614678899082569,0.651162790697675,0,0,0,0,0
TITAN,aneuploidy,SARC,Genome doubling,238,112,126,0.470588235294118,0.470588235294118,empirical training priors,0.632936507936508,0.607142857142857,0.658730158730159,0.612612612612613,0.653543307086614,0.719033446712018,0.678233167712806,TRUE,0.632936507936508,0.607142857142857,0.658730158730159,0.612612612612613,0.653543307086614,0,0,0,0,0
GigaSSL,aneuploidy,SKCM,Genome doubling,98,35,63,0.357142857142857,0.357142857142857,empirical training priors,0.542857142857143,0.371428571428571,0.714285714285714,0.419354838709677,0.671641791044776,0.568253968253968,0.424341407394155,FALSE,0.542857142857143,0.371428571428571,0.714285714285714,0.419354838709677,0.671641791044776,0,0,0,0,0
ProvGigaPath,aneuploidy,SKCM,Genome doubling,98,35,63,0.357142857142857,0.357142857142857,empirical training priors,0.617460317460318,0.457142857142857,0.777777777777778,0.533333333333333,0.720588235294118,0.645351473922903,0.514852388528073,TRUE,0.617460317460318,0.457142857142857,0.777777777777778,0.533333333333333,0.720588235294118,0,0,0,0,0
TITAN,aneuploidy,SKCM,Genome doubling,98,35,63,0.357142857142857,0.357142857142857,empirical training priors,0.619047619047619,0.428571428571429,0.80952380952381,0.555555555555556,0.71830985915493,0.653968253968254,0.545025532085569,TRUE,0.619047619047619,0.428571428571429,0.80952380952381,0.555555555555556,0.71830985915493,0,0,0,0,0
GigaSSL,aneuploidy,STAD,Genome doubling,354,152,202,0.429378531073446,0.429378531073446,empirical training priors,0.673951276706618,0.585526315789474,0.762376237623762,0.64963503649635,0.709677419354839,0.742509119332986,0.671435661382633,TRUE,0.673951276706618,0.585526315789474,0.762376237623762,0.64963503649635,0.709677419354839,0,0,0,0,0
ProvGigaPath,aneuploidy,STAD,Genome doubling,354,152,202,0.429378531073446,0.429378531073446,empirical training priors,0.71098228243877,0.644736842105263,0.777227722772277,0.685314685314685,0.744075829383886,0.782927305888484,0.710540447780995,TRUE,0.71098228243877,0.644736842105263,0.777227722772277,0.685314685314685,0.744075829383886,0,0,0,0,0
TITAN,aneuploidy,STAD,Genome doubling,354,152,202,0.429378531073446,0.429378531073446,empirical training priors,0.688770192808755,0.605263157894737,0.772277227722772,0.666666666666667,0.722222222222222,0.782406201146431,0.724456304202131,TRUE,0.688770192808755,0.605263157894737,0.772277227722772,0.666666666666667,0.722222222222222,0,0,0,0,0
GigaSSL,aneuploidy,UCEC,Genome doubling,476,97,379,0.203781512605042,0.203781512605042,empirical training priors,0.656298452248184,0.391752577319588,0.920844327176781,0.558823529411765,0.855392156862745,0.761227320947692,0.46478071350502,TRUE,0.656298452248184,0.391752577319588,0.920844327176781,0.558823529411765,0.855392156862745,0,0,0,0,0
ProvGigaPath,aneuploidy,UCEC,Genome doubling,476,97,379,0.203781512605042,0.203781512605042,empirical training priors,0.656053640888937,0.412371134020619,0.899736147757256,0.512820512820513,0.85678391959799,0.714413948807225,0.407436691418273,TRUE,0.656053640888937,0.412371134020619,0.899736147757256,0.512820512820513,0.85678391959799,0,0,0,0,0
TITAN,aneuploidy,UCEC,Genome doubling,476,97,379,0.203781512605042,0.203781512605042,empirical training priors,0.73097951744961,0.54639175257732,0.9155672823219,0.623529411764706,0.887468030690537,0.856594946005495,0.565575363659478,TRUE,0.73097951744961,0.54639175257732,0.9155672823219,0.623529411764706,0.887468030690537,0,0,0,0,0
GigaSSL,driver_mutation,BLCA,ARID1A,384,98,286,0.255208333333333,0.255208333333333,empirical training priors,0.517803624946482,0.102040816326531,0.933566433566433,0.344827586206897,0.752112676056338,0.554516911659769,0.320763846239523,FALSE,0.517803624946482,0.102040816326531,0.933566433566433,0.344827586206897,0.752112676056338,0,0,0,0,0
ProvGigaPath,driver_mutation,BLCA,ARID1A,384,98,286,0.255208333333333,0.255208333333333,empirical training priors,0.517696589125161,0.23469387755102,0.800699300699301,0.2875,0.753289473684211,0.534215784215784,0.267281824820833,FALSE,0.517696589125161,0.23469387755102,0.800699300699301,0.2875,0.753289473684211,0,0,0,0,0
TITAN,driver_mutation,BLCA,ARID1A,384,98,286,0.255208333333333,0.255208333333333,empirical training priors,0.534893677750821,0.255102040816327,0.814685314685315,0.320512820512821,0.761437908496732,0.553660625089197,0.304302121759168,FALSE,0.534893677750821,0.255102040816327,0.814685314685315,0.320512820512821,0.761437908496732,0,0,0,0,0
GigaSSL,driver_mutation,BLCA,ASXL2,384,35,349,0.0911458333333333,0.0911458333333333,empirical training priors,0.491363078182562,0.0285714285714286,0.954154727793696,0.0588235294117647,0.907356948228883,0.48857961522718,0.104022192086163,FALSE,0.491363078182562,0.0285714285714286,0.954154727793696,0.0588235294117647,0.907356948228883,0,0,0,0,0
