gene,positive,negative,n_profiled,tumor_type,eligibility
CUL3,25,436,461,LUSC,eligible
EP300,18,443,461,LUSC,insufficient_positive
FAT1,67,394,461,LUSC,eligible
FBXW7,25,436,461,LUSC,eligible
FGFR2,12,449,461,LUSC,insufficient_positive
HLA-A,7,454,461,LUSC,insufficient_positive
HRAS,6,455,461,LUSC,insufficient_positive
KDM6A,21,440,461,LUSC,eligible
KEAP1,51,410,461,LUSC,eligible
KLF5,10,451,461,LUSC,insufficient_positive
KMT2D,103,358,461,LUSC,eligible
NF1,49,412,461,LUSC,eligible
NFE2L2,66,395,461,LUSC,eligible
NOTCH1,36,425,461,LUSC,eligible
PIK3CA,54,407,461,LUSC,eligible
PTEN,51,410,461,LUSC,eligible
RASA1,29,432,461,LUSC,eligible
RB1,31,430,461,LUSC,eligible
TP53,382,79,461,LUSC,eligible
BAP1,14,56,70,MESO,insufficient_positive
LATS2,5,65,70,MESO,insufficient_positive
NF2,15,55,70,MESO,insufficient_positive
SETD2,7,63,70,MESO,insufficient_positive
TP53,12,58,70,MESO,insufficient_positive
BRCA1,2,70,72,OV,insufficient_positive
CDK12,1,71,72,OV,insufficient_positive
KRAS,0,72,72,OV,insufficient_positive
NF1,0,72,72,OV,insufficient_positive
NRAS,0,72,72,OV,insufficient_positive
RB1,1,71,72,OV,insufficient_positive
TP53,22,50,72,OV,eligible
ZNF133,0,72,72,OV,insufficient_positive
ARID1A,9,166,175,PAAD,insufficient_positive
CDKN2A,34,141,175,PAAD,eligible
EEF2,4,171,175,PAAD,insufficient_positive
GNAS,9,166,175,PAAD,insufficient_positive
KDM6A,7,168,175,PAAD,insufficient_positive
KRAS,116,59,175,PAAD,eligible
RNF43,11,164,175,PAAD,insufficient_positive
SMAD4,37,138,175,PAAD,eligible
TGFBR2,8,167,175,PAAD,insufficient_positive
TP53,106,69,175,PAAD,eligible
U2AF1,3,172,175,PAAD,insufficient_positive
CSDE1,4,172,176,PCPG,insufficient_positive
EPAS1,8,168,176,PCPG,insufficient_positive
HRAS,18,158,176,PCPG,insufficient_positive
NF1,16,160,176,PCPG,insufficient_positive
RET,6,170,176,PCPG,insufficient_positive
AKT1,3,396,399,PRAD,insufficient_positive
APC,9,390,399,PRAD,insufficient_positive
BRAF,5,394,399,PRAD,insufficient_positive
CTNNB1,9,390,399,PRAD,insufficient_positive
FOXA1,25,374,399,PRAD,eligible
HRAS,2,397,399,PRAD,insufficient_positive
IDH1,4,395,399,PRAD,insufficient_positive
KDM6A,9,390,399,PRAD,insufficient_positive
KMT2D,21,378,399,PRAD,eligible
MED12,6,393,399,PRAD,insufficient_positive
PIK3CA,9,390,399,PRAD,insufficient_positive
PTEN,14,385,399,PRAD,insufficient_positive
SPOP,42,357,399,PRAD,eligible
TP53,46,353,399,PRAD,eligible
ZMYM3,7,392,399,PRAD,insufficient_positive
ACVR2A,3,132,135,READ,insufficient_positive
AMER1,7,128,135,READ,insufficient_positive
APC,65,70,135,READ,eligible
ARID1A,5,130,135,READ,insufficient_positive
BRAF,4,131,135,READ,insufficient_positive
CTNNB1,4,131,135,READ,insufficient_positive
FBXW7,12,123,135,READ,insufficient_positive
GNAS,2,133,135,READ,insufficient_positive
KRAS,30,105,135,READ,eligible
NRAS,10,125,135,READ,insufficient_positive
PCBP1,5,130,135,READ,insufficient_positive
PIK3CA,9,126,135,READ,insufficient_positive
PTEN,4,131,135,READ,insufficient_positive
SMAD2,2,133,135,READ,insufficient_positive
SMAD4,12,123,135,READ,insufficient_positive
SOX9,7,128,135,READ,insufficient_positive
TCF7L2,7,128,135,READ,insufficient_positive
TGIF1,3,132,135,READ,insufficient_positive
TP53,66,69,135,READ,eligible
ZFP36L2,3,132,135,READ,insufficient_positive
ATRX,35,194,229,SARC,eligible
RB1,24,205,229,SARC,eligible
TP53,81,148,229,SARC,eligible
ARID2,15,83,98,SKCM,insufficient_positive
BRAF,52,46,98,SKCM,eligible
BRD7,3,95,98,SKCM,insufficient_positive
CDK4,1,97,98,SKCM,insufficient_positive
CDKN2A,6,92,98,SKCM,insufficient_positive
COL5A1,7,91,98,SKCM,insufficient_positive
CTNNB1,5,93,98,SKCM,insufficient_positive
DACH1,6,92,98,SKCM,insufficient_positive
DDX3X,3,95,98,SKCM,insufficient_positive
GNA11,1,97,98,SKCM,insufficient_positive
HRAS,3,95,98,SKCM,insufficient_positive
IDH1,3,95,98,SKCM,insufficient_positive
KIT,6,92,98,SKCM,insufficient_positive
KRAS,4,94,98,SKCM,insufficient_positive
MAP2K1,7,91,98,SKCM,insufficient_positive
MECOM,12,86,98,SKCM,insufficient_positive
NF1,16,82,98,SKCM,insufficient_positive
NRAS,17,81,98,SKCM,insufficient_positive
PPP6C,5,93,98,SKCM,insufficient_positive
PTEN,12,86,98,SKCM,insufficient_positive
RAC1,4,94,98,SKCM,insufficient_positive
RB1,4,94,98,SKCM,insufficient_positive
RQCD1,3,95,98,SKCM,insufficient_positive
TP53,8,90,98,SKCM,insufficient_positive
APC,37,334,371,STAD,eligible
ARID1A,91,280,371,STAD,eligible
ARID2,24,347,371,STAD,eligible
BCOR,30,341,371,STAD,eligible
CASP8,14,357,371,STAD,insufficient_positive
CDH1,36,335,371,STAD,eligible
CDKN2A,15,356,371,STAD,insufficient_positive
CNBD1,15,356,371,STAD,insufficient_positive
CTNNB1,22,349,371,STAD,eligible
DMD,48,323,371,STAD,eligible
ERBB2,19,352,371,STAD,insufficient_positive
ERBB4,46,325,371,STAD,eligible
FAM46D,10,361,371,STAD,insufficient_positive
FBXW7,29,342,371,STAD,eligible
KRAS,30,341,371,STAD,eligible
MUC6,39,332,371,STAD,eligible
PIK3CA,58,313,371,STAD,eligible
PTEN,24,347,371,STAD,eligible
RASA1,21,350,371,STAD,eligible
RHOA,20,351,371,STAD,eligible
RNF43,30,341,371,STAD,eligible
SMAD2,7,364,371,STAD,insufficient_positive
SMAD4,26,345,371,STAD,eligible
TP53,179,192,371,STAD,eligible
KIT,20,108,128,TGCT,eligible
KRAS,12,116,128,TGCT,insufficient_positive
NRAS,5,123,128,TGCT,insufficient_positive
PIK3CA,3,125,128,TGCT,insufficient_positive
PTMA,8,120,128,TGCT,insufficient_positive
AKT1,5,485,490,THCA,insufficient_positive
BRAF,289,201,490,THCA,eligible
DNMT3A,4,486,490,THCA,insufficient_positive
EIF1AX,7,483,490,THCA,insufficient_positive
HRAS,17,473,490,THCA,insufficient_positive
KRAS,4,486,490,THCA,insufficient_positive
NRAS,39,451,490,THCA,eligible
NUP93,4,486,490,THCA,insufficient_positive
PPM1D,4,486,490,THCA,insufficient_positive
GTF2I,59,61,120,THYM,eligible
HRAS,9,111,120,THYM,insufficient_positive
NRAS,3,117,120,THYM,insufficient_positive
TP53,3,117,120,THYM,insufficient_positive
ACVR1,26,461,487,UCEC,eligible
AKT1,19,468,487,UCEC,insufficient_positive
ARHGAP35,82,405,487,UCEC,eligible
ARID1A,176,311,487,UCEC,eligible
ARID5B,52,435,487,UCEC,eligible
ATF7IP,35,452,487,UCEC,eligible
ATM,74,413,487,UCEC,eligible
ATR,51,436,487,UCEC,eligible
BCOR,70,417,487,UCEC,eligible
CCND1,31,456,487,UCEC,eligible
CHD3,71,416,487,UCEC,eligible
CHD4,94,393,487,UCEC,eligible
CTCF,96,391,487,UCEC,eligible
CTNNB1,97,390,487,UCEC,eligible
CTNND1,41,446,487,UCEC,eligible
DICER1,51,436,487,UCEC,eligible
EP300,56,431,487,UCEC,eligible
ERBB2,25,462,487,UCEC,eligible
ERBB3,46,441,487,UCEC,eligible
FAT1,82,405,487,UCEC,eligible
FBXW7,81,406,487,UCEC,eligible
FGFR2,59,428,487,UCEC,eligible
FOXA2,30,457,487,UCEC,eligible
INPPL1,56,431,487,UCEC,eligible
KANSL1,55,432,487,UCEC,eligible
KMT2B,96,391,487,UCEC,eligible
KMT2C,79,408,487,UCEC,eligible
KRAS,81,406,487,UCEC,eligible
MAP3K1,50,437,487,UCEC,eligible
MAX,17,470,487,UCEC,insufficient_positive
MSH6,50,437,487,UCEC,eligible
MYCN,17,470,487,UCEC,insufficient_positive
NFE2L2,26,461,487,UCEC,eligible
NRAS,15,472,487,UCEC,insufficient_positive
PBRM1,43,444,487,UCEC,eligible
PDS5B,42,445,487,UCEC,eligible
PIK3CA,203,284,487,UCEC,eligible
PIK3R1,125,362,487,UCEC,eligible
PIK3R2,18,469,487,UCEC,insufficient_positive
PPP2R1A,65,422,487,UCEC,eligible
PTEN,261,226,487,UCEC,eligible
RB1,53,434,487,UCEC,eligible
RPL22,44,443,487,UCEC,eligible
RRAS2,10,477,487,UCEC,insufficient_positive
SCAF4,55,432,487,UCEC,eligible
SIN3A,48,439,487,UCEC,eligible
SMC1A,43,444,487,UCEC,eligible
SOS1,44,443,487,UCEC,eligible
SOX17,20,467,487,UCEC,eligible
SPOP,40,447,487,UCEC,eligible
TAF1,81,406,487,UCEC,eligible
TP53,155,332,487,UCEC,eligible
U2AF1,11,476,487,UCEC,insufficient_positive
ZFHX3,96,391,487,UCEC,eligible
ZMYM2,52,435,487,UCEC,eligible
ARID1A,5,48,53,UCS,insufficient_positive
BCL2L11,2,51,53,UCS,insufficient_positive
CHD4,10,43,53,UCS,insufficient_positive
FBXW7,21,32,53,UCS,eligible
KRAS,6,47,53,UCS,insufficient_positive
MAP3K4,3,50,53,UCS,insufficient_positive
PIK3CA,19,34,53,UCS,insufficient_positive
PIK3R1,6,47,53,UCS,insufficient_positive
PPP2R1A,15,38,53,UCS,insufficient_positive
PTEN,9,44,53,UCS,insufficient_positive
RB1,5,48,53,UCS,insufficient_positive
RFC1,3,50,53,UCS,insufficient_positive
