"outcome_type","family","subfamily","tumor_type","endpoint","source","foundation_model","n","positive","negative","primary_effect","primary_operating_metric","alternative_partitions","repeat_effect_median","repeat_effect_q25","repeat_effect_q75","crossing_proportion","grouped_effect","matched_random_effect","grouped_minus_matched_effect","primary_best_foundation_model","primary_winner_repeat_proportion","modal_repeat_winner","modal_repeat_winner_proportion","sample_size_stratum","representation"
"binary","driver_mutation","Bailey_tissue_specific_driver","CESC","TP53","TCGA_MC3_Bailey2018","GigaSSL",251,21,230,0.566666666666667,0.566666666666667,5,0.58944099378882,0.554865424430642,0.598757763975155,0.2,0.60952380952381,0.600828157349897,0.0086956521739131,"TITAN",1,"TITAN",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","ACVR2A","TCGA_MC3_Bailey2018","GigaSSL",382,21,361,0.730510486743174,0.730510486743174,5,0.684738161192455,0.656641604010025,0.696741854636592,1,0.660335048146683,0.680517082179132,-0.0201820340324496,"GigaSSL",0.6,"GigaSSL",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","AMER1","TCGA_MC3_Bailey2018","GigaSSL",382,37,345,0.599686643164904,0.599686643164904,5,0.634782608695652,0.621699960830396,0.672933803368586,1,0.663924794359577,0.660947904426165,0.00297688993341172,"ProvGigaPath",0.8,"ProvGigaPath",0.8,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","APC","TCGA_MC3_Bailey2018","GigaSSL",382,196,186,0.794574281325433,0.794574281325433,5,0.8204136493307,0.816655694535879,0.827134079438227,1,0.514839806890498,0.787222953697608,-0.27238314680711,"TITAN",0.6,"TITAN",0.6,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","ARID1A","TCGA_MC3_Bailey2018","GigaSSL",382,34,348,0.578177822853279,0.578177822853279,5,0.595419202163624,0.578093306288032,0.598123732251521,0.2,0.552400270453009,0.553583502366464,-0.00118323191345504,"TITAN",1,"TITAN",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","BRAF","TCGA_MC3_Bailey2018","GigaSSL",382,44,338,0.740048413125336,0.740048413125336,5,0.675026896180742,0.652165142549758,0.675430338891877,1,0.562802582033351,0.727003765465304,-0.164201183431953,"TITAN",1,"TITAN",1,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","CTNNB1","TCGA_MC3_Bailey2018","GigaSSL",382,21,361,0.702018203403245,0.702018203403245,5,0.701358659807413,0.700171481334916,0.706503099854901,0.8,0.673262102624984,0.680517082179132,-0.00725497955414856,"TITAN",0.4,"GigaSSL",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","FBXW7","TCGA_MC3_Bailey2018","GigaSSL",382,43,339,0.617822597242231,0.617822597242231,5,0.637716951361734,0.615078548398162,0.680386910887014,1,0.501749331138094,0.616381971599095,-0.114632640461,"TITAN",0.4,"GigaSSL",0.4,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","KRAS","TCGA_MC3_Bailey2018","GigaSSL",382,126,256,0.693142361111111,0.693142361111111,5,0.723524305555556,0.711340525793651,0.724733382936508,1,0.34312996031746,0.675502232142857,-0.332372271825397,"TITAN",1,"TITAN",1,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","PIK3CA","TCGA_MC3_Bailey2018","GigaSSL",382,83,299,0.698069871459081,0.698069871459081,5,0.644961115364468,0.620542370149494,0.657774912358464,1,0.568481282991498,0.6666800983197,-0.0981988153282024,"GigaSSL",0.8,"GigaSSL",0.8,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","SMAD4","TCGA_MC3_Bailey2018","GigaSSL",382,36,346,0.695809248554913,0.695809248554913,5,0.675256904303147,0.636721258831086,0.695247270391779,1,0.590558766859345,0.612315350032113,-0.0217565831727681,"ProvGigaPath",0.4,"GigaSSL",0.4,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","SOX9","TCGA_MC3_Bailey2018","GigaSSL",382,42,340,0.640686274509804,0.640686274509804,5,0.653221288515406,0.637394957983193,0.683333333333333,1,0.478361344537815,0.705392156862745,-0.22703081232493,"TITAN",0.6,"TITAN",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","TCF7L2","TCGA_MC3_Bailey2018","GigaSSL",382,32,350,0.528125,0.528125,5,0.526875,0.498839285714286,0.542410714285714,0,,,,"TITAN",0.6,"TITAN",0.6,"smaller-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","COAD","TP53","TCGA_MC3_Bailey2018","GigaSSL",382,161,221,0.786149911469605,0.786149911469605,5,0.789185239313117,0.786740114105843,0.806385430426351,1,0.547764256204154,0.709817037182766,-0.162052780978612,"TITAN",1,"TITAN",1,"larger-sample","Giga-SSL"
"binary","driver_mutation","Bailey_tissue_specific_driver","GBM","EGFR","TCGA_MC3_Bailey2018","GigaSSL",240,40,200,0.598625,0.598625,5,0.598,0.59,0.625,0.4,,,,"GigaSSL",0.6,"GigaSSL",0.6,"smaller-sample","Giga-SSL"
