foundation_model,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,q2,rmse,spearman,balanced_accuracy,auc,pr_auc,sensitivity,specificity,ppv,npv,prevalence,no_skill_pr_auc,operating_threshold_median,selected_components_median,selected_components_min,selected_components_max,selected_components_at_ceiling,selected_components_outer_fits,selected_components_ceiling_fraction,numerical_failure_or_fallback,seed,common_cohort,fastPLS_version,fastPLS_remote_sha
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Stromal Fraction,Thorsson2018_PanImmune_MS,258,,,0.0346809091619893,0.174677168210727,0.301773879097437,,,,,,,,,,,3,1,3,0,5,0,FALSE,20262991,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Stromal Fraction,Thorsson2018_PanImmune_MS,258,,,0.137124959196881,0.165148505750521,0.445083919869019,,,,,,,,,,,3,3,3,0,5,0,FALSE,20262991,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,Stromal Fraction,Thorsson2018_PanImmune_MS,258,,,0.148548184410875,0.164051699207709,0.41257894723485,,,,,,,,,,,4,2,4,0,5,0,FALSE,20262991,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD4 Memory Activated,Thorsson2018_PanImmune_MS,262,,,-0.0745364601368594,0.0283887234706398,0.177095070003729,,,,,,,,,,,2,2,4,0,5,0,FALSE,20262992,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD4 Memory Activated,Thorsson2018_PanImmune_MS,262,,,-0.133392824329708,0.0291558371456486,0.157503142576907,,,,,,,,,,,3,1,4,0,5,0,FALSE,20262992,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD4 Memory Activated,Thorsson2018_PanImmune_MS,262,,,0.0783249577441684,0.0262920349031331,0.329521488306256,,,,,,,,,,,2,2,3,0,5,0,FALSE,20262992,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD4 Memory Resting,Thorsson2018_PanImmune_MS,262,,,-0.00444661602668761,0.0593196032341305,0.16235294326005,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262993,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD4 Memory Resting,Thorsson2018_PanImmune_MS,262,,,-0.0208105005462371,0.0598008520528185,0.151667805209157,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262993,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD4 Memory Resting,Thorsson2018_PanImmune_MS,262,,,-0.0271975328254575,0.0599876420522709,0.0909500097624258,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262993,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD4 Naive,Thorsson2018_PanImmune_MS,262,,,-0.118165705699363,0.024810844695465,0.0180991835549794,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262994,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD4 Naive,Thorsson2018_PanImmune_MS,262,,,-0.14151409215682,0.0250685436673715,-0.067823672184486,,,,,,,,,,,1,1,1,0,5,0,FALSE,20262994,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD4 Naive,Thorsson2018_PanImmune_MS,262,,,-0.0637412762932261,0.0241995044024024,0.12722624825263,,,,,,,,,,,1,1,2,0,5,0,FALSE,20262994,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD8,Thorsson2018_PanImmune_MS,262,,,-0.0566501124078997,0.0940813695772017,0.203976501038109,,,,,,,,,,,2,1,3,0,5,0,FALSE,20262995,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,continuous,thorsson,immune_inflammatory_and_genomic_context,CESC,T Cells CD8,Thorsson2018_PanImmune_MS,262,,,-0.212313303970067,0.100773296337608,0.0598119909562025,,,,,,,,,,,1,1,4,0,5,0,FALSE,20262995,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
