family,subfamily,endpoint,tumor_type,source,n,positive,negative,prevalence
driver_mutation,Bailey_tissue_specific_driver,ARID1A,UCEC,TCGA_MC3_Bailey2018,487,176,311,0.361396303901437
driver_mutation,Bailey_tissue_specific_driver,ARID5B,UCEC,TCGA_MC3_Bailey2018,487,52,435,0.106776180698152
driver_mutation,Bailey_tissue_specific_driver,ATF7IP,UCEC,TCGA_MC3_Bailey2018,487,35,452,0.0718685831622177
driver_mutation,Bailey_tissue_specific_driver,ATM,UCEC,TCGA_MC3_Bailey2018,487,74,413,0.151950718685832
driver_mutation,Bailey_tissue_specific_driver,ATR,UCEC,TCGA_MC3_Bailey2018,487,51,436,0.104722792607803
driver_mutation,Bailey_tissue_specific_driver,BCOR,UCEC,TCGA_MC3_Bailey2018,487,70,417,0.143737166324435
driver_mutation,Bailey_tissue_specific_driver,CCND1,UCEC,TCGA_MC3_Bailey2018,487,31,456,0.0636550308008214
driver_mutation,Bailey_tissue_specific_driver,CHD3,UCEC,TCGA_MC3_Bailey2018,487,71,416,0.145790554414784
driver_mutation,Bailey_tissue_specific_driver,CHD4,UCEC,TCGA_MC3_Bailey2018,487,94,393,0.193018480492813
driver_mutation,Bailey_tissue_specific_driver,CTCF,UCEC,TCGA_MC3_Bailey2018,487,96,391,0.197125256673511
driver_mutation,Bailey_tissue_specific_driver,CTNNB1,UCEC,TCGA_MC3_Bailey2018,487,97,390,0.19917864476386
driver_mutation,Bailey_tissue_specific_driver,CTNND1,UCEC,TCGA_MC3_Bailey2018,487,41,446,0.0841889117043121
driver_mutation,Bailey_tissue_specific_driver,DICER1,UCEC,TCGA_MC3_Bailey2018,487,51,436,0.104722792607803
driver_mutation,Bailey_tissue_specific_driver,EP300,UCEC,TCGA_MC3_Bailey2018,487,56,431,0.114989733059548
driver_mutation,Bailey_tissue_specific_driver,ERBB2,UCEC,TCGA_MC3_Bailey2018,487,25,462,0.0513347022587269
driver_mutation,Bailey_tissue_specific_driver,ERBB3,UCEC,TCGA_MC3_Bailey2018,487,46,441,0.0944558521560575
driver_mutation,Bailey_tissue_specific_driver,FAT1,UCEC,TCGA_MC3_Bailey2018,487,82,405,0.168377823408624
driver_mutation,Bailey_tissue_specific_driver,FBXW7,UCEC,TCGA_MC3_Bailey2018,487,81,406,0.166324435318275
driver_mutation,Bailey_tissue_specific_driver,FGFR2,UCEC,TCGA_MC3_Bailey2018,487,59,428,0.121149897330596
driver_mutation,Bailey_tissue_specific_driver,FOXA2,UCEC,TCGA_MC3_Bailey2018,487,30,457,0.0616016427104723
driver_mutation,Bailey_tissue_specific_driver,INPPL1,UCEC,TCGA_MC3_Bailey2018,487,56,431,0.114989733059548
driver_mutation,Bailey_tissue_specific_driver,KANSL1,UCEC,TCGA_MC3_Bailey2018,487,55,432,0.112936344969199
driver_mutation,Bailey_tissue_specific_driver,KMT2B,UCEC,TCGA_MC3_Bailey2018,487,96,391,0.197125256673511
driver_mutation,Bailey_tissue_specific_driver,KMT2C,UCEC,TCGA_MC3_Bailey2018,487,79,408,0.162217659137577
driver_mutation,Bailey_tissue_specific_driver,KRAS,UCEC,TCGA_MC3_Bailey2018,487,81,406,0.166324435318275
driver_mutation,Bailey_tissue_specific_driver,MAP3K1,UCEC,TCGA_MC3_Bailey2018,487,50,437,0.102669404517454
driver_mutation,Bailey_tissue_specific_driver,MSH6,UCEC,TCGA_MC3_Bailey2018,487,50,437,0.102669404517454
driver_mutation,Bailey_tissue_specific_driver,NFE2L2,UCEC,TCGA_MC3_Bailey2018,487,26,461,0.053388090349076
driver_mutation,Bailey_tissue_specific_driver,PBRM1,UCEC,TCGA_MC3_Bailey2018,487,43,444,0.0882956878850103
driver_mutation,Bailey_tissue_specific_driver,PDS5B,UCEC,TCGA_MC3_Bailey2018,487,42,445,0.0862422997946612
driver_mutation,Bailey_tissue_specific_driver,PIK3CA,UCEC,TCGA_MC3_Bailey2018,487,203,284,0.416837782340862
driver_mutation,Bailey_tissue_specific_driver,PIK3R1,UCEC,TCGA_MC3_Bailey2018,487,125,362,0.256673511293634
driver_mutation,Bailey_tissue_specific_driver,PPP2R1A,UCEC,TCGA_MC3_Bailey2018,487,65,422,0.13347022587269
