outer_fold,outer_test_positive,outer_test_negative,selected_component,inner_auroc,inner_balanced_accuracy_at_selected_threshold,selected_threshold,empirical_prior_threshold,equal_prior_threshold,inner_folds,component_at_ceiling,foundation_model,family,tumor_type,endpoint
2,18,75,3,0.677479015507185,0.657585242092284,-1.9877313672972,0,-1.43105226176138,5,FALSE,ProvGigaPath,aneuploidy,KIRC,Genome doubling
3,18,74,10,0.727006333301824,0.698411948199263,-3.78163224722785,0,-1.43441360946409,5,FALSE,ProvGigaPath,aneuploidy,KIRC,Genome doubling
4,18,74,19,0.618820304376595,0.604830324227243,-10.5190270273453,0,-1.43441360946409,5,FALSE,ProvGigaPath,aneuploidy,KIRC,Genome doubling
5,17,74,20,0.690948918717375,0.682046979865772,-16.3082036670821,0,-1.42042736748935,5,TRUE,ProvGigaPath,aneuploidy,KIRC,Genome doubling
1,32,65,10,0.604138996138996,0.598702702702703,-2.27490516971824,0,-0.728514324397237,5,FALSE,TITAN,aneuploidy,LGG,Genome doubling
2,32,65,7,0.631783783783784,0.61576833976834,-0.709906203473811,0,-0.728514324397237,5,FALSE,TITAN,aneuploidy,LGG,Genome doubling
3,31,65,8,0.601703744560887,0.590519090519091,-0.877340814327655,0,-0.72054615474806,5,FALSE,TITAN,aneuploidy,LGG,Genome doubling
4,31,65,12,0.649047006189863,0.622479622479623,-1.31265037494829,0,-0.72054615474806,5,FALSE,TITAN,aneuploidy,LGG,Genome doubling
5,31,64,15,0.616361416361416,0.596642246642247,-1.24712941074194,0,-0.72439972406405,5,FALSE,TITAN,aneuploidy,LGG,Genome doubling
1,32,65,8,0.635335907335907,0.620880308880309,-1.11410316427721,0,-0.728514324397237,5,FALSE,GigaSSL,aneuploidy,LGG,Genome doubling
2,32,65,4,0.627243243243243,0.625976833976834,-0.588768326008841,0,-0.728514324397237,5,FALSE,GigaSSL,aneuploidy,LGG,Genome doubling
3,31,65,4,0.585156585156585,0.595881595881596,-0.617598478817323,0,-0.72054615474806,5,FALSE,GigaSSL,aneuploidy,LGG,Genome doubling
4,31,65,6,0.608261322547037,0.60993135993136,-0.0932298955184094,0,-0.72054615474806,5,FALSE,GigaSSL,aneuploidy,LGG,Genome doubling
5,31,64,7,0.597680097680098,0.591544566544567,0.28539637665763,0,-0.72439972406405,5,FALSE,GigaSSL,aneuploidy,LGG,Genome doubling
1,32,65,18,0.635397683397684,0.614131274131274,-6.04677027017209,0,-0.728514324397237,5,FALSE,ProvGigaPath,aneuploidy,LGG,Genome doubling
2,32,65,3,0.60565250965251,0.597590733590734,-1.30120010022827,0,-0.728514324397237,5,FALSE,ProvGigaPath,aneuploidy,LGG,Genome doubling
3,31,65,3,0.634583563154992,0.62044187044187,-0.807426531731219,0,-0.72054615474806,5,FALSE,ProvGigaPath,aneuploidy,LGG,Genome doubling
4,31,65,7,0.623582766439909,0.615293865293865,-1.64903613247497,0,-0.72054615474806,5,FALSE,ProvGigaPath,aneuploidy,LGG,Genome doubling
5,31,64,1,0.590689865689866,0.583760683760684,-0.605197139344688,0,-0.72439972406405,5,FALSE,ProvGigaPath,aneuploidy,LGG,Genome doubling
1,23,47,2,0.706817107750473,0.682065217391305,-0.606649744723291,0,-0.693147180559945,5,FALSE,TITAN,aneuploidy,LIHC,Genome doubling
2,23,46,2,0.682197414806111,0.674471210340776,-0.519027371211875,0,-0.698567248029285,5,FALSE,TITAN,aneuploidy,LIHC,Genome doubling
3,23,46,4,0.644418331374853,0.648031727379554,-1.4598883003168,0,-0.698567248029285,5,FALSE,TITAN,aneuploidy,LIHC,Genome doubling
4,23,46,4,0.704994124559342,0.660957696827262,-0.482360527259449,0,-0.698567248029285,5,FALSE,TITAN,aneuploidy,LIHC,Genome doubling
5,23,46,3,0.701351351351351,0.674882491186839,-0.939833417177216,0,-0.698567248029285,5,FALSE,TITAN,aneuploidy,LIHC,Genome doubling
1,23,47,3,0.66593809073724,0.66304347826087,-0.970949853842409,0,-0.693147180559945,5,FALSE,GigaSSL,aneuploidy,LIHC,Genome doubling
2,23,46,7,0.728084606345476,0.712602820211516,-0.899358911102297,0,-0.698567248029285,5,FALSE,GigaSSL,aneuploidy,LIHC,Genome doubling
3,23,46,3,0.664453584018801,0.660957696827262,-0.366055027955886,0,-0.698567248029285,5,FALSE,GigaSSL,aneuploidy,LIHC,Genome doubling
4,23,46,5,0.694477085781434,0.690716803760282,-0.233505798918492,0,-0.698567248029285,5,FALSE,GigaSSL,aneuploidy,LIHC,Genome doubling
5,23,46,3,0.693948296122209,0.674911868390129,-0.918547760574669,0,-0.698567248029285,5,FALSE,GigaSSL,aneuploidy,LIHC,Genome doubling
1,23,47,4,0.707525992438563,0.682065217391304,-0.512586576749948,0,-0.693147180559945,5,FALSE,ProvGigaPath,aneuploidy,LIHC,Genome doubling
2,23,46,3,0.750176263219742,0.720975323149236,-1.2163977488101,0,-0.698567248029285,5,FALSE,ProvGigaPath,aneuploidy,LIHC,Genome doubling
3,23,46,3,0.671034077555817,0.655464159811986,-0.380533360177433,0,-0.698567248029285,5,FALSE,ProvGigaPath,aneuploidy,LIHC,Genome doubling
4,23,46,3,0.720446533490012,0.702027027027027,-1.41588975042996,0,-0.698567248029285,5,FALSE,ProvGigaPath,aneuploidy,LIHC,Genome doubling
5,23,46,4,0.733901292596945,0.696504112808461,-1.00082414770707,0,-0.698567248029285,5,FALSE,ProvGigaPath,aneuploidy,LIHC,Genome doubling
1,53,37,4,0.754515178685795,0.701710003842705,0.516501759599805,0,0.354645859711951,5,FALSE,TITAN,aneuploidy,LUAD,Genome doubling
2,53,37,2,0.733060074292302,0.679934674010504,0.902917306608882,0,0.354645859711951,5,FALSE,TITAN,aneuploidy,LUAD,Genome doubling
3,53,37,2,0.738696042013578,0.688452670680159,0.687404487992914,0,0.354645859711951,5,FALSE,TITAN,aneuploidy,LUAD,Genome doubling
4,53,37,2,0.713590367618804,0.66353913154861,0.454946307988591,0,0.354645859711951,5,FALSE,TITAN,aneuploidy,LUAD,Genome doubling
5,52,37,3,0.717427332993371,0.680073941866395,0.201605570280045,0,0.359374000907897,5,FALSE,TITAN,aneuploidy,LUAD,Genome doubling
1,53,37,4,0.680959395414372,0.643316895094146,0.100908044074988,0,0.354645859711951,5,FALSE,GigaSSL,aneuploidy,LUAD,Genome doubling
2,53,37,3,0.676476239272448,0.651995004483156,0.453115593879102,0,0.354645859711951,5,FALSE,GigaSSL,aneuploidy,LUAD,Genome doubling
3,53,37,3,0.654989112335084,0.634190470090944,0.113856728433905,0,0.354645859711951,5,FALSE,GigaSSL,aneuploidy,LUAD,Genome doubling
4,53,37,6,0.641955936979634,0.612671320609709,1.16943060533445,0,0.354645859711951,5,FALSE,GigaSSL,aneuploidy,LUAD,Genome doubling
5,52,37,5,0.631023712391637,0.617860785313616,-0.33650196535812,0,0.359374000907897,5,FALSE,GigaSSL,aneuploidy,LUAD,Genome doubling
1,53,37,4,0.71019597796849,0.670552068656334,0.77753687650332,0,0.354645859711951,5,FALSE,ProvGigaPath,aneuploidy,LUAD,Genome doubling
2,53,37,2,0.708242602792366,0.673930447034713,0.716366363688196,0,0.354645859711951,5,FALSE,ProvGigaPath,aneuploidy,LUAD,Genome doubling
3,53,37,4,0.705648776738824,0.667269757909568,0.187535445767845,0,0.354645859711951,5,FALSE,ProvGigaPath,aneuploidy,LUAD,Genome doubling
4,53,37,4,0.69248751120789,0.652955680799283,0.900883810185545,0,0.354645859711951,5,FALSE,ProvGigaPath,aneuploidy,LUAD,Genome doubling
5,52,37,4,0.673508414074452,0.639597144314125,0.203943854780042,0,0.359374000907897,5,FALSE,ProvGigaPath,aneuploidy,LUAD,Genome doubling
1,50,42,3,0.710497835497836,0.660624098124098,0.447032767129798,0,0.164303051291276,5,FALSE,TITAN,aneuploidy,LUSC,Genome doubling
2,50,42,3,0.706499518999519,0.662968975468976,-0.3324445933657,0,0.164303051291276,5,FALSE,TITAN,aneuploidy,LUSC,Genome doubling
3,50,42,3,0.660744348244348,0.629419191919192,0.510710885558309,0,0.164303051291276,5,FALSE,TITAN,aneuploidy,LUSC,Genome doubling
4,49,42,3,0.70656855707107,0.660848887293611,1.01782377188777,0,0.169340845321233,5,FALSE,TITAN,aneuploidy,LUSC,Genome doubling
5,49,42,3,0.67172170375688,0.654283321368748,0.393127865998029,0,0.169340845321233,5,FALSE,TITAN,aneuploidy,LUSC,Genome doubling
1,50,42,3,0.711399711399711,0.684613997113997,-0.0448638326446599,0,0.164303051291276,5,FALSE,GigaSSL,aneuploidy,LUSC,Genome doubling
2,50,42,2,0.651304713804714,0.638437950937951,0.282087588684229,0,0.164303051291276,5,FALSE,GigaSSL,aneuploidy,LUSC,Genome doubling
3,50,42,3,0.64781746031746,0.634469696969697,-0.139120462808684,0,0.164303051291276,5,FALSE,GigaSSL,aneuploidy,LUSC,Genome doubling
4,49,42,4,0.652638190954774,0.620423546302943,0.20163046885281,0,0.169340845321233,5,FALSE,GigaSSL,aneuploidy,LUSC,Genome doubling
5,49,42,4,0.655689160086145,0.643963866953817,0.247118354743427,0,0.169340845321233,5,FALSE,GigaSSL,aneuploidy,LUSC,Genome doubling
1,50,42,3,0.674272486772487,0.647907647907648,0.0446452348717614,0,0.164303051291276,5,FALSE,ProvGigaPath,aneuploidy,LUSC,Genome doubling
2,50,42,2,0.622655122655123,0.609487734487735,0.335611885071893,0,0.164303051291276,5,FALSE,ProvGigaPath,aneuploidy,LUSC,Genome doubling
3,50,42,3,0.626743626743627,0.627525252525253,-0.0805610274417049,0,0.164303051291276,5,FALSE,ProvGigaPath,aneuploidy,LUSC,Genome doubling
