family,tumor_type,endpoint,n,positive,mean_pool_balanced_accuracy,median_pool_balanced_accuracy,delta_median_minus_mean,seed
oncogenic_pathway,BRCA,TP53,942,437,0.7418628361692,0.741708770419376,-0.000154065749824017,20260965
oncogenic_pathway,THCA,RTK RAS,478,403,0.739834574028123,0.739834574028123,-5.55111512312578e-16,20260949
oncogenic_pathway,GBM,TP53,71,38,0.734051036682616,0.705741626794258,-0.0283094098883575,20260955
oncogenic_pathway,TGCT,RTK RAS,143,54,0.711714523512276,0.732209737827715,0.0204952143154392,20260938
oncogenic_pathway,PCPG,Cell Cycle,155,23,0.711627140974967,0.711627140974967,0,20260857
oncogenic_pathway,LGG,RTK RAS,481,135,0.701273817169771,0.701273817169771,-1.11022302462516e-16,20260952
oncogenic_pathway,PCPG,RTK RAS,158,52,0.698476052249637,0.698476052249637,1.11022302462516e-16,20260954
oncogenic_pathway,THCA,WNT,478,62,0.69661135235732,0.69661135235732,1.11022302462516e-16,20261000
oncogenic_pathway,COAD,TP53,323,208,0.693102006688963,0.693102006688963,2.22044604925031e-16,20260966
oncogenic_pathway,LGG,WNT,481,131,0.690970556161396,0.703849509269357,0.0128789531079606,20261002
oncogenic_pathway,KIRP,Cell Cycle,243,31,0.688451004260499,0.688451004260499,1.11022302462516e-16,20260844
oncogenic_pathway,LUAD,TP53,451,274,0.664171718421378,0.665996535939626,0.00182481751824837,20260956
oncogenic_pathway,STAD,NOTCH,327,125,0.660990099009901,0.660990099009901,0,20260899
oncogenic_pathway,HNSC,TP53,412,312,0.659102564102564,0.635705128205128,-0.0233974358974357,20260968
oncogenic_pathway,SARC,TP53,222,146,0.652577505407354,0.635724585436193,-0.0168529199711608,20260964
oncogenic_pathway,STAD,TP53,327,184,0.64075326847066,0.64075326847066,-2.22044604925031e-16,20260967
oncogenic_pathway,ACC,WNT,53,20,0.638636363636364,0.628787878787879,-0.00984848484848522,20261003
oncogenic_pathway,LIHC,Cell Cycle,337,232,0.635796387520526,0.635796387520526,-5.55111512312578e-16,20260845
oncogenic_pathway,LGG,TGF-Beta,481,130,0.635327635327635,0.656410256410256,0.0210826210826214,20260985
oncogenic_pathway,LIHC,WNT,337,147,0.634622269960616,0.634622269960616,-1.11022302462516e-16,20260993
oncogenic_pathway,BLCA,TP53,373,232,0.63351369528002,0.632749449743214,-0.000764245536806429,20260960
oncogenic_pathway,UCEC,WNT,468,230,0.626287906466935,0.628461819510413,0.0021739130434778,20260989
oncogenic_pathway,SARC,RTK RAS,222,86,0.62594049247606,0.612773597811218,-0.0131668946648424,20260944
