Variant_Classification,N,tumor_type,retained_as_protein_altering
Nonstop_Mutation,357,UCEC,TRUE
In_Frame_Ins,90,UCEC,TRUE
Nonsense_Mutation,620,UCS,TRUE
Frame_Shift_Del,227,UCS,TRUE
Missense_Mutation,6050,UCS,TRUE
Splice_Site,144,UCS,TRUE
In_Frame_Del,48,UCS,TRUE
Frame_Shift_Ins,81,UCS,TRUE
In_Frame_Ins,4,UCS,TRUE
Translation_Start_Site,10,UCS,TRUE
Nonstop_Mutation,12,UCS,TRUE
Nonsense_Mutation,74,UVM,TRUE
Missense_Mutation,1172,UVM,TRUE
In_Frame_Del,11,UVM,TRUE
Frame_Shift_Del,32,UVM,TRUE
Frame_Shift_Ins,13,UVM,TRUE
Splice_Site,17,UVM,TRUE
Translation_Start_Site,2,UVM,TRUE
In_Frame_Ins,1,UVM,TRUE
