gene,cancer
PTEN,HNSC
PTEN,LUSC
PTEN,PRAD
PTEN,SKCM
PTEN,UCEC
PTEN,UCS
PTEN,BRCA
PTEN,GBM
PTEN,KIRC
PTEN,LGG
PTMA,TGCT
PTPDC1,LAML
PTPN11,LAML
PTPN11,LGG
PTPRD,BRCA
RAC1,HNSC
RAC1,SKCM
RAD21,LAML
RASA1,STAD
RASA1,HNSC
RASA1,LUSC
RB1,UCS
RB1,SKCM
RB1,UCEC
RB1,LIHC
RB1,HNSC
RB1,BLCA
RB1,LUAD
RB1,CESC
RB1,LUSC
RB1,OV
RB1,BRCA
RB1,GBM
RB1,SARC
RBM10,BLCA
RBM10,LUAD
RET,PCPG
RFC1,UCS
RHOA,BLCA
RHOA,HNSC
RHOA,STAD
RHOB,BLCA
RIT1,LUAD
RNF43,STAD
RNF43,PAAD
RPL22,UCEC
RPS6KA3,LIHC
RQCD1,SKCM
RRAS2,UCEC
RUNX1,BRCA
RUNX1,LAML
RXRA,BLCA
SCAF4,UCEC
SETD2,KIRP
SETD2,LGG
SETD2,LUAD
SETD2,MESO
SETD2,KIRC
SF1,BLCA
SF3B1,BLCA
SF3B1,LAML
SF3B1,BRCA
SF3B1,UVM
SIN3A,UCEC
SMAD2,STAD
SMAD4,CESC
SMAD4,ESCA
SMAD4,PAAD
SMAD4,STAD
SMARCA4,LIHC
SMARCA4,LGG
SMARCA4,LUAD
SMARCB1,KIRP
SMC1A,UCEC
SMC1A,LAML
SMC3,LAML
SOS1,UCEC
SOX17,UCEC
SPOP,UCEC
SPOP,PRAD
SPTA1,GBM
SPTAN1,BLCA
SRSF2,UVM
STAG2,BLCA
STAG2,GBM
STK11,CESC
STK11,LUAD
TAF1,UCEC
TBX3,BRCA
TCEB1,KIRC
TCF12,GBM
TCF12,LGG
TET2,LAML
TGFBR2,CESC
TGFBR2,PAAD
TGFBR2,HNSC
TMSB4X,DLBC
TNFAIP3,DLBC
TP53,THYM
TP53,DLBC
TP53,LAML
TP53,KIRC
TP53,UCEC
TP53,ACC
TP53,BLCA
TP53,MESO
