tumor_type,block,endpoint,n,metric,pls1,pls2,delta_pls2_minus_pls1,sd_delta,median_ncomp_pls1,median_ncomp_pls2,n_repeats,backend,svd_method,rsvd_oversample,rsvd_power,analysis_fingerprint
BLCA,infiltration_signatures,TIL Regional Fraction,281,Q2,0.50737795606295,0.465647586234379,-0.0417303698285704,0.0130923824707568,4,5.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BLCA,infiltration_signatures,Wound Healing,281,Q2,0.341377223118025,0.334380452657455,-0.00699677046056938,0.0128677110010344,2,5.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,immune_repertoire,BCR Evenness,651,Q2,-0.0187151676845159,-0.0213294107996751,-0.00261424311515923,0.0104164687158248,1,4,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,immune_repertoire,BCR Richness,651,Q2,0.128646947249725,0.170403747048974,0.0417567997992492,0.0210284778675967,4.33333333333333,4,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,immune_repertoire,BCR Shannon,651,Q2,0.119801425307677,0.159265916426653,0.0394644911189763,0.00578138659467247,2.33333333333333,4,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,immune_repertoire,TCR Evenness,651,Q2,-0.0139357216404713,-0.0020253237352433,0.011910397905228,0.00526770262913254,1,4,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,immune_repertoire,TCR Richness,651,Q2,0.0739641747414857,0.127291580400508,0.0533274056590225,0.00704219796482717,3.33333333333333,4,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,immune_repertoire,TCR Shannon,651,Q2,0.211939907011694,0.204608025775364,-0.00733188123632992,0.00681821881656227,3.66666666666667,4,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,B Cells Memory,1039,Q2,0.00150857547732323,0.00901855441237653,0.0075099789350533,0.0016158510609057,1.33333333333333,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,B Cells Naive,1039,Q2,0.0630263551345605,0.0656112645579635,0.00258490942340306,0.00491436855438474,3,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Dendritic Cells Activated,1039,Q2,0.0404780288087912,0.0415895265749545,0.00111149776616326,0.00408813198764767,1,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Dendritic Cells Resting,1039,Q2,0.00783397208495788,-0.00155086196936057,-0.00938483405431845,0.00306688833263767,1,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Eosinophils,1039,Q2,-0.0306266138718615,-0.0129195947476129,0.0177070191242485,0.00554798950917418,1,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Macrophages M0,1039,Q2,0.127497000657123,0.149718420566832,0.0222214199097087,0.0112064707122406,3.33333333333333,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Macrophages M1,1039,Q2,0.190864113684731,0.204049730931424,0.013185617246693,0.00322667156793385,3,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Macrophages M2,1039,Q2,0.180455752985808,0.17183046317963,-0.00862528980617772,0.0132315628508819,4,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Mast Cells Activated,1039,Q2,-0.0298324617286508,-0.00667911920473637,0.0231533425239144,0.0083784389023694,1.33333333333333,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Mast Cells Resting,1039,Q2,0.169005848793657,0.174245413727238,0.0052395649335805,0.00294659090494779,2,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Monocytes,1039,Q2,0.0233518334882595,0.0179049646372127,-0.00544686885104684,0.00949781618372707,1,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,NK Cells Activated,1039,Q2,0.021949408156144,0.0284817100611139,0.00653230190496997,0.00396557365139554,1,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,NK Cells Resting,1039,Q2,0.0300217987009022,0.0424609219948741,0.0124391232939719,0.0118598834119885,1,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Neutrophils,1039,Q2,0.00965162125966038,0.0194777353014794,0.00982611404181906,0.00874957151047435,1,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,Plasma Cells,1039,Q2,0.0340389194653202,0.0141399146736241,-0.0198990047916961,0.00751445929934937,3.33333333333333,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,T Cells CD4 Memory Activated,1039,Q2,0.111146656465381,0.117120824546593,0.00597416808121224,0.00801709439679874,3,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,T Cells CD4 Memory Resting,1039,Q2,0.0664689266783539,0.0865740300461103,0.0201051033677564,0.0125931519651856,3,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
BRCA,inferred_cell_fractions,T Cells CD4 Naive,1039,Q2,-0.0305540289685307,-0.019147600729875,0.0114064282386558,0.00535726677929822,1,7.66666666666667,3,cpu,rsvd,32,5,5133a5f49239a682d435a04fde306ce6fa3f179b5654ef08c976609e9dea96b5
