family,tumor_type,endpoint,repeat,training_fraction,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv_tcga_prevalence,npv_tcga_prevalence,observed_tcga_prevalence
driver_mutation,SKCM,BRAF,1,0.5,0.596153846153846,0.543478260869565,0.569816053511706,0.543896321070234,0.559455654076674,0.596153846153846,0.543478260869565,0.530612244897959
driver_mutation,SKCM,BRAF,2,0.5,0.596153846153846,0.608695652173913,0.60242474916388,0.647575250836121,0.691622114419853,0.63265306122449,0.571428571428571,0.530612244897959
driver_mutation,SKCM,BRAF,3,0.5,0.653846153846154,0.543478260869565,0.59866220735786,0.592809364548495,0.585472511738515,0.618181818181818,0.581395348837209,0.530612244897959
driver_mutation,SKCM,BRAF,4,0.5,0.769230769230769,0.456521739130435,0.612876254180602,0.662625418060201,0.697586553995678,0.615384615384615,0.636363636363636,0.530612244897959
driver_mutation,SKCM,BRAF,5,0.5,0.596153846153846,0.521739130434783,0.558946488294314,0.575250836120401,0.562412459114551,0.584905660377359,0.533333333333333,0.530612244897959
driver_mutation,SKCM,BRAF,1,0.75,0.769230769230769,0.543478260869565,0.656354515050167,0.655100334448161,0.662439283711955,0.655737704918033,0.675675675675676,0.530612244897959
driver_mutation,SKCM,BRAF,2,0.75,0.692307692307692,0.5,0.596153846153846,0.582775919732442,0.610497046623459,0.610169491525424,0.58974358974359,0.530612244897959
driver_mutation,SKCM,BRAF,3,0.75,0.653846153846154,0.5,0.576923076923077,0.610367892976589,0.619251069065979,0.596491228070175,0.560975609756098,0.530612244897959
driver_mutation,SKCM,BRAF,4,0.75,0.826923076923077,0.565217391304348,0.696070234113712,0.750836120401338,0.756010671990524,0.682539682539683,0.742857142857143,0.530612244897959
driver_mutation,SKCM,BRAF,5,0.75,0.634615384615385,0.652173913043478,0.643394648829431,0.682692307692308,0.694944604286797,0.673469387755102,0.612244897959184,0.530612244897959
driver_mutation,SKCM,BRAF,1,1,0.711538461538462,0.521739130434783,0.616638795986622,0.635451505016722,0.607791705396849,0.627118644067797,0.615384615384615,0.530612244897959
driver_mutation,SKCM,BRAF,2,1,0.653846153846154,0.521739130434783,0.587792642140468,0.677257525083612,0.700105568381823,0.607142857142857,0.571428571428571,0.530612244897959
driver_mutation,SKCM,BRAF,3,1,0.788461538461538,0.5,0.644230769230769,0.66680602006689,0.630381573536374,0.640625,0.676470588235294,0.530612244897959
driver_mutation,SKCM,BRAF,4,1,0.807692307692308,0.478260869565217,0.642976588628763,0.632943143812709,0.6226016147535,0.636363636363636,0.6875,0.530612244897959
driver_mutation,SKCM,BRAF,5,1,0.730769230769231,0.521739130434783,0.626254180602007,0.666387959866221,0.659125351278441,0.633333333333333,0.631578947368421,0.530612244897959
driver_mutation,THCA,NRAS,1,0.5,0.282051282051282,0.9490022172949,0.615526749673091,0.763545397691739,0.3292199225591,0.323529411764706,0.93859649122807,0.0795918367346939
driver_mutation,THCA,NRAS,2,0.5,0.282051282051282,0.955654101995565,0.618852692023424,0.796804821195065,0.325059359396238,0.354838709677419,0.938997821350763,0.0795918367346939
driver_mutation,THCA,NRAS,3,0.5,0.307692307692308,0.942350332594235,0.625021320143271,0.69384274262323,0.240983293392194,0.315789473684211,0.940265486725664,0.0795918367346939
driver_mutation,THCA,NRAS,4,0.5,0.256410256410256,0.957871396895787,0.607140826653022,0.730513389049975,0.292909737882716,0.344827586206897,0.937093275488069,0.0795918367346939
driver_mutation,THCA,NRAS,5,0.5,0.41025641025641,0.9490022172949,0.679629313775655,0.840639035760987,0.349299676127713,0.41025641025641,0.9490022172949,0.0795918367346939
driver_mutation,THCA,NRAS,1,0.75,0.333333333333333,0.929046563192905,0.631189948263119,0.748479163113309,0.285220178370205,0.288888888888889,0.941573033707865,0.0795918367346939
driver_mutation,THCA,NRAS,2,0.75,0.282051282051282,0.944567627494457,0.613309454772869,0.757916879868099,0.259235447904473,0.305555555555556,0.938325991189427,0.0795918367346939
driver_mutation,THCA,NRAS,3,0.75,0.256410256410256,0.960088691796009,0.608249474103133,0.722724430041503,0.264331262912685,0.357142857142857,0.937229437229437,0.0795918367346939
driver_mutation,THCA,NRAS,4,0.75,0.333333333333333,0.9490022172949,0.641167775314117,0.712490761271249,0.254339373110047,0.361111111111111,0.94273127753304,0.0795918367346939
