foundation_model,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv,npv,prevalence,no_skill_pr_auc,crossing,selected_components_median,selected_components_min,selected_components_max,selected_components_ceiling_fraction,stability_job_id,stability_repeat,outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,effect,primary_union_positive,primary_near_threshold,selection_reason,fastPLS_version,fastPLS_remote_sha
GigaSSL,,,,0.523809523809524,0.632183908045977,0.57799671592775,0.607074438970991,0.458543246476745,0.407407407407407,0.733333333333333,0.325581395348837,0.325581395348837,TRUE,4,3,9,0,3,2,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20780818,0.607074438970991,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.511904761904762,0.649425287356322,0.580665024630542,0.554802955665025,0.363873837527244,0.413461538461538,0.733766233766234,0.325581395348837,0.325581395348837,FALSE,4,2,18,0,3,2,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20780818,0.554802955665025,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.630952380952381,0.540229885057471,0.585591133004926,0.644020251778873,0.443394379829407,0.398496240601504,0.752,0.325581395348837,0.325581395348837,TRUE,3,2,5,0,3,2,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20780818,0.644020251778873,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.488095238095238,0.64367816091954,0.565886699507389,0.661877394636015,0.475788033259655,0.398058252427184,0.72258064516129,0.325581395348837,0.325581395348837,TRUE,3,3,5,0,3,3,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20790818,0.661877394636015,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.523809523809524,0.551724137931035,0.537766830870279,0.559865900383142,0.372547772853067,0.360655737704918,0.705882352941177,0.325581395348837,0.325581395348837,FALSE,4,2,12,0,3,3,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20790818,0.559865900383142,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.702380952380952,0.540229885057471,0.621305418719212,0.669129720853859,0.452001519663301,0.424460431654676,0.789915966386555,0.325581395348837,0.325581395348837,TRUE,5,2,5,0,3,3,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20790818,0.669129720853859,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.797619047619048,0.454022988505747,0.625821018062397,0.663040503557745,0.449792801196245,0.41358024691358,0.822916666666667,0.325581395348837,0.325581395348837,TRUE,3,3,5,0,3,4,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20800818,0.663040503557745,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
ProvGigaPath,,,,0.761904761904762,0.379310344827586,0.570607553366174,0.583196496989601,0.382324631653179,0.372093023255814,0.767441860465116,0.325581395348837,0.325581395348837,FALSE,3,3,9,0,3,4,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20800818,0.583196496989601,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN,,,,0.547619047619048,0.591954022988506,0.569786535303777,0.621784345922277,0.432715289365399,0.393162393162393,0.730496453900709,0.325581395348837,0.325581395348837,TRUE,2,1,5,0,3,4,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20800818,0.621784345922277,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
GigaSSL,,,,0.678571428571429,0.46551724137931,0.572044334975369,0.590996168582375,0.396157508280179,0.38,0.75,0.325581395348837,0.325581395348837,FALSE,6,3,8,0,3,5,binary,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,258,84,174,20810818,0.590996168582375,TRUE,TRUE,union-positive and near-threshold,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
