tumor_type,block,n_endpoints,median_delta,mean_delta,backend,svd_method,rsvd_oversample,rsvd_power,analysis_fingerprint
TGCT,immune_repertoire,6,0.00484330621140193,0.0226758268725703,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
TGCT,inferred_cell_fractions,24,0.0114756859398627,0.0545837500450898,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
TGCT,infiltration_signatures,7,0.0221876773968713,0.0243507700043149,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
THCA,immune_repertoire,6,0.0230921667254003,0.0255933075056803,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
THCA,inferred_cell_fractions,25,0.00513488709246809,0.00566114711308657,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
THCA,infiltration_signatures,7,-0.00123390181967102,-0.00211411080799525,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
THYM,inferred_cell_fractions,24,0.02820275866467,0.0425047513881542,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
THYM,infiltration_signatures,6,-0.000968086896505478,0.0228340366919596,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
UCEC,immune_repertoire,6,0.111551948584295,0.145077617326406,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
UCEC,inferred_cell_fractions,25,0.017911132062148,0.0151146540218378,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
UCEC,infiltration_signatures,8,0.00683811791326187,0.00374113773504774,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
UCS,inferred_cell_fractions,25,0.202084640183566,0.228072606061693,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
UVM,inferred_cell_fractions,23,0.105038346200186,0.120273878882171,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
UVM,infiltration_signatures,8,0.0721151194237805,0.0948054678191159,cpu,rsvd,10,2,f7982c22941849f6464250eb5cb1e840d8d831c8c17fe2f022f410bb098a49ac
