grouped_job_id,code_only_metric,code_prevalence_or_mean_range,n_codes
499,-0.012878797476487,1.00962500991067,33
500,-0.0595757802390247,1.81094727904232,33
501,-0.0493192213909703,0.408597293287808,33
502,-0.0454482453851148,0.773606515040148,33
503,-0.0600463271549778,0.950206378243252,33
504,-0.0804510427111769,0.874833398256075,33
505,-0.059394898797513,2.0199925271069,33
506,-0.0442229644849861,1.46367699314564,33
507,0.0385062077299226,0.82569167385137,33
508,0.00561445927659621,0.793693233150275,33
509,0.0562301820932893,1.75905986903555,33
510,-0.080295954904039,1.77362169793697,33
511,-0.0382835727239057,0.719842081782454,33
512,-0.0136230770510017,0.52865918899454,33
513,-0.0568034657031684,0.357482055039384,33
514,0.019623439190285,0.646864681237449,33
515,-0.140416910775329,0.316154498567684,33
516,-0.0753659293899451,0.868145561806512,33
517,-0.0244759680581932,0.837561584962033,33
518,0.00517328465758582,1.17791937768631,35
519,-0.0255200009584411,0.82209279265703,35
520,0.0426865560796921,0.680144234993431,35
521,-0.035600030032152,1.03372792797183,35
522,-0.0276945133833193,0.977728053562008,35
523,0.0775842500099216,0.816560864863062,35
524,-0.0711653159189385,1.09379371579351,35
525,0.00927298364510209,1.07707698359744,35
526,-0.0463552212540559,0.745031214187403,35
527,-0.0500874838614762,1.00730428764411,35
528,-0.0169681829516475,1.26761538857229,35
529,-0.0698370291611086,1.01272716147439,35
530,0.0187333771556314,0.623515487490522,35
531,0.0378187237843533,0.817440057801702,35
532,-0.0662833565424812,0.787633755372205,35
533,-0.0783184590034365,0.49692731467028,35
534,-0.00756308809890238,0.456119034415182,35
535,-0.0452511566170624,1.11490089373757,35
536,-0.173291983961627,0.923029354599476,13
537,-0.207365485192767,0.428374303588034,13
538,-0.296189486673667,0.656353094226439,13
539,-0.180320841073796,1.08187902238788,13
540,-0.168538737591701,0.573099525988532,13
541,-0.415794053324474,0.392205890391762,13
542,-0.242475361544735,0.718685616455733,13
543,0.00448651326067673,0.79406402148787,13
544,0.047645422015758,0.553486626316275,8
545,0.0220904979190032,0.438045360006126,8
546,-0.0495602903386927,0.593771747371079,8
547,0.0745428433898985,0.739131008545784,8
548,0.19481042683347,0.719955395767318,8
549,0.0225502656376875,0.496766400351519,8
550,0.239870185454492,0.658563579835061,8
551,0.0231460168106331,0.971102822077143,8
552,-0.0203498685304464,0.314535545972548,8
553,-0.0297178279964556,0.702252625878285,8
554,0.0908940179526972,0.40299735854893,8
555,0.0771323699732435,1.76047405481774,26
556,0.194191926809154,0.706024257954194,26
557,-0.125209152456364,1.05373776343117,26
558,-0.0474239843440472,0.627222260535977,26
559,-0.00294818856038259,0.620407931485341,26
560,-0.0306423571849441,0.642003707576798,26
561,-0.120920043041854,0.85814029398847,26
562,0.0437560287654546,0.813570144707367,26
563,-0.108432476863168,1.47791286355091,26
564,0.0401665652801,1.54453472305506,26
565,-0.00143643760474999,0.548716521809678,26
566,-0.0627069533124598,0.521444900247145,26
567,-0.120650316879709,1.29791125747242,26
