outcome_type,family,tumor_type,endpoint,performance_checkpoint_passed,p_permutation,permutation_attempted,permutation_exceedances,permutation_stopped_early,p_assignment_status,local_bh_denominator,across_cancer_family_bh_denominator,outcome_wide_bh_denominator,atlas_wide_bh_denominator,included_in_local_bh,included_in_across_cancer_family_bh,included_in_outcome_wide_bh,included_in_atlas_wide_bh,q_recomputed_local,q_recomputed_across_cancer_family,q_recomputed_outcome_wide,q_recomputed_atlas_wide,q_saved_local,q_saved_across_cancer_family,q_saved_outcome_wide,q_saved_atlas_wide
binary,driver_mutation,HNSC,AJUBA,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,CASP8,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,CDKN2A,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,EP300,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,EPHA2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,FAT1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,FBXW7,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,HLA-B,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,HRAS,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,HUWE1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,KEAP1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,KMT2D,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,NFE2L2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,NOTCH1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,NSD1,TRUE,0.001,999,0,FALSE,completed_permutation,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.009,0.0068,0.00527586206896552,0.00428925619834711,0.009,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,HNSC,PIK3CA,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,TGFBR2,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,HNSC,TP53,TRUE,0.001,999,0,FALSE,completed_permutation,18,238,459,3633,TRUE,TRUE,TRUE,TRUE,0.009,0.0068,0.00527586206896552,0.00428925619834711,0.009,0.0068,0.00527586206896552,0.00428925619834711
binary,driver_mutation,KICH,TP53,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,1,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,KIRC,BAP1,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,5,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
binary,driver_mutation,KIRC,MTOR,FALSE,1,,,FALSE,not_permuted_below_performance_checkpoint_p1,5,238,459,3633,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,1
