outcome_type,family,subfamily,tumor_type,endpoint,source,mean_effect,sd_effect,mean_rank_within_outcome_repeat,median_rank_within_outcome_repeat,winner_proportion,foundation_model
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,ARID2,TCGA_MC3_Bailey2018,0.621123774184999,0.0318370773567016,197.6,210,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,BCOR,TCGA_MC3_Bailey2018,0.75004105090312,0.0282357037313482,53.2,47,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,CDH1,TCGA_MC3_Bailey2018,0.759324675324675,0.0106606774662614,47.2,45,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,CTNNB1,TCGA_MC3_Bailey2018,0.779291251384275,0.0204707964101065,37.4,35,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,DMD,TCGA_MC3_Bailey2018,0.648989696239797,0.0487967978526348,158.6,150,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,FBXW7,TCGA_MC3_Bailey2018,0.652052545155993,0.0317003289813486,150.2,126,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,KRAS,TCGA_MC3_Bailey2018,0.696557213930348,0.0209930913259274,90,83,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,PIK3CA,TCGA_MC3_Bailey2018,0.814017595307918,0.0226184320311652,26.8,24,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,PTEN,TCGA_MC3_Bailey2018,0.637096364098652,0.064009731270845,180.8,205,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,RASA1,TCGA_MC3_Bailey2018,0.636517165005537,0.04028945548922,173.6,152,0.6,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,RHOA,TCGA_MC3_Bailey2018,0.806376811594203,0.00427106145747579,28.6,28,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,RNF43,TCGA_MC3_Bailey2018,0.627134646962233,0.0256199858828517,189.6,196,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,SMAD4,TCGA_MC3_Bailey2018,0.507306557749036,0.0257674232194758,328.8,335,0,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,TP53,TCGA_MC3_Bailey2018,0.737456425051088,0.0078350983236732,56,56,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,TGCT,KIT,TCGA_MC3_Bailey2018,0.747222222222222,0.0506844020156276,60.8,46,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,THCA,BRAF,TCGA_MC3_Bailey2018,0.885408406026963,0.0116731863754731,8.6,10,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,THCA,NRAS,TCGA_MC3_Bailey2018,0.804417718504406,0.021364432624094,30.2,26,1,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,THYM,GTF2I,TCGA_MC3_Bailey2018,0.929289325007434,0.0106268019705867,1.4,1,0.8,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,UCEC,ACVR1,TCGA_MC3_Bailey2018,0.521939799331104,0.0205686978269972,317.2,321,0.2,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,UCEC,ARHGAP35,TCGA_MC3_Bailey2018,0.569608790147307,0.0153187055766806,265.4,269,0.4,TITAN
binary,driver_mutation,Bailey_tissue_specific_driver,UCEC,ARID1A,TCGA_MC3_Bailey2018,0.717291685806155,0.00861184352697173,68,67,1,TITAN
