tumor_type,subfamily,endpoint,source,score_method,patients,pathway_genes_requested,pathway_genes_measured,mean,sd
BLCA,MSigDB Hallmark,HALLMARK_ALLOGRAFT_REJECTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,200,195,5.78362256283786e-17,0.507933201012693
BLCA,MSigDB Hallmark,HALLMARK_ANDROGEN_RESPONSE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,101,97,1.04948045600038e-15,0.23069712055053
BLCA,MSigDB Hallmark,HALLMARK_ANGIOGENESIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,36,36,5.08610024370163e-17,0.434124874177284
BLCA,MSigDB Hallmark,HALLMARK_APICAL_JUNCTION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,200,192,-2.08384792841947e-16,0.270140321289824
BLCA,MSigDB Hallmark,HALLMARK_APICAL_SURFACE,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,44,43,4.90590697792478e-16,0.235861199217718
BLCA,MSigDB Hallmark,HALLMARK_APOPTOSIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,161,158,-4.86957769046976e-16,0.245018808609007
BLCA,MSigDB Hallmark,HALLMARK_BILE_ACID_METABOLISM,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,112,111,-2.81915270650891e-16,0.217099685069048
BLCA,MSigDB Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,74,72,-4.70500601829856e-16,0.221135924296803
BLCA,MSigDB Hallmark,HALLMARK_COAGULATION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,138,136,5.6092419830538e-16,0.321227101530264
BLCA,MSigDB Hallmark,HALLMARK_COMPLEMENT,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,200,195,-1.08406593765755e-16,0.339895248525048
BLCA,MSigDB Hallmark,HALLMARK_DNA_REPAIR,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,150,139,-1.12838766835266e-16,0.228259133166021
BLCA,MSigDB Hallmark,HALLMARK_E2F_TARGETS,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,200,187,3.51958136864153e-16,0.5619396751088
BLCA,MSigDB Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,UCSC_Xena_TCGA_PanCancer_RNAseq_MSigDB_2026.1.Hs,mean of within-cancer gene-wise z scores after patient-level mean aggregation of primary-tumour RNA aliquots,382,200,194,-2.54014377885442e-16,0.559747758786315
