outcome_type,family,tumor_type,endpoint,highlighted,model_n,high_volume,subgroup_variable,subgroup,subgroup_n,positive,negative,denominator_adequate,reason,q2,rmse,spearman,sensitivity,specificity,balanced_accuracy,auc,pr_auc
binary,oncogenic_pathway,LGG,TP53,TRUE,481,TRUE,Broad race,White,443,234,209,TRUE,performance estimated,,,,0.816239316239316,0.856459330143541,0.836349323191428,0.888782562466773,0.887358831820503
binary,oncogenic_pathway,LGG,TP53,TRUE,481,TRUE,Recorded sex,FEMALE,212,103,109,TRUE,performance estimated,,,,0.801941747572815,0.867889908256881,0.834915827914848,0.88076957334996,0.860478050486811
binary,oncogenic_pathway,LGG,TP53,TRUE,481,TRUE,Recorded sex,MALE,268,144,124,TRUE,performance estimated,,,,0.820833333333333,0.848387096774194,0.834610215053763,0.887847222222222,0.897166727637475
binary,oncogenic_pathway,LGG,TP53,TRUE,481,TRUE,Recorded sex,Missing,1,1,0,FALSE,demographic field missing,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,TRUE,149,FALSE,Broad race,Asian,4,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,TRUE,149,FALSE,Broad race,Black or African American,6,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,TRUE,149,FALSE,Broad race,Missing,21,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,TRUE,149,FALSE,Broad race,White,118,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,TRUE,149,FALSE,Recorded sex,MALE,133,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_ANGIOGENESIS,TRUE,149,FALSE,Recorded sex,Missing,16,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
continuous,rna_pathway_activity,TGCT,HALLMARK_APICAL_JUNCTION,TRUE,149,FALSE,Broad race,Asian,4,,,FALSE,model has fewer than 200 outcome-labelled patients,,,,,,,,
